UniqueCount	AmbigCount
13	0
0	0
1	0
7	221
15	221
0	0
0	0
1	0
0	0
29	0
38	0
152	0
0	0
21	0
0	0
14	0
0	0
0	0
50	0
0	0
0	0
0	0
0	0
179	0
116	0
0	0
0	0
0	20
2	20
44	0
85	0
0	0
20	0
22	0
0	0
27	0
0	0
0	0
102	0
298	0
0	0
24	0
0	0
3	15
2	15
167	0
8	88
0	88
1	0
0	0
62	0
36	0
0	0
1	12
1	12
0	0
32	0
74	0
27	163
0	163
0	0
0	0
3	78
84	78
50	0
0	0
0	0
5	170
0	170
0	170
68	0
0	0
70	0
17	66
8	66
0	0
72	0
0	0
34	0
0	0
292	0
584	0
0	286
64	300
28	0
0	5
99	5
82	341
0	0
0	0
0	0
112	0
0	9
1	9
0	0
0	0
56	0
97	0
59	0
18	0
0	85
35	0
63	0
6	0
178	241
2	241
26	0
0	13
37	0
10	0
1	0
34	0
207	0
109	0
0	0
0	0
9	0
13	28
0	28
7	28
28	10
0	10
0	0
32	0
395	0
22	0
39	0
4	0
59	0
54	0
85	0
1	0
77	0
59	0
21	0
17	0
12	0
48	0
46	0
37	0
0	0
0	0
33	0
0	0
77	0
0	25
0	25
22	0
6	0
20	0
155	0
263	0
0	0
69	0
67	0
0	0
12	0
0	0
1	0
78	0
161	0
39	81
5	81
19	0
15	0
4	0
58	0
9	0
66	0
21	0
367	0
87	0
5	42
0	42
35	0
0	0
0	0
0	0
23	0
0	6
0	6
0	0
0	0
0	0
0	0
0	0
28	0
30	0
54	0
61	0
65	0
12	18
0	18
461	0
301	0
0	0
96	0
0	0
0	0
145	0
0	0
23	0
102	0
0	0
28	94
5	94
14	0
0	0
86	0
103	0
0	0
0	0
30	0
17	0
41	0
85	0
45	0
1	56
14	56
391	0
3	0
24	0
31	0
3	0
105	0
35	0
0	150
104	0
3	131
2	131
94	0
60	0
106	0
20	0
4	0
0	763
36	759
0	0
51	0
7	53
2	53
28	0
7	637
21	0
0	0
15	0
34	0
54	0
13	0
19	0
73	0
0	0
97	0
0	0
78	0
28	0
55	0
25	134
0	134
0	10
10	0
0	0
0	0
0	0
31	0
0	47
0	0
4	0
1	47
5	43
0	43
25	0
16	0
0	0
0	0
219	0
72	0
53	0
33	0
38	0
47	0
91	0
0	0
8	0
0	0
16	0
67	0
0	0
18	0
36	0
58	0
0	0
32	0
131	0
48	0
16	33
15	33
35	0
59	0
0	0
1	0
2	28
0	28
238	0
25	0
35	0
16	0
45	0
0	20
6	20
3	20
0	20
36	0
10	0
135	0
5	0
18	0
201	0
0	50
0	50
55	0
120	0
0	21
15	58
0	58
4	8
3	8
85	0
0	0
2	0
2	21
3	21
32	0
32	0
0	0
12	66
2	66
59	0
7	0
44	0
45	0
0	0
0	26
2	26
32	101
0	101
0	10
0	10
0	0
39	0
92	0
22	0
0	51
0	37
0	53
23	0
10	115
0	115
34	0
29	0
0	33
1	26
0	26
21	0
0	0
9	0
106	0
1	16
3	16
92	0
0	0
223	0
22	0
26	0
60	0
75	0
63	0
78	0
0	0
223	0
523	19
130	0
60	0
41	0
1	41
3	41
13	136
7	136
29	0
0	0
161	0
1	0
41	0
32	0
30	0
30	0
17	0
30	0
26	0
0	13
1	13
16	18
0	18
0	0
17	0
28	0
0	0
31	0
1	137
15	137
25	0
2	23
9	23
126	329
24	0
53	0
325	0
1	29
4	29
0	0
31	14
0	14
89	0
1	31
6	31
0	16
2	16
18	58
14	57
0	37
2	34
3	34
1	0
36	0
27	0
52	0
0	0
28	0
116	0
7	0
2	0
0	0
2	52
3	51
0	50
60	0
138	0
32	0
87	0
41	0
85	0
56	0
1	40
3	40
6	169
5	169
0	0
27	0
68	0
2	39
7	39
