UniqueCount	AmbigCount
19	0
40	0
7	0
17	195
20	195
31	0
32	0
19	0
0	0
31	0
53	0
114	0
33	0
15	0
23	0
32	0
60	0
0	0
29	0
47	0
15	0
41	0
11	0
157	0
69	0
25	0
29	0
2	18
7	18
44	0
66	0
50	0
29	0
24	0
28	0
23	0
23	0
37	0
104	0
256	0
4	51
57	0
34	0
0	28
9	28
184	0
9	89
0	89
39	0
44	0
53	0
38	0
99	0
0	21
1	21
0	0
36	0
56	0
18	109
0	109
56	0
29	0
1	31
28	31
47	0
31	0
124	0
9	73
0	73
0	73
77	0
42	0
87	0
8	36
4	36
23	0
48	0
31	0
35	0
73	0
130	0
200	0
0	157
93	319
56	0
22	0
106	0
0	304
31	0
17	0
0	0
88	0
0	2
0	2
34	0
48	0
59	0
132	0
47	0
3	0
0	162
29	0
68	0
10	0
296	349
5	349
21	0
0	11
32	0
16	0
0	0
17	0
158	0
87	0
53	0
109	0
5	0
10	31
0	28
1	31
22	10
5	10
64	0
51	0
238	0
19	0
34	0
23	0
40	0
92	0
108	0
23	0
91	0
65	0
57	0
26	0
20	0
53	0
17	0
35	0
34	0
33	0
32	0
28	0
70	0
0	17
3	17
14	0
5	0
18	0
145	0
279	0
69	0
41	0
64	0
0	0
21	0
23	0
8	0
84	0
94	0
47	119
5	119
2	0
34	0
22	0
54	0
19	0
64	0
42	0
138	0
70	0
0	31
2	31
45	0
53	0
2	82
4	82
27	0
8	54
0	54
16	27
8	27
0	31
1	31
34	0
28	0
28	0
50	0
64	0
103	0
9	17
0	17
263	0
312	0
16	0
55	0
87	0
71	0
119	0
60	0
32	0
81	0
29	0
23	47
4	47
5	0
23	0
51	0
58	0
45	0
56	0
24	0
22	0
33	0
70	0
47	0
2	38
12	38
233	0
7	0
42	0
37	0
5	0
44	0
28	0
6	133
79	0
5	99
6	99
59	0
61	0
78	0
15	0
13	0
25	615
122	556
9	0
56	0
4	42
5	42
42	0
5	678
6	0
0	0
13	0
44	0
43	0
70	0
20	0
58	0
42	0
91	0
29	0
86	0
31	0
97	0
9	102
0	102
64	10
83	0
5	24
1	24
60	0
12	0
0	16
0	2
2	0
3	16
4	53
3	53
38	0
24	0
0	0
12	0
185	0
76	0
35	0
32	0
33	0
43	0
99	0
0	0
9	0
75	0
23	0
69	0
159	0
23	0
37	0
64	0
59	0
61	0
84	0
41	0
13	30
7	30
22	0
51	0
115	0
2	0
3	24
2	24
156	0
17	0
20	0
10	0
55	0
6	43
3	43
2	15
0	15
40	0
5	0
163	0
15	0
53	0
171	0
0	66
2	66
29	0
105	0
11	34
12	56
2	56
6	15
2	15
63	0
94	0
478	0
4	24
4	24
40	0
46	0
32	0
4	62
0	62
46	0
9	0
27	0
67	0
5	0
0	21
1	21
36	101
14	101
2	7
6	7
11	0
24	0
22	0
24	0
0	52
0	43
0	55
26	0
15	72
0	72
30	0
26	0
0	40
0	39
0	28
22	0
67	0
6	0
45	0
2	21
3	21
54	0
0	0
172	0
35	0
24	0
33	0
73	0
66	0
21	0
215	0
196	0
495	25
148	0
72	0
44	0
1	47
1	47
6	149
8	149
55	0
47	0
97	0
181	0
39	0
43	0
24	0
32	0
43	0
19	0
31	0
4	16
0	16
19	26
17	26
26	0
23	0
37	0
0	0
27	0
0	111
13	111
24	0
1	43
11	43
87	246
22	0
67	0
132	0
1	40
3	40
11	0
23	11
14	11
72	0
3	35
9	35
0	22
5	22
1	68
17	63
1	49
3	56
3	56
151	0
18	0
0	0
38	0
49	0
18	0
94	0
6	0
0	0
47	0
0	82
3	80
1	81
60	0
65	0
15	0
98	0
82	0
51	0
67	0
5	29
3	29
8	169
8	169
27	0
27	0
58	0
3	31
2	31
40	0
48	0
4	33
1	33
4	12
0	12
79	0
95	0
21	0
38	0
27	0
16	0
51	0
28	0
28	0
11	18
1	18
18	0
142	0
0	32
21	32
1	20
26	20
3	52
1	52
12	112
7	112
69	0
8	53
224	7
29	77
35	60
125	0
165	0
0	28
1	28
28	0
23	244
5	118
16	118
26	0
7	29
2	29
6	32
10	32
0	0
2	76
1	76
0	75
23	0
203	0
0	11
1	11
15	0
0	14858
37	6538
4	14515
5	7532
132	0
271	0
53	339
29	0
40	0
0	0
0	0
68	0
53	0
1	23
25	23
51	13
40	13
24	0
18	324
15	324
101	0
4	0
33	1
57	1
0	43
5	43
22	0
74	0
0	157
0	157
95	0
3	159
1	136
4	144
47	0
53	0
14	0
4	15
1	15
55	0
89	0
0	24
1	24
45	0
305	0
0	97
52	97
61	0
0	1
3	1
95	304
15	0
177	0
1	89
8	89
0	75
2	75
21	0
4	23
0	23
41	0
91	0
174	0
121	0
33	0
35	0
29	0
0	69
24	25
0	66
70	0
32	193
8	193
310	0
78	0
14	108
3	108
188	0
39	0
50	0
42	194
13	194
0	0
0	0
25	0
151	0
73	0
104	0
30	0
69	0
7	167
4	167
31	0
1	0
53	617
0	617
3	89
8	89
27	0
76	0
4	9
0	9
1308	0
107	0
1	316
2	316
68	33
87	33
62	0
33	0
1	64
7	64
59	0
2	204
0	44
7	202
3	14
0	46
0	99
0	100
79	222
4	222
21	0
0	15
26	15
53	0
2	56
9	56
101	0
81	0
54	0
4	101
1	101
11	0
0	47
5	47
68	0
42	0
58	0
17	0
0	36
5	36
69	0
5	24
1	29
6	29
0	44
2	44
1	41
31	37
3	41
65	0
45	0
3	104
0	104
0	73
0	73
2	71
136	0
22	0
240	0
367	0
19	0
6	94
5	94
6	157
1	157
1	0
29	0
6	217
22	224
74	144
59	0
63	0
0	165
0	119
0	113
0	110
0	168
0	174
28	0
22	68
3	68
112	0
7	30
0	30
0	58
4	58
131	0
0	44
1	70
0	44
0	87
35	0
78	0
1	41
0	41
14	121
10	121
72	0
86	0
138	0
297	0
25	0
58	0
291	0
22	0
68	0
41	0
70	0
35	0
0	24
0	24
0	24
77	0
90	0
143	0
0	3
0	59
0	4
0	58
2	66
0	68
3	68
489	0
2	97
1	97
137	0
0	40
0	41
0	34
166	0
0	39
10	39
1	0
0	276
0	245
0	272
0	272
0	249
0	276
0	241
0	245
1097	0
131	0
110	0
63	0
18	0
236	0
34	0
86	0
94	0
30	0
2	111
0	111
13	61
78	61
0	0
1	0
3	29
12	29
0	29
260	12
203	0
5	62
7	62
245	0
282	0
1	83
0	88
2	111
0	106
228	0
330	0
1	546
4	546
34	404
0	404
13	45
2	45
66	0
2	52
2	23
0	75
1	30
4	0
33	0
1	142
11	159
0	160
60	0
93	0
70	0
3	94
4	94
82	0
110	0
33	678
0	65
0	66
0	65
0	66
0	18
0	17
0	19
4	16
0	83
21	64
2	111
66	0
115	0
101	0
165	0
68	108
35	108
4	72
5	72
23	20
20	0
59	0
0	53
93	53
50	0
366	99
76	0
0	75
5	75
5	148
9	148
19	19
3	19
0	39
0	54
0	41
28	0
0	683
0	683
2	48
0	48
27	675
0	675
17	5
7	16
14	28
9	31
3	218
1	217
0	218
1	217
109	0
12	69
0	69
29	412
104	412
194	0
3	91
9	91
114	0
57	0
1	66
5	66
0	526
0	399
0	520
190	0
15	0
70	0
1	191
6	398
15	363
166	0
57	215
0	168
3	157
53	0
11	188
0	188
0	3268
374	3268
114	0
18	21
0	21
918	0
114	361
113	216
0	362
62	0
1	63
3	63
88	0
232	0
94	0
58	0
40	0
2	93
0	89
0	90
31	0
110	0
0	366
5	971
0	867
0	977
0	958
20	79
10	79
23	0
52	0
0	48
14	48
69	6
84	0
116	0
426	0
0	1018
0	1347
759	1345
0	57
1	57
0	106
0	109
0	99
0	106
0	102
44	0
336	0
0	0
91	0
0	44
0	38
0	42
0	40
0	37
39	0
5	254
0	254
12	0
14	102
8	102
98	0
113	119
0	119
37	0
6	108
1	117
104	116
0	94
13	94
207	0
106	0
0	26
9	18
5	26
1	5
3	30
2	30
51	0
66	0
0	311
3	300
12	309
25	0
13	4397
1	4608
51	232
7	59
0	76
0	46
0	8
3	8
34	804
12	640
157	555
22	825
698	0
76	0
334	485
12	452
2	343
1	45
1	45
81	0
99	0
0	109
3	118
0	96
5	118
38	391
19	391
0	9
0	10
0	10
56	0
