UniqueCount	AmbigCount
22	0
0	0
7	0
10	335
10	335
0	0
0	0
0	0
0	0
53	0
23	0
191	0
0	0
12	0
0	0
16	0
0	0
0	0
36	0
0	0
0	0
0	0
0	0
324	0
136	0
0	0
0	0
0	25
13	25
51	0
86	0
0	0
53	0
16	0
0	0
72	0
0	0
0	0
130	0
503	0
0	0
45	0
0	0
10	21
4	21
143	0
15	147
0	147
0	0
0	0
149	0
66	0
2	0
0	27
0	27
0	0
32	0
72	0
54	203
0	203
0	0
0	0
5	96
106	96
72	0
0	0
0	0
31	127
2	128
1	128
112	0
0	0
98	0
11	39
23	39
0	0
100	0
0	0
50	0
0	0
243	0
474	0
0	362
149	490
32	0
0	0
131	0
0	348
0	0
0	0
0	0
143	0
0	30
4	30
0	0
0	0
109	0
159	0
104	0
24	0
74	151
53	0
75	0
5	0
265	828
10	828
19	0
10	41
65	0
28	0
87	0
48	0
335	0
176	0
0	0
0	0
3	0
10	27
4	25
2	27
35	5
0	5
0	0
45	0
460	0
23	0
43	0
0	0
45	0
59	0
165	0
0	0
159	0
97	0
26	0
41	0
11	0
79	0
27	0
40	0
0	0
0	0
28	0
0	0
107	0
5	2
2	2
51	0
13	0
20	0
214	0
416	0
0	0
128	0
128	0
0	0
10	0
0	0
1079	0
202	0
181	0
38	122
3	122
5	0
35	0
24	0
78	0
28	0
98	0
44	0
274	0
60	0
0	34
0	34
56	0
0	0
0	0
0	0
10	0
0	4
0	4
0	0
0	0
0	0
0	0
0	0
38	0
112	0
120	0
73	0
108	0
12	14
3	14
1276	0
389	0
0	0
91	0
1	0
0	0
158	0
0	0
58	0
91	0
0	0
29	126
2	126
12	0
1	0
54	0
140	0
0	0
0	0
38	0
45	0
63	0
114	0
48	0
0	131
22	131
346	0
52	0
27	0
65	0
3	0
64	0
54	0
8	187
200	0
19	223
13	223
104	0
73	0
144	0
34	0
28	0
51	1485
312	1499
0	0
31	0
0	61
8	61
39	0
31	526
7	0
15	0
32	0
52	0
68	0
33	0
31	0
64	0
0	0
135	0
0	0
155	0
74	0
73	0
18	249
5	249
1	4
9	0
0	0
0	0
0	0
30	0
0	24
0	0
2	0
0	24
14	147
0	147
91	0
24	0
0	0
0	0
262	0
87	0
74	0
48	0
76	0
35	0
124	0
0	0
23	0
0	0
43	0
87	0
2	0
21	0
77	0
50	0
0	0
75	0
138	0
58	0
17	49
42	49
22	0
94	0
0	0
0	0
9	47
0	47
299	0
60	0
29	0
8	0
38	0
0	13
1	13
0	25
2	25
55	0
42	0
174	0
15	0
40	0
328	0
0	72
2	72
39	0
152	0
0	47
6	84
1	84
16	10
4	10
12	0
0	0
0	0
8	43
2	43
29	0
1	0
0	0
19	79
1	79
94	0
52	0
34	0
75	0
0	0
0	39
3	39
87	142
0	142
12	17
1	17
0	0
36	0
153	0
55	0
0	36
0	24
0	36
59	0
23	109
0	109
46	0
10	0
