UniqueCount	AmbigCount
0	0
43	0
22	0
0	2
1	2
44	0
46	0
30	0
78	0
0	0
0	0
0	0
41	0
0	0
63	0
24	0
83	0
47	0
0	0
107	0
21	0
97	0
34	0
2	0
0	0
48	0
33	0
0	0
0	0
1	0
0	0
53	0
3	0
0	0
74	0
2	0
14	0
59	0
1	0
1	0
20	84
1	0
78	0
0	0
0	0
2	0
0	0
0	0
71	0
58	0
2	0
0	0
239	0
0	0
0	0
75	0
0	0
0	0
2	0
0	0
91	0
39	0
1	0
1	0
1	0
36	0
266	0
1	0
0	0
0	0
0	0
66	0
21	0
0	0
0	0
70	0
2	0
64	0
2	0
98	0
0	0
3	0
0	341
159	412
0	0
38	0
0	0
0	537
59	0
55	0
57	0
1	0
0	23
2	23
40	0
55	0
1	0
120	0
1	0
3	0
40	126
1	0
1	0
2	0
259	399
6	399
0	0
0	18
1	0
22	0
4	0
1	0
0	0
0	0
92	0
203	0
0	0
0	0
0	0
0	0
0	0
9	0
85	0
1	0
2	0
0	0
1	0
19	0
0	0
0	0
2	0
49	0
0	0
110	0
68	0
0	0
8	0
0	0
0	0
0	0
90	0
66	0
4	0
55	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
113	0
5	0
1	0
0	0
29	0
36	0
3	0
1	0
1	0
0	1
0	1
10	0
1	0
2	0
0	0
9	0
0	0
1	0
5	0
0	0
0	0
0	0
5	0
89	0
9	123
6	123
0	0
15	65
0	65
43	60
8	60
0	57
4	57
44	0
0	0
0	0
0	0
3	0
0	0
0	1
0	1
532	0
372	0
27	0
2	0
149	0
116	0
50	0
105	0
0	0
0	0
42	0
0	1
0	1
0	0
27	0
0	0
0	0
72	0
56	0
0	0
0	0
0	0
1	0
0	0
0	1
0	1
673	0
3	0
0	0
0	0
11	0
1	0
0	0
9	157
2	0
0	6
1	6
0	0
0	0
0	0
0	0
17	0
31	1129
207	928
38	0
0	0
0	0
1	0
0	0
22	1005
0	0
0	0
0	0
4	0
1	0
112	0
1	0
0	0
59	0
9	0
46	0
0	0
0	0
70	0
0	2
0	2
126	0
82	0
10	58
5	58
58	0
0	0
0	12
0	1
1	1
4	12
0	3
0	3
0	0
0	0
51	0
26	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
354	0
0	0
95	0
0	0
0	0
307	0
1	0
0	0
0	0
133	0
0	0
0	0
1	0
2	10
0	10
0	0
0	0
112	0
58	0
0	0
0	0
3	0
25	0
0	0
13	0
1	0
0	0
0	0
0	0
0	0
1	0
80	0
1	0
1	0
0	0
46	0
0	0
0	0
0	0
14	0
11	1
0	1
0	1
0	0
0	0
0	0
182	0
1123	0
0	0
0	0
0	0
0	0
41	0
0	0
0	0
1	0
18	0
0	0
0	0
17	0
0	0
0	0
0	3
14	3
0	0
0	0
16	0
1	0
30	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
3	0
1	0
0	0
0	0
0	0
0	0
119	0
10	0
1	0
0	0
0	0
4	0
313	0
0	0
2	0
0	0
0	0
1	0
0	0
1	0
307	0
20	0
759	14
66	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
72	3
1	3
271	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
19	0
30	0
0	0
12	0
