group	lib.size	norm.factors	eff.lib.size
bleached_k4_01	1000012	0.912650598257932	912661.550065111
bleached_44_01	999994	1.01425249882739	1014246.41331239
bleached_k4_02	999992	1.07132007950836	1071311.50894773
bleached_44_02	999980	1.10047927149304	1100457.26190761
bleached_44_03	1000010	0.997713947168605	997723.924308076
bleached_k4_03	1000017	0.994932360377091	994949.274227218
non-bleached_k4_01	1000003	0.961492133718936	961495.018195337
non-bleached_k4_02	1000005	0.828821281819091	828825.425925501
non-bleached_44_01	999994	0.928007115981247	928001.547938551
non-bleached_k4_03	999972	0.996552252540028	996524.349076957
non-bleached_44_02	1000009	1.17804225621122	1178052.85859153
non-bleached_44_03	999988	1.06323626098634	1063223.50215121
