group	lib.size	norm.factors	eff.lib.size
bleached_k4_01	1000004	0.875338017278685	875341.518630754
bleached_44_01	999982	1.0386543012876	1038635.60551018
bleached_k4_02	1000014	1.08030805068357	1080323.17499628
bleached_44_02	999987	1.08510359092534	1085089.48457866
bleached_44_03	999974	0.987722709420758	987697.028630313
bleached_k4_03	1e+06	0.990076725661358	990076.725661358
non-bleached_k4_01	999986	0.974527248530796	974513.605149317
non-bleached_k4_02	1000001	0.843773321675927	843774.165449249
non-bleached_44_01	999990	0.938611292688645	938601.906575718
non-bleached_k4_03	999958	0.9973511533078	997309.264559362
non-bleached_44_02	999995	1.18572484047099	1185718.91184678
non-bleached_44_03	1e+06	1.05121831119644	1051218.31119644
