,Count,Percent,Term
GO:0000003,2,0.823045267489712,reproduction
GO:0000278,2,0.823045267489712,mitotic cell cycle
GO:0000902,2,0.823045267489712,cell morphogenesis
GO:0002376,3,1.23456790123457,immune system process
GO:0003013,4,1.64609053497942,circulatory system process
GO:0005975,0,0,carbohydrate metabolic process
GO:0006091,0,0,generation of precursor metabolites...
GO:0006259,0,0,DNA metabolic process
GO:0006397,1,0.411522633744856,mRNA processing
GO:0006399,0,0,tRNA metabolic process
GO:0006412,0,0,translation
GO:0006457,0,0,protein folding
GO:0006464,8,3.29218106995885,cellular protein modification proce...
GO:0006520,0,0,cellular amino acid metabolic proce...
GO:0006605,0,0,protein targeting
GO:0006629,2,0.823045267489712,lipid metabolic process
GO:0006790,4,1.64609053497942,sulfur compound metabolic process
GO:0006810,18,7.40740740740741,transport
GO:0006913,0,0,nucleocytoplasmic transport
GO:0006914,0,0,autophagy
GO:0006950,3,1.23456790123457,response to stress
GO:0007005,1,0.411522633744856,mitochondrion organization
GO:0007009,0,0,plasma membrane organization
GO:0007010,0,0,cytoskeleton organization
GO:0007034,0,0,vacuolar transport
GO:0007049,3,1.23456790123457,cell cycle
GO:0007059,0,0,chromosome segregation
GO:0007155,1,0.411522633744856,cell adhesion
GO:0007165,12,4.93827160493827,signal transduction
GO:0007267,9,3.7037037037037,cell-cell signaling
GO:0007568,0,0,aging
GO:0008150,79,32.5102880658436,biological_process
GO:0008219,2,0.823045267489712,cell death
GO:0008283,0,0,cell proliferation
GO:0009056,1,0.411522633744856,catabolic process
GO:0009058,8,3.29218106995885,biosynthetic process
GO:0009790,4,1.64609053497942,embryo development
GO:0015031,0,0,protein transport
GO:0015979,0,0,photosynthesis
GO:0016192,0,0,vesicle-mediated transport
GO:0019748,0,0,secondary metabolic process
GO:0021700,0,0,developmental maturation
GO:0022607,4,1.64609053497942,cellular component assembly
GO:0022618,0,0,ribonucleoprotein complex assembly
GO:0030154,10,4.11522633744856,cell differentiation
GO:0030198,0,0,extracellular matrix organization
GO:0030705,0,0,cytoskeleton-dependent intracellula...
GO:0032196,0,0,transposition
GO:0034330,0,0,cell junction organization
GO:0034641,9,3.7037037037037,cellular nitrogen compound metaboli...
GO:0034655,0,0,nucleobase-containing compound cata...
GO:0040007,0,0,growth
GO:0040011,0,0,locomotion
GO:0042254,0,0,ribosome biogenesis
GO:0042592,5,2.05761316872428,homeostatic process
GO:0043473,0,0,pigmentation
GO:0044281,7,2.88065843621399,small molecule metabolic process
GO:0044403,0,0,symbiont process
GO:0048646,2,0.823045267489712,anatomical structure formation invo...
GO:0048856,17,6.99588477366255,anatomical structure development
GO:0048870,0,0,cell motility
GO:0050877,0,0,nervous system process
GO:0051186,4,1.64609053497942,cofactor metabolic process
GO:0051276,0,0,chromosome organization
GO:0051301,2,0.823045267489712,cell division
GO:0051604,0,0,protein maturation
GO:0055085,10,4.11522633744856,transmembrane transport
GO:0061024,2,0.823045267489712,membrane organization
GO:0065003,2,0.823045267489712,protein-containing complex assembly
GO:0071554,0,0,cell wall organization or biogenesi...
GO:0071941,0,0,nitrogen cycle metabolic process
GO:0140014,0,0,mitotic nuclear division
