description	log10pvalue	representative
peptidyl-aspartic acid modification	2.8553	peptidyl-aspartic acid modification
peptidyl-aspartic acid hydroxylation	2.9471	peptidyl-aspartic acid modification
molybdenum incorporation into molybdenum-molybdopterin complex	1.8881	peptidyl-aspartic acid modification
protein hydroxylation	1.5303	peptidyl-aspartic acid modification
co-translational protein modification	1.4185	peptidyl-aspartic acid modification
metal incorporation into metallo-molybdopterin complex	1.8881	peptidyl-aspartic acid modification
embryonic hindgut morphogenesis	2.3179	embryonic hindgut morphogenesis
regulation of vasculogenesis	1.5481	embryonic hindgut morphogenesis
cornification	1.3684	embryonic hindgut morphogenesis
otolith mineralization	1.7873	embryonic hindgut morphogenesis
Bergmann glial cell differentiation	1.8545	embryonic hindgut morphogenesis
negative regulation of hippo signaling	1.3295	embryonic hindgut morphogenesis
atrioventricular canal development	1.4829	embryonic hindgut morphogenesis
negative regulation of release of cytochrome c from mitochondria	1.3069	embryonic hindgut morphogenesis
negative regulation of cortisol secretion	2.2813	embryonic hindgut morphogenesis
face morphogenesis	1.7093	embryonic hindgut morphogenesis
myeloid cell development	1.9604	embryonic hindgut morphogenesis
epithelial cell morphogenesis involved in placental branching	2.1618	embryonic hindgut morphogenesis
cerebellar cortex formation	1.9364	embryonic hindgut morphogenesis
regulation of NF-kappaB import into nucleus	1.332	embryonic hindgut morphogenesis
embryonic development via the syncytial blastoderm	1.8303	embryonic hindgut morphogenesis
regulation of cardiac muscle contraction by calcium ion signaling	1.7229	embryonic hindgut morphogenesis
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	1.8409	embryonic hindgut morphogenesis
embryo development ending in seed dormancy	1.8358	embryonic hindgut morphogenesis
peroxisome localization	1.8498	peroxisome localization
abortive mitotic cell cycle	2.2813	abortive mitotic cell cycle
decapentaplegic signaling pathway	2.1553	decapentaplegic signaling pathway
ubiquitin-dependent SMAD protein catabolic process	1.9273	decapentaplegic signaling pathway
hormone-mediated signaling pathway	1.471	decapentaplegic signaling pathway
cellular hypotonic response	1.3456	decapentaplegic signaling pathway
negative regulation of transcription from RNA polymerase II promoter in response to hypoxia	1.6721	decapentaplegic signaling pathway
neurotrophin TRK receptor signaling pathway	1.6172	decapentaplegic signaling pathway
negative regulation of cell adhesion mediated by integrin	1.8303	decapentaplegic signaling pathway
negative regulation of superoxide anion generation	1.585	decapentaplegic signaling pathway
detection of calcium ion	1.4485	decapentaplegic signaling pathway
carbohydrate utilization	2.0818	carbohydrate utilization
chloroplast RNA processing	1.5152	chloroplast RNA processing
chloroplast mRNA processing	1.5152	chloroplast RNA processing
dynamin family protein polymerization involved in mitochondrial fission	1.7651	dynamin family protein polymerization involved in mitochondrial fission
cell septum assembly	1.3873	dynamin family protein polymerization involved in mitochondrial fission
glycolate biosynthetic process	1.7597	glycolate biosynthesis
malonyl-CoA biosynthetic process	1.6259	glycolate biosynthesis
regulation of acetyl-CoA biosynthetic process from pyruvate	1.6556	glycolate biosynthesis
