,Count,Percent,Term
GO:0000003,2,0.851063829787234,reproduction
GO:0000278,0,0,mitotic cell cycle
GO:0000902,0,0,cell morphogenesis
GO:0002376,0,0,immune system process
GO:0003013,4,1.70212765957447,circulatory system process
GO:0005975,9,3.82978723404255,carbohydrate metabolic process
GO:0006091,1,0.425531914893617,generation of precursor metabolites...
GO:0006259,5,2.12765957446809,DNA metabolic process
GO:0006397,0,0,mRNA processing
GO:0006399,0,0,tRNA metabolic process
GO:0006412,0,0,translation
GO:0006457,0,0,protein folding
GO:0006464,0,0,cellular protein modification proce...
GO:0006520,1,0.425531914893617,cellular amino acid metabolic proce...
GO:0006605,0,0,protein targeting
GO:0006629,8,3.40425531914894,lipid metabolic process
GO:0006790,0,0,sulfur compound metabolic process
GO:0006810,13,5.53191489361702,transport
GO:0006913,0,0,nucleocytoplasmic transport
GO:0006914,0,0,autophagy
GO:0006950,1,0.425531914893617,response to stress
GO:0007005,0,0,mitochondrion organization
GO:0007009,0,0,plasma membrane organization
GO:0007010,0,0,cytoskeleton organization
GO:0007034,0,0,vacuolar transport
GO:0007049,0,0,cell cycle
GO:0007059,0,0,chromosome segregation
GO:0007155,0,0,cell adhesion
GO:0007165,3,1.27659574468085,signal transduction
GO:0007267,4,1.70212765957447,cell-cell signaling
GO:0007568,0,0,aging
GO:0008150,104,44.2553191489362,biological_process
GO:0008219,0,0,cell death
GO:0008283,0,0,cell proliferation
GO:0009056,5,2.12765957446809,catabolic process
GO:0009058,12,5.1063829787234,biosynthetic process
GO:0009790,1,0.425531914893617,embryo development
GO:0015031,0,0,protein transport
GO:0015979,4,1.70212765957447,photosynthesis
GO:0016192,0,0,vesicle-mediated transport
GO:0019748,0,0,secondary metabolic process
GO:0021700,0,0,developmental maturation
GO:0022607,2,0.851063829787234,cellular component assembly
GO:0022618,0,0,ribonucleoprotein complex assembly
GO:0030154,0,0,cell differentiation
GO:0030198,0,0,extracellular matrix organization
GO:0030705,0,0,cytoskeleton-dependent intracellula...
GO:0032196,4,1.70212765957447,transposition
GO:0034330,0,0,cell junction organization
GO:0034641,10,4.25531914893617,cellular nitrogen compound metaboli...
GO:0034655,0,0,nucleobase-containing compound cata...
GO:0040007,0,0,growth
GO:0040011,1,0.425531914893617,locomotion
GO:0042254,0,0,ribosome biogenesis
GO:0042592,1,0.425531914893617,homeostatic process
GO:0043473,0,0,pigmentation
GO:0044281,8,3.40425531914894,small molecule metabolic process
GO:0044403,3,1.27659574468085,symbiont process
GO:0048646,0,0,anatomical structure formation invo...
GO:0048856,7,2.97872340425532,anatomical structure development
GO:0048870,0,0,cell motility
GO:0050877,3,1.27659574468085,nervous system process
GO:0051186,2,0.851063829787234,cofactor metabolic process
GO:0051276,0,0,chromosome organization
GO:0051301,0,0,cell division
GO:0051604,0,0,protein maturation
GO:0055085,9,3.82978723404255,transmembrane transport
GO:0061024,0,0,membrane organization
GO:0065003,2,0.851063829787234,protein-containing complex assembly
GO:0071554,6,2.5531914893617,cell wall organization or biogenesi...
GO:0071941,0,0,nitrogen cycle metabolic process
GO:0140014,0,0,mitotic nuclear division
