% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0002376,"immune system process",0.600%,-29.6179,0.994,0.000,"immune system process"
GO:0007155,"cell adhesion",0.544%,-23.2241,0.989,0.000,"cell adhesion"
GO:0008150,"biological_process",100.000%,-300.0000,1.000,0.000,"biological_process"
GO:0008152,"metabolic process",75.387%,-130.9462,0.999,0.000,"metabolism"
GO:0009056,"catabolic process",4.820%,-40.4896,0.979,0.000,"catabolism"
GO:0009987,"cellular process",63.780%,-300.0000,0.998,0.000,"cellular process"
GO:0022610,"biological adhesion",0.550%,-22.8875,0.994,0.000,"biological adhesion"
GO:0032501,"multicellular organismal process",2.373%,-70.8558,0.994,0.000,"multicellular organismal process"
GO:0032502,"developmental process",2.812%,-159.2737,0.994,0.000,"developmental process"
GO:0040011,"locomotion",0.997%,-21.7116,0.994,0.000,"locomotion"
GO:0044699,"single-organism process",46.569%,-282.2344,0.997,0.000,"single-organism process"
GO:0044767,"single-organism developmental process",2.699%,-155.6394,0.807,0.000,"single-organism developmental process"
GO:0007389,"pattern specification process",0.147%,-19.1167,0.829,0.685,"single-organism developmental process"
GO:0044710,"single-organism metabolic process",31.682%,-50.1597,0.900,0.335,"single-organism developmental process"
GO:0019752,"carboxylic acid metabolic process",8.831%,-23.8798,0.818,0.406,"single-organism developmental process"
GO:0044763,"single-organism cellular process",27.536%,-221.9555,0.883,0.176,"single-organism developmental process"
GO:0048598,"embryonic morphogenesis",0.171%,-18.3157,0.824,0.695,"single-organism developmental process"
GO:0032990,"cell part morphogenesis",0.174%,-18.8650,0.729,0.697,"single-organism developmental process"
GO:0030855,"epithelial cell differentiation",0.139%,-22.5591,0.798,0.681,"single-organism developmental process"
GO:0006066,"alcohol metabolic process",0.422%,-17.2177,0.919,0.178,"single-organism developmental process"
GO:0006629,"lipid metabolic process",3.522%,-24.2951,0.898,0.117,"single-organism developmental process"
GO:0006082,"organic acid metabolic process",9.086%,-25.1876,0.819,0.664,"single-organism developmental process"
GO:0044281,"small molecule metabolic process",15.138%,-45.7194,0.906,0.300,"single-organism developmental process"
GO:0048511,"rhythmic process",0.077%,-17.0754,0.994,0.000,"rhythmic process"
GO:0048522,"positive regulation of cellular process",1.585%,-164.0489,0.599,0.000,"positive regulation of cellular process"
GO:0048523,"negative regulation of cellular process",1.830%,-114.0307,0.630,0.333,"positive regulation of cellular process"
GO:0048519,"negative regulation of biological process",1.984%,-120.7063,0.720,0.334,"positive regulation of cellular process"
GO:0048518,"positive regulation of biological process",1.744%,-178.3192,0.724,0.323,"positive regulation of cellular process"
GO:1901698,"response to nitrogen compound",0.178%,-34.3302,0.919,0.612,"positive regulation of cellular process"
GO:1901700,"response to oxygen-containing compound",0.503%,-25.5602,0.911,0.675,"positive regulation of cellular process"
GO:0023051,"regulation of signaling",0.934%,-89.5441,0.724,0.300,"positive regulation of cellular process"
GO:0006796,"phosphate-containing compound metabolic process",13.110%,-32.2225,0.893,0.482,"positive regulation of cellular process"
GO:0080090,"regulation of primary metabolic process",11.675%,-152.2384,0.593,0.693,"positive regulation of cellular process"
GO:0032268,"regulation of cellular protein metabolic process",1.473%,-64.2577,0.620,0.453,"positive regulation of cellular process"
GO:0051716,"cellular response to stimulus",9.561%,-63.8960,0.857,0.680,"positive regulation of cellular process"
GO:0051726,"regulation of cell cycle",0.547%,-21.4621,0.707,0.290,"positive regulation of cellular process"
GO:0051246,"regulation of protein metabolic process",1.551%,-72.7995,0.655,0.318,"positive regulation of cellular process"
GO:0051239,"regulation of multicellular organismal process",0.628%,-67.3481,0.703,0.287,"positive regulation of cellular process"
GO:0048583,"regulation of response to stimulus",1.120%,-95.8017,0.693,0.306,"positive regulation of cellular process"
