b_44_01	b_44_02	b_44_03	nb_44_04	nb_44_05	nb_44_06	b_k4_01	b_k4_02	b_k4_03	nb_k4_04	nb_k4_05	nb_k4_06
b_44_01	1	0.812722265168434	0.826590570984204	0.849997912265883	0.739779502710255	0.545172642497467	-0.600072754308483	-0.785628931015119	-0.862827491278489	-0.711257647464664	-0.770629941363903	-0.73267663498063
b_44_02	0.812722265168434	1	0.946808355183377	0.788542200236869	0.822986032089176	0.433515659542129	-0.671143913489787	-0.789615428472983	-0.839860375950646	-0.712296836773234	-0.796504996060581	-0.746794811562911
b_44_03	0.826590570984204	0.946808355183377	1	0.798222220799076	0.858009901253677	0.343264016177387	-0.607897238220674	-0.817407888626591	-0.852622035252135	-0.731330329017989	-0.794081560716566	-0.713063692148297
nb_44_04	0.849997912265883	0.788542200236869	0.798222220799076	1	0.763225103340223	0.660476182756947	-0.576695625485781	-0.767438936913044	-0.854955235056521	-0.753669289650632	-0.778935143791785	-0.737551271471431
nb_44_05	0.739779502710255	0.822986032089176	0.858009901253677	0.763225103340223	1	0.437794708774704	-0.518194342603838	-0.80023773480985	-0.858790054366379	-0.66207633758316	-0.769983374370537	-0.646433342127905
nb_44_06	0.545172642497467	0.433515659542129	0.343264016177387	0.660476182756947	0.437794708774704	1	-0.24299836394874	-0.57970640888415	-0.608189745380719	-0.544573264491299	-0.545447421045463	-0.471846309731001
b_k4_01	-0.600072754308483	-0.671143913489787	-0.607897238220674	-0.576695625485781	-0.518194342603838	-0.24299836394874	1	0.346257391228886	0.450404875853884	0.602394805757695	0.255330030263292	0.471327534538782
b_k4_02	-0.785628931015119	-0.789615428472983	-0.817407888626591	-0.767438936913044	-0.80023773480985	-0.57970640888415	0.346257391228886	1	0.903893274880306	0.723343962183047	0.729496787071711	0.466623984746815
b_k4_03	-0.862827491278489	-0.839860375950646	-0.852622035252135	-0.854955235056521	-0.858790054366379	-0.608189745380719	0.450404875853884	0.903893274880306	1	0.646926642636289	0.804398991222631	0.675643929308046
nb_k4_04	-0.711257647464664	-0.712296836773234	-0.731330329017989	-0.753669289650632	-0.66207633758316	-0.544573264491299	0.602394805757695	0.723343962183047	0.646926642636289	1	0.505784119058024	0.356618177597797
nb_k4_05	-0.770629941363903	-0.796504996060581	-0.794081560716566	-0.778935143791785	-0.769983374370537	-0.545447421045463	0.255330030263292	0.729496787071711	0.804398991222631	0.505784119058024	1	0.815234018936654
nb_k4_06	-0.73267663498063	-0.746794811562911	-0.713063692148297	-0.737551271471431	-0.646433342127905	-0.471846309731001	0.471327534538782	0.466623984746815	0.675643929308046	0.356618177597797	0.815234018936654	1
