UniqueCount	AmbigCount
30	0
0	0
0	0
0	0
10	0
0	0
94	0
10	0
1	0
3	0
0	0
7	0
0	0
1	0
5	0
0	0
9	0
0	0
0	0
0	0
456	0
0	0
4	0
0	0
0	0
0	0
7	0
0	0
8	0
0	0
9	0
0	0
0	0
115	0
5	0
20	0
0	0
1	0
0	0
0	0
7	0
8	0
2	0
3	0
7	0
10	0
0	0
0	0
14	0
1	0
0	0
18	0
9	0
0	0
2	0
23	0
4	0
0	0
1	0
8	0
0	0
1	0
10	0
1	0
14	0
9	0
40	0
0	0
0	0
0	0
29	0
0	0
15	0
16	0
0	0
0	0
50	0
0	0
0	1
0	1
9	0
9	0
7	0
1	0
0	0
7	0
0	0
1	0
5	0
15	0
5	0
203	0
2	0
0	0
0	0
0	0
3	0
6	0
2	0
0	0
1	0
1	0
6	0
6	0
1	0
0	0
11	0
10	0
2	0
0	0
0	0
0	0
61	0
0	0
1	0
0	1
0	1
0	0
1	0
1	0
1	0
0	0
6	0
0	0
3	0
0	0
7	0
0	0
0	0
6	0
1	0
7	0
2	0
4	0
0	0
0	0
0	0
10	0
14	0
0	0
35	0
0	0
0	0
11	0
0	0
0	0
0	0
14	0
0	0
0	0
211	0
5	0
2	0
0	0
0	0
0	0
0	0
2	0
0	0
3	0
0	0
2	0
12	0
0	0
3	0
16	0
0	0
0	0
2	0
25	0
96	0
0	0
4	0
1	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
3	0
1	0
1	0
17	0
0	0
0	0
0	0
0	0
18	0
1	0
0	0
0	0
0	0
15	0
10	0
4	0
71	0
0	0
0	0
0	0
0	0
0	0
15	0
4	0
4	0
3	0
12	0
1	0
0	0
0	0
0	0
0	0
0	0
9	0
0	0
0	0
0	0
0	0
3	0
7	0
0	0
7	0
0	0
1	0
3	0
27	0
18	0
4	0
0	0
0	0
0	0
0	0
0	0
2	0
7	0
0	0
0	0
1	0
0	0
14	0
0	0
1	0
12	0
0	1
0	1
174	0
113	0
3	0
1	0
21	0
2	0
9	0
0	0
37	0
3	0
1	0
0	0
0	0
0	0
11	0
1	0
1	0
1	0
0	0
0	0
0	0
2	0
1	0
1	0
0	0
0	0
2	0
0	0
0	0
0	0
16	0
33	0
46	0
0	0
0	0
0	0
4	0
0	0
4	0
11	0
0	0
9	0
0	3
1	3
0	0
19	0
0	0
0	0
0	0
1	0
0	0
2	0
1	0
0	0
0	0
0	0
3	0
6	0
0	0
41	0
0	0
0	0
0	0
0	0
0	0
1	0
8	0
5	0
0	0
5	0
4	0
0	0
0	0
4	0
4	0
7	0
0	0
0	0
0	0
0	0
1	0
1	0
4	0
0	0
0	0
0	0
6	0
0	0
5	0
0	0
0	0
0	0
9	0
0	0
4	0
0	0
0	0
1	0
8	0
0	0
3	0
0	0
3	0
0	0
5	0
2	0
0	0
1	0
7	0
2	0
2	0
1	0
3	0
0	0
5	0
0	0
1	0
0	0
93	0
9	0
39	0
0	0
0	0
0	0
1	0
1	0
5	0
0	0
4	0
4	0
0	0
1	0
1	0
0	0
0	0
2	0
0	0
1	0
0	0
6	0
1	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
2	0
9	0
1	0
1	0
5	0
6	0
0	0
25	0
0	0
27	0
0	0
1	0
1	0
1	0
0	1
23	0
19	0
2	0
4	0
16	0
1	0
8	0
1	0
2	0
76	0
1	0
0	0
38	0
10	0
2	0
35	0
2	0
27	0
0	0
1	0
1	0
15	0
0	0
17	0
0	0
0	0
3	0
2	0
0	0
0	0
145	0
2	0
0	0
48	0
0	0
0	0
1	0
0	0
30	0
