UniqueCount	AmbigCount
4	0
1	0
0	0
6	0
0	0
0	0
2	0
31	0
0	0
0	0
6	0
0	0
16	0
0	0
3	0
0	0
3	0
0	0
0	0
1	0
7	0
2	0
0	0
0	0
0	0
2	0
7	0
0	0
0	0
1	0
24	0
0	0
1	0
228	0
15	0
0	0
3	0
0	0
7	0
0	0
3	0
0	0
0	0
0	0
0	0
22	0
0	1
0	1
50	0
7	0
2	0
0	0
22	0
0	0
0	0
94	0
8	0
2	0
0	0
0	0
0	0
3	0
0	0
5	0
0	0
2	0
61	0
11	0
0	0
8	0
23	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
3	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
1	0
1	0
0	0
0	0
20	0
0	0
5	0
30	0
12	0
0	0
0	0
0	0
0	0
1	0
0	0
1	1
6	1
0	0
11	0
3	0
2	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
16	0
0	0
0	0
0	0
1	0
0	0
9	0
2	0
0	0
45	0
8	0
0	0
16	0
0	0
2	0
3	0
42	0
10	0
10	0
0	0
11	0
5	0
1	0
4	0
0	0
6	0
14	0
0	0
7	0
7	0
0	0
2	0
0	0
0	0
39	0
0	0
0	0
0	0
64	0
5	0
0	0
0	0
1	0
1	0
0	0
1	0
0	0
1	0
0	0
0	0
3	0
0	0
1	0
2	0
24	0
0	0
2	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
18	0
13	0
0	0
3	0
0	0
2	0
6	0
0	0
0	0
22	0
14	0
2	0
0	0
17	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
2	0
0	0
8	0
6	0
0	0
0	0
0	0
18	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
10	0
0	0
1	0
14	0
0	0
0	0
1	0
0	0
7	0
1	0
31	0
5	0
3	0
9	0
56	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
2	0
2	0
4	0
2	0
0	0
0	0
0	0
0	0
0	0
9	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
2	0
0	0
0	0
0	0
16	0
0	0
19	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
2	0
5	0
12	0
2	0
0	0
0	0
1	0
1	0
10	0
0	0
0	0
2	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
2	0
0	0
3	0
2	0
1	0
1	0
2	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
11	0
0	1
0	1
0	0
0	0
0	0
4	0
1	0
1	0
0	0
0	0
7	0
6	0
0	0
1	0
0	0
2	0
0	0
21	0
2	0
0	0
5	0
21	0
0	0
3	0
11	0
3	0
1	0
2	0
0	0
0	0
0	0
100	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
2	0
2	0
10	0
5	0
7	0
0	0
0	0
0	0
0	0
2	0
0	0
4	0
0	0
1	0
2	0
0	0
2	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
3	0
1	0
11	0
0	0
73	0
2	0
49	0
2	0
0	0
0	0
11	0
0	1
0	0
10	0
8	0
6	0
30	0
2	0
0	0
5	0
7	0
2	0
16	0
0	0
1	0
0	0
0	0
36	0
0	0
1	0
0	0
0	0
1	0
0	0
5	0
1	0
0	0
5	0
1	0
2	0
0	0
0	0
3	0
1	0
4	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
1	0
13	0
0	0
21	0
2	0
0	0
1	0
1	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
2	0
0	0
2	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
5	0
0	0
1	0
0	0
0	9
8	9
0	0
0	0
0	0
24	0
4	0
0	0
38	0
14	0
19	0
25	0
12	0
2	0
0	0
22	0
0	0
1	0
3	0
2	0
2	0
0	0
0	0
12	0
10	0
0	0
2	0
0	0
65	0
118	0
0	0
13	0
0	0
10	0
0	0
12	0
0	0
3	0
6	0
0	0
1	0
0	0
25	0
0	0
11	0
0	0
0	0
0	0
11	0
1	0
9	0
0	0
7	0
0	0
0	0
0	0
0	0
1	0
0	0
6	0
0	0
37	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
14	0
2	0
158	0
2	0
3	0
0	0
0	0
0	0
4	0
0	0
30	0
0	0
0	0
0	0
0	0
10	0
0	0
13	0
10	0
16	0
0	0
0	0
1	0
0	0
0	0
7	0
0	0
0	0
2	0
0	0
0	0
1	0
0	0
0	0
1	0
1	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
8	0
4	0
3	0
1	0
2	0
0	0
5	0
0	0
17	0
0	0
1	0
7	0
9	0
6	0
0	28
19	28
3	0
9	0
10	0
0	0
8	0
3	0
2	0
0	0
0	0
2	0
3	0
0	0
2	0
