bleached_k4_01	bleached_44_01	bleached_k4_02	bleached_44_02	bleached_44_03	bleached_k4_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_44_01	non-bleached_k4_03	non-bleached_44_02	non-bleached_44_03
TRINITY_DN167968_c0_g5	-1.02758129952467	-0.506530562623702	-0.67143748929939	-0.837282507898071	-0.6096612917127	-0.950338300592205	-0.92727639372898	3.14106073603417	3.84633030578108	-0.733622320495971	-0.862795021381326	0.139134145441757
TRINITY_DN194319_c7_g1	-0.668637646644543	-0.668637646644543	-0.515480858583123	-0.668637646644543	-0.550942603974789	-0.668637646644543	-0.505138914361664	2.04988837981772	3.00457954584169	-0.587298019192605	-0.489763688474748	0.268706745505689
TRINITY_DN165839_c12_g5	-0.673044485827549	-0.622761543937909	-0.596913416611578	-0.664541347022286	-0.485382815399408	-0.542665396510995	-0.665955061041229	2.59531025193951	2.69586833261627	-0.534895027416772	-0.614548836517404	0.109529345729353
TRINITY_DN173145_c3_g1	-0.831640600825383	-0.74214244998628	-0.759877931525292	-0.758505896195168	-0.695449214538239	-0.831640600825383	-0.794609869880416	3.86078659726432	3.55171809455973	-0.695449214538239	-0.748938011495134	-0.554250902014519
TRINITY_DN175371_c8_g2	0.519862276861288	2.38298991870649	-0.59849744909177	0.239042185287634	-0.59849744909177	1.64608521187874	-0.59849744909177	-0.59849744909177	-0.59849744909177	-0.59849744909177	-0.59849744909177	-0.59849744909177
TRINITY_DN187752_c5_g4	-0.959743311732138	-0.565146149146544	-0.849599538615243	-0.847135498663762	-0.9268487029243	-1.07610806842392	-1.03486508619204	3.92578422726966	4.17140176231399	-0.664681822697458	-0.98525463797281	-0.187803173215436
TRINITY_DN241799_c0_g1	-0.742442737584787	-0.742442737584787	-0.742442737584787	-0.742442737584787	-0.742442737584787	-0.742442737584787	0.904641475044167	2.88994181959786	2.51667906847289	-0.742442737584787	-0.742442737584787	-0.37172046243662
TRINITY_DN181320_c2_g1	-2.0290494659518	0.27507213192519	-1.21840071816916	-1.32653967155389	-0.856561950441669	-2.19177896598991	-0.614372685524917	3.10651276463021	3.06999320256698	0.74845792207725	0.129503001377108	0.907164435054605
TRINITY_DN129323_c0_g1	-0.482012099253728	-0.448876976736104	-0.465349411150542	-0.5288523534567	-0.408500413091478	-0.38350096788408	-0.37180864331112	1.95914841737737	2.03259598832878	-0.487609371224819	-0.5288523534567	0.113618183859122
TRINITY_DN187080_c1_g3	-0.646444769934965	-0.646444769934965	-0.646444769934965	-0.646444769934965	-0.646444769934965	-0.646444769934965	-0.646444769934965	1.9820955493278	2.65835828585046	-0.646444769934965	-0.155874639488763	0.686978963790227
TRINITY_DN167520_c2_g1	-0.576408398561346	-0.576408398561346	-0.576408398561346	-0.576408398561346	-0.576408398561346	-0.576408398561346	1.23094652349626	1.05353101087819	1.06606213875448	-0.576408398561346	-0.576408398561346	1.26072751536184
TRINITY_DN196360_c2_g1	-1.0693491472847	-0.951654104614944	-0.884116893054538	-0.715461310999791	-0.793150282252457	-0.994843710921069	-0.880315322894681	3.24389670450286	3.73098132563994	-0.708703944824482	-0.959654282458769	0.982370969162629
TRINITY_DN186732_c0_g2	-0.638131886121148	-0.638131886121148	-0.638131886121148	-0.638131886121148	-0.638131886121148	-0.638131886121148	-0.638131886121148	2.29789351354039	2.73272985396414	-0.417801931241593	-0.584325442425355	0.438427209010456
TRINITY_DN172290_c0_g1	-1.07128540190391	-0.741300752145489	-0.998150697273695	-0.929852610974615	-1.07128540190391	-1.07128540190391	-0.922026036404287	3.72229840038109	3.86596481647816	-0.804648759389921	-1.07128540190391	1.0928572469444
TRINITY_DN187375_c1_g4	-0.989448452850731	-0.989448452850731	-0.756787696060456	-0.989448452850731	-0.989448452850731	-0.989448452850731	-0.989448452850731	3.81062311530482	4.26185405348792	-0.699024048985431	-0.493753290226662	-0.186221416415803
TRINITY_DN118880_c0_g1	-0.0791899057850917	-0.336200523991116	0.15642180458333	0.480194385178006	1.11639491071175	0.679582473249812	-0.336200523991116	-0.336200523991116	-0.336200523991116	-0.336200523991116	-0.336200523991116	-0.336200523991116
TRINITY_DN192478_c2_g1	-0.503669712255923	-0.503669712255923	-0.503669712255923	-0.503669712255923	-0.503669712255923	-0.503669712255923	-0.00899810060837392	1.90775653347054	1.33386992212348	0.0716426184315133	-0.503669712255923	0.221417012374303
TRINITY_DN190993_c4_g2	-0.409428155762568	-0.409428155762568	-0.409428155762568	-0.409428155762568	-0.409428155762568	-0.409428155762568	-0.409428155762568	1.79690249210848	1.93681961832021	-0.299733290936639	-0.309123249966883	-0.258868479187187
TRINITY_DN181411_c0_g1	-1.29681003018796	-0.872990000611153	-1.908790722039	-1.81070572235681	0.087579854560309	-1.13481256677614	-1.88007942539747	4.30348698957072	4.88671638875748	-0.965830019315942	-0.019335349356203	0.611570603152165
TRINITY_DN178637_c9_g2	-1.76907018489058	-1.54520394820993	-1.00863537279649	-0.821214160226711	-0.386350405884465	-1.32436636473476	-1.73222674447042	4.4854345887994	4.3617659639842	-0.262698463030727	-1.35621783514477	1.35878292660524
TRINITY_DN176481_c9_g1	-1.22761531667483	-0.553421399748947	-0.961441203310469	-1.1161849323176	-0.781593913507195	-1.12619499877897	-0.842177834260333	3.71655194228045	3.77234258726748	-0.685952868727301	-1.17341700870158	0.979104946479289
TRINITY_DN215696_c0_g1	-0.551978309308166	-0.551978309308166	-0.551978309308166	-0.551978309308166	-0.551978309308166	-0.551978309308166	-0.419730511009726	2.02454382861234	2.49712964810418	-0.393641282141066	-0.551978309308166	0.155546481591442
TRINITY_DN98462_c0_g1	-0.526658590959169	-0.526658590959169	-0.526658590959169	-0.526658590959169	-0.526658590959169	-0.526658590959169	-0.526658590959169	1.83033030083331	2.84907594762399	-0.401007489297649	-0.526658590959169	-0.0651300314862921
TRINITY_DN180722_c0_g3	-0.79285654489543	-0.79285654489543	-0.687178467000893	-0.79285654489543	-0.79285654489543	-0.79285654489543	-0.79285654489543	3.54528258314785	2.64875972451113	0.0710819055285413	-0.448028047897989	-0.372778428916056
TRINITY_DN97810_c0_g1	-1.62080507452918	-1.0281686459226	-0.751328440563774	-1.62080507452918	-1.14260981659001	-1.05520789867495	-1.27597657753173	5.0778440361278	4.25369683153803	-0.438112777012985	-1.45601879638584	1.05749223407441
TRINITY_DN176587_c7_g3	-0.651857401869575	-0.651857401869575	-0.651857401869575	-0.651857401869575	-0.651857401869575	-0.651857401869575	-0.651857401869575	2.94948255612848	2.53162911258982	-0.651857401869575	0.0741018326396121	-0.340354286401306
TRINITY_DN165405_c1_g7	-0.560991440642081	-0.560991440642081	-0.497488498335923	-0.560991440642081	-0.560991440642081	-0.560991440642081	-0.560991440642081	2.19389606152139	2.16125597710977	-0.403947730496501	-0.560991440642081	0.473224274695832
TRINITY_DN151574_c1_g2	-0.403763847393704	-0.403763847393704	-0.403763847393704	-0.403763847393704	-0.403763847393704	-0.403763847393704	-0.403763847393704	1.24332036523525	2.12004899033352	-0.0296981291711659	-0.310203671231366	-0.197120623410308
TRINITY_DN176127_c3_g4	-0.325137151820741	-0.325137151820741	-0.325137151820741	-0.325137151820741	-0.325137151820741	-0.325137151820741	-0.325137151820741	1.41384680287977	1.18885882754627	0.0830312188873654	-0.187633628070806	-0.222143158497415
