bleached_k4_01	bleached_44_01	bleached_k4_02	bleached_44_02	bleached_44_03	bleached_k4_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_44_01	non-bleached_k4_03	non-bleached_44_02	non-bleached_44_03
bleached_k4_01	1	0.61718375137366	0.68673602287509	0.769909938350206	0.487494459058119	0.768153291439639	0.364467696271247	-0.787718875678788	-0.78118284140129	0.0922258506543433	0.38060933038007	-0.507769149313455
bleached_44_01	0.61718375137366	1	0.555221705302849	0.583317790064811	0.387082486967966	0.60066308473052	0.225714857848536	-0.651362777222472	-0.649890240064947	0.0387530491875742	0.235826777753773	-0.328739301981422
bleached_k4_02	0.68673602287509	0.555221705302849	1	0.719406089769673	0.507980944923164	0.666999697012774	0.288232331393806	-0.720357095885104	-0.718109182138531	0.104206806506663	0.307652950019549	-0.458929374817116
bleached_44_02	0.769909938350206	0.583317790064811	0.719406089769673	1	0.553541480183955	0.742487157857052	0.304618840212648	-0.770410362576865	-0.759578424237583	0.0425163096717494	0.312874520094078	-0.483556819357349
bleached_44_03	0.487494459058119	0.387082486967966	0.507980944923164	0.553541480183955	1	0.486841714878646	0.120068647822972	-0.535880239272118	-0.544695197369144	0.0183815405987442	0.146269087279204	-0.352411430147223
bleached_k4_03	0.768153291439639	0.60066308473052	0.666999697012774	0.742487157857052	0.486841714878646	1	0.360854174043848	-0.767557786545633	-0.765528013066306	0.0842556492408702	0.366063402496004	-0.496782084824316
non-bleached_k4_01	0.364467696271247	0.225714857848536	0.288232331393806	0.304618840212648	0.120068647822972	0.360854174043848	1	-0.579752619612912	-0.572603661892861	0.237351692488647	0.462990545297508	-0.191060785366536
non-bleached_k4_02	-0.787718875678788	-0.651362777222472	-0.720357095885104	-0.770410362576865	-0.535880239272118	-0.767557786545633	-0.579752619612912	1	0.835841045654772	-0.305082650310975	-0.586883096037205	0.337426608791045
non-bleached_44_01	-0.78118284140129	-0.649890240064947	-0.718109182138531	-0.759578424237583	-0.544695197369144	-0.765528013066306	-0.572603661892861	0.835841045654772	1	-0.34306798243033	-0.547889344918937	0.31849026446907
non-bleached_k4_03	0.0922258506543433	0.0387530491875742	0.104206806506663	0.0425163096717494	0.0183815405987442	0.0842556492408702	0.237351692488647	-0.305082650310975	-0.34306798243033	1	0.444602476358737	-0.111811547396955
non-bleached_44_02	0.38060933038007	0.235826777753773	0.307652950019549	0.312874520094078	0.146269087279204	0.366063402496004	0.462990545297508	-0.586883096037205	-0.547889344918937	0.444602476358737	1	-0.337804671276735
non-bleached_44_03	-0.507769149313455	-0.328739301981422	-0.458929374817116	-0.483556819357349	-0.352411430147223	-0.496782084824316	-0.191060785366536	0.337426608791045	0.31849026446907	-0.111811547396955	-0.337804671276735	1
