UniqueCount	AmbigCount
14	0
1	0
1	0
7	0
0	0
5	0
0	0
39	0
1	0
0	0
0	0
2	0
16	0
0	0
9	0
4	0
24	0
1	0
1	0
4	0
4	0
1	0
0	0
0	0
6	0
0	0
20	0
0	0
0	0
2	0
63	0
0	0
0	0
275	0
35	0
0	0
4	0
0	0
0	0
5	0
21	0
0	0
0	0
0	0
0	0
41	0
0	0
0	0
104	0
7	0
0	0
0	0
33	0
0	0
0	0
119	0
10	0
0	0
0	0
2	0
0	0
4	0
0	0
8	0
0	0
14	0
77	0
0	0
0	0
0	0
26	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
4	0
3	0
0	0
0	0
15	0
1	0
12	0
38	0
4	0
0	0
0	0
0	0
0	0
0	0
5	0
1	0
0	0
0	0
12	0
4	0
1	0
1	0
2	0
0	0
0	0
0	0
0	0
0	0
7	0
0	0
1	0
17	0
0	0
0	0
0	0
0	0
2	0
14	0
5	1
5	0
59	0
10	0
0	0
18	0
0	0
7	0
9	0
69	0
0	0
0	0
0	0
19	0
2	0
0	0
6	0
0	0
2	0
15	0
0	0
4	0
1	0
0	0
0	0
0	0
0	0
45	0
0	0
0	0
5	0
80	0
0	0
0	0
9	0
1	0
3	0
0	0
3	0
6	0
4	0
6	0
0	0
7	0
1	0
6	0
0	0
34	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
50	0
23	0
0	0
5	0
0	0
2	0
4	0
0	0
0	0
15	0
42	0
3	0
0	0
31	0
1	0
2	0
3	0
2	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
2	0
2	0
0	0
13	0
0	0
1	0
0	0
0	0
30	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
30	0
1	0
1	0
40	0
0	0
0	0
5	0
0	0
4	1
0	0
41	0
2	0
15	0
0	0
74	0
2	0
3	0
0	0
0	0
0	0
0	0
3	0
10	0
2	0
4	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
3	0
0	0
0	0
26	0
0	0
23	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
12	0
10	0
8	0
5	0
0	0
0	0
0	0
0	0
17	0
2	0
1	0
1	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
2	0
0	0
2	0
11	0
17	0
2	0
2	0
0	0
0	0
0	0
0	0
1	0
3	0
1	0
0	0
0	0
15	0
0	0
0	0
2	0
0	0
0	0
7	0
4	0
0	0
0	0
0	0
2	0
8	0
0	0
2	0
0	0
9	0
1	0
26	0
7	0
4	0
17	0
21	0
0	0
5	0
4	0
3	0
1	0
2	0
0	0
0	0
0	0
168	0
2	0
4	0
2	0
0	0
0	0
9	0
2	0
1	0
4	0
12	0
3	0
0	0
2	0
12	0
0	0
0	0
0	0
0	0
1	0
0	0
18	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
5	0
0	0
11	0
1	0
66	0
12	0
44	0
0	0
1	0
0	0
8	0
0	0
0	0
16	0
18	0
5	0
56	0
1	0
9	0
6	0
0	0
0	0
33	0
0	0
2	0
0	0
4	0
62	0
0	0
0	0
1	0
1	0
0	0
0	0
3	0
0	0
2	0
2	0
4	0
4	0
0	0
0	0
3	0
4	0
0	0
0	0
0	0
3	0
2	0
0	0
0	0
0	0
0	0
1	0
5	0
0	0
0	0
23	0
0	0
52	0
11	0
0	0
0	0
15	0
0	0
1	0
0	0
0	0
4	0
1	0
2	0
0	0
0	0
3	0
5	0
0	0
0	0
5	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
3	0
4	0
0	0
1	0
4	0
0	11
13	11
0	0
0	0
7	0
31	0
9	0
0	0
33	0
14	0
34	0
20	0
14	0
0	0
0	0
35	0
0	0
3	0
3	0
0	0
1	0
0	0
0	0
3	0
13	0
0	0
3	0
0	0
106	0
106	0
2	0
9	0
1	0
23	0
0	0
10	0
0	0
4	0
18	0
5	0
5	0
0	0
41	0
0	0
13	0
0	0
0	0
0	0
14	0
6	0
15	0
0	0
11	0
2	0
3	0
0	0
0	0
11	0
3	0
13	0
1	0
81	0
0	0
0	0
0	0
3	0
0	0
0	0
29	0
28	0
2	0
127	4
0	4
6	0
0	0
5	0
0	0
5	0
0	0
59	0
0	0
2	0
0	0
2	0
12	0
0	0
28	0
25	0
30	0
0	0
0	0
0	0
0	0
0	0
8	0
0	0
0	0
10	0
3	0
0	0
5	0
6	0
0	0
0	0
4	0
0	0
0	0
4	0
0	0
4	0
2	0
17	0
0	0
3	0
4	0
1	0
0	0
5	0
0	0
4	0
0	0
7	0
4	0
3	0
0	0
10	0
13	0
0	25
10	25
3	0
13	0
0	0
0	0
0	0
1	0
5	0
5	0
0	0
9	0
13	0
3	0
6	0
42	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
6	0
0	0
1	0
0	0
0	0
0	0
0	0
3	0
5	0
2	0
0	0
5	0
1	0
7	0
9	0
0	0
0	0
3	0
2	0
3	0
0	0
0	0
0	0
5	0
0	0
0	0
6	0
3	0
4	0
6	0
0	0
0	0
0	0
4	0
8	0
2	0
0	0
0	0
0	0
0	0
2	0
7	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
54	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
3	0
0	0
2	0
0	0
0	0
0	0
0	0
2	0
2	0
12	0
35	0
5	0
0	0
1	0
7	0
6	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	2
19	0
1	0
0	0
2	0
0	0
12	0
1	0
1	0
1	0
0	0
2	0
0	0
18	0
33	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
1	0
0	0
1	0
5	0
2	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
0	0
6	0
9	0
0	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
10	0
0	0
5	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
3	0
0	0
2	0
1	0
2	0
0	0
0	0
0	0
0	0
3	0
1	0
0	0
0	0
41	0
0	0
1	0
9	0
4	0
1	0
0	0
1	0
0	0
0	0
27	0
2	0
1	0
16	0
0	0
0	0
7	0
2	0
0	0
0	0
2	0
0	0
0	0
1	0
0	0
14	0
0	0
10	0
3	0
6	0
3	0
3	0
0	0
4	0
0	0
0	0
12	0
0	0
1	0
7	0
0	0
0	0
0	0
3	0
0	0
0	0
5	0
0	0
0	0
15	0
17	0
0	0
0	0
0	0
2	0
2	0
4	0
0	0
2	0
0	0
0	0
12	0
0	0
0	0
20	0
0	0
2	0
7	0
0	0
0	0
80	0
30	0
0	0
0	0
52	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
18	0
1	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	0
2	0
4	0
58	0
5	0
0	0
11	0
3	0
0	0
3	0
0	8
3	8
