group	lib.size	norm.factors	eff.lib.size
bleached_k4_01	985842	1.16385368493456	1147375.84446325
bleached_44_01	991720	1.06624160827771	1057413.12776117
bleached_k4_02	981097	1.07401817950427	1053716.0138571
bleached_44_02	990270	1.28112950797517	1268664.11786257
bleached_44_03	989237	1.09120281775732	1079458.2018298
bleached_k4_03	985774	0.995579816497846	981416.698028347
non-bleached_k4_01	981376	1.00568806922009	986958.134618931
non-bleached_k4_02	979171	0.768111675475193	752112.67738672
non-bleached_44_01	969968	0.626037537372743	607236.378050364
non-bleached_k4_03	984092	1.01205519719056	995955.423113649
non-bleached_44_02	986480	1.07949210818494	1064897.37488228
non-bleached_44_03	979761	1.0203473682544	999696.557868302
