GOslim,Count,Percent,Term,go_terms
GO:0000003,3,1.03092783505155,reproduction,GO:0009793;GO:0060672
GO:0000278,2,0.687285223367698,mitotic cell cycle,GO:0000917;GO:0033277
GO:0000902,2,0.687285223367698,cell morphogenesis,GO:0030220;GO:0060672
GO:0002376,4,1.3745704467354,immune system process,GO:0030220;GO:0035855;GO:0061515
GO:0003013,7,2.40549828178694,circulatory system process,GO:0010881;GO:0010882;GO:0098904;GO:1903779
GO:0005975,0,0,carbohydrate metabolic process,
GO:0006091,0,0,generation of precursor metabolites...,
GO:0006259,0,0,DNA metabolic process,
GO:0006397,1,0.343642611683849,mRNA processing,GO:0010239
GO:0006399,0,0,tRNA metabolic process,
GO:0006412,0,0,translation,
GO:0006457,0,0,protein folding,
GO:0006464,11,3.78006872852234,cellular protein modification proce...,GO:0042264;GO:0042265;GO:0018126;GO:0018197;GO:0018315;GO:0036138;GO:0042040;GO:0043686
GO:0006520,0,0,cellular amino acid metabolic proce...,
GO:0006605,0,0,protein targeting,
GO:0006629,2,0.687285223367698,lipid metabolic process,GO:0050812;GO:0010510
GO:0006790,4,1.3745704467354,sulfur compound metabolic process,GO:0050812;GO:0010510;GO:2001293;GO:2001295
GO:0006810,24,8.24742268041237,transport,GO:0010880;GO:0010881;GO:0031585;GO:0032237;GO:0051279;GO:0051462;GO:0051463;GO:0060125;GO:0060316;GO:1901019;GO:1901021;GO:1901341;GO:1904427;GO:2000832;GO:2000846;GO:2000847;GO:2000849;GO:2000850
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,0,0,autophagy,
GO:0006950,3,1.03092783505155,response to stress,GO:0061428;GO:0071476;GO:0097201
GO:0007005,1,0.343642611683849,mitochondrion organization,GO:0090201
GO:0007009,0,0,plasma membrane organization,
GO:0007010,0,0,cytoskeleton organization,
GO:0007034,0,0,vacuolar transport,
GO:0007049,3,1.03092783505155,cell cycle,GO:0000917;GO:0033277;GO:0090529
GO:0007059,0,0,chromosome segregation,
GO:0007155,1,0.343642611683849,cell adhesion,GO:0033629
GO:0007165,16,5.49828178694158,signal transduction,GO:0008101;GO:0009734;GO:0009755;GO:0010881;GO:0010882;GO:0030579;GO:0031585;GO:0035331;GO:0046628;GO:0048011;GO:0060316;GO:0090201
GO:0007267,9,3.09278350515464,cell-cell signaling,GO:0051462;GO:0051463;GO:0060125;GO:0098904;GO:2000832;GO:2000846;GO:2000847;GO:2000849;GO:2000850
GO:0007568,0,0,aging,
GO:0008150,95,32.6460481099656,biological_process,GO:0000917;GO:0001700;GO:0003373;GO:0003374;GO:0005513;GO:0042264;GO:0042265;GO:0007253;GO:0050812;GO:0008101;GO:0009441;GO:0009734;GO:0009755;GO:0009758;GO:0009793;GO:0010239;GO:0010510;GO:0010880;GO:0010881;GO:0010882;GO:0018126;GO:0018197;GO:0018315;GO:0021697;GO:0030220;GO:0030579;GO:0031425;GO:0031585;GO:0032237;GO:0032928;GO:0032929;GO:0033277;GO:0033629;GO:0034309;GO:0035331;GO:0035855;GO:0036138;GO:0036302;GO:0042040;GO:0043686;GO:0045299;GO:0046295;GO:0046628;GO:0048011;GO:0048619;GO:0048708;GO:0051279;GO:0051462;GO:0051463;GO:0060020;GO:0060125;GO:0060151;GO:0060316;GO:0060325;GO:0060672;GO:0061428;GO:0061515;GO:0070268;GO:0071476;GO:0090201;GO:0090529;GO:0097201;GO:0098751;GO:0098904;GO:1900078;GO:1901019;GO:1901021;GO:1901341;GO:1903779;GO:1904427;GO:2000832;GO:2000846;GO:2000847;GO:2000849;GO:2000850;GO:2001212;GO:2001214;GO:2001293;GO:2001295
GO:0008219,2,0.687285223367698,cell death,GO:0070268;GO:0090201
GO:0008283,0,0,cell proliferation,
GO:0009056,1,0.343642611683849,catabolic process,GO:0030579
GO:0009058,8,2.74914089347079,biosynthetic process,GO:0007253;GO:0050812;GO:0010510;GO:0034309;GO:0046295;GO:0061428;GO:0097201;GO:2001295
GO:0009790,5,1.71821305841924,embryo development,GO:0001700;GO:0009793;GO:0048619;GO:0060672
GO:0015031,0,0,protein transport,
GO:0015979,0,0,photosynthesis,
GO:0016192,0,0,vesicle-mediated transport,
GO:0019748,0,0,secondary metabolic process,
GO:0021700,0,0,developmental maturation,
GO:0022607,4,1.3745704467354,cellular component assembly,GO:0000917;GO:0003373;GO:0003374;GO:0090529
GO:0022618,0,0,ribonucleoprotein complex assembly,
GO:0030154,11,3.78006872852234,cell differentiation,GO:0030220;GO:0035855;GO:0048708;GO:0060020;GO:0060672;GO:0061515;GO:0070268;GO:0098751;GO:2001212;GO:2001214
GO:0030198,0,0,extracellular matrix organization,
GO:0030705,0,0,cytoskeleton-dependent intracellula...,
GO:0032196,0,0,transposition,
GO:0034330,0,0,cell junction organization,
GO:0034641,9,3.09278350515464,cellular nitrogen compound metaboli...,GO:0007253;GO:0050812;GO:0010239;GO:0010510;GO:0031425;GO:0061428;GO:0097201;GO:2001293;GO:2001295
GO:0034655,0,0,nucleobase-containing compound cata...,
GO:0040007,0,0,growth,
GO:0040011,0,0,locomotion,
GO:0042254,0,0,ribosome biogenesis,
GO:0042592,8,2.74914089347079,homeostatic process,GO:0010880;GO:0010881;GO:0031585;GO:0051279;GO:0060316
GO:0043473,0,0,pigmentation,
