GOslim,Count,Percent,Term,go_terms
GO:0000228,2,1.12359550561798,nuclear chromosome,GO:0000783;GO:1990879
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,32,17.9775280898876,cellular_component,GO:0000331;GO:0000782;GO:0000783;GO:0001674;GO:0005739;GO:0005742;GO:0005967;GO:0045254;GO:0009514;GO:0014701;GO:0019008;GO:0031143;GO:0031672;GO:0033018;GO:0042585;GO:0055120;GO:1990879;GO:1990415;GO:1990429
GO:0005576,0,0,extracellular region,
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,28,15.7303370786517,intracellular,GO:0000331;GO:0000782;GO:0000783;GO:0001674;GO:0005739;GO:0005742;GO:0005967;GO:0045254;GO:0009514;GO:0014701;GO:0031672;GO:0033018;GO:0042585;GO:0055120;GO:1990879
GO:0005623,30,16.8539325842697,cell,GO:0000331;GO:0000782;GO:0000783;GO:0001674;GO:0005739;GO:0005742;GO:0005967;GO:0045254;GO:0009514;GO:0014701;GO:0019008;GO:0031143;GO:0031672;GO:0033018;GO:0042585;GO:0055120;GO:1990879
GO:0005634,4,2.24719101123596,nucleus,GO:0000783;GO:0001674;GO:0042585;GO:1990879
GO:0005635,0,0,nuclear envelope,
GO:0005654,0,0,nucleoplasm,
GO:0005694,3,1.68539325842697,chromosome,GO:0000782;GO:0000783;GO:1990879
GO:0005730,0,0,nucleolus,
GO:0005737,23,12.9213483146067,cytoplasm,GO:0000331;GO:0005739;GO:0005742;GO:0005967;GO:0045254;GO:0009514;GO:0014701;GO:0031672;GO:0033018;GO:0055120
GO:0005739,15,8.42696629213483,mitochondrion,GO:0005742;GO:0005967
GO:0005764,0,0,lysosome,
GO:0005768,0,0,endosome,
GO:0005773,1,0.561797752808989,vacuole,GO:0000331
GO:0005777,1,0.561797752808989,peroxisome,GO:0009514
GO:0005783,2,1.12359550561798,endoplasmic reticulum,GO:0014701;GO:0033018
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,0,0,cytoskeleton,
GO:0005886,0,0,plasma membrane,
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,0,0,extracellular matrix,
GO:0031410,1,0.561797752808989,cytoplasmic vesicle,GO:0000331
GO:0032991,9,5.0561797752809,protein-containing complex,GO:0000782;GO:0000783;GO:0005742;GO:0005967;GO:0045254;GO:0019008;GO:1990879;GO:1990415;GO:1990429
GO:0043226,27,15.1685393258427,organelle,GO:0000331;GO:0000782;GO:0000783;GO:0001674;GO:0005739;GO:0005742;GO:0005967;GO:0009514;GO:0014701;GO:0031672;GO:0033018;GO:0042585;GO:0055120;GO:1990879
