GOslim,Count,Percent,Term,go_terms
GO:0003674,73842,70.8602026715799,molecular_function,GO:0044183;GO:0051082;GO:0003756;GO:0015036;GO:0009055;GO:0000049;GO:0000062;GO:0000146;GO:0000149;GO:0000166;GO:0000182;GO:0005515;GO:0000253;GO:0005283;GO:0046961;GO:0003924;GO:0000287;GO:0000339;GO:0000386;GO:0000827;GO:0000828;GO:0000829;GO:0000832;GO:0000976;GO:0000977;GO:0000978;GO:0000979;GO:0000980;GO:0000981;GO:0000987;GO:0008134;GO:0043175;GO:0001012;GO:0001013;GO:0001025;GO:0001042;GO:0001046;GO:0001047;GO:0001067;GO:0001085;GO:0001094;GO:0001098;GO:0001099;GO:0001102;GO:0001103;GO:0001156;GO:0001158;GO:0001163;GO:0001164;GO:0001181;GO:0001228;GO:0001227;GO:0001221;GO:0004197;GO:0005509;GO:0016936;GO:0001618;GO:0001664;GO:0001671;GO:0001758;GO:0001784;GO:0001786;GO:0001846;GO:0001848;GO:0001851;GO:0001882;GO:0001883;GO:0001968;GO:0002020;GO:0002039;GO:0002054;GO:0002058;GO:0002061;GO:0002161;GO:0002162;GO:0003676;GO:0003677;GO:0003682;GO:0003689;GO:0003690;GO:0003700;GO:0004879;GO:0003707;GO:0003712;GO:0003713;GO:0003714;GO:0003723;GO:0003724;GO:0003725;GO:0003727;GO:0003729;GO:0003735;GO:0003743;GO:0042393;GO:0042623;GO:0051087;GO:0003774;GO:0003777;GO:0003779;GO:0030674;GO:0051015;GO:0004252;GO:0003810;GO:0003823;GO:0003824;GO:0003831;GO:0003870;GO:0003876;GO:0003878;GO:0003899;GO:0046933;GO:0003943;GO:0003951;GO:0003954;GO:0003977;GO:0003980;GO:0003985;GO:0003988;GO:0003989;GO:0003995;GO:0004004;GO:0019829;GO:0004008;GO:0042626;GO:0004012;GO:0004013;GO:0004031;GO:0004032;GO:0004033;GO:0004035;GO:0017111;GO:0004054;GO:0004065;GO:0004068;GO:0004069;GO:0004075;GO:0004087;GO:0004090;GO:0004096;GO:0004108;GO:0004111;GO:0004119;GO:0004127;GO:0004129;GO:0004134;GO:0004135;GO:0004143;GO:0004159;GO:0004175;GO:0004177;GO:0008235;GO:0004180;GO:0004185;GO:0008234;GO:0004843;GO:0036459;GO:0004222;GO:0016805;GO:0008237;GO:0008236;GO:0004298;GO:0008233;GO:0004303;GO:0004313;GO:0004347;GO:0004353;GO:0004360;GO:0004361;GO:0004364;GO:0004368;GO:0004383;GO:0005102;GO:0050839;GO:0004386;GO:0004402;GO:0004407;GO:0052742;GO:0052813;GO:0034593;GO:0034594;GO:0052744;GO:0052745;GO:0004438;GO:0016316;GO:0004448;GO:0004449;GO:0004450;GO:0004454;GO:0004467;GO:0004478;GO:0004486;GO:0004487;GO:0004494;GO:0004512;GO:0004525;GO:0004530;GO:0004550;GO:0004553;GO:0004559;GO:0004560;GO:0004561;GO:0004576;GO:0004579;GO:0004591;GO:0004596;GO:0004601;GO:0004613;GO:0004616;GO:0004672;GO:0004674;GO:0004675;GO:0004694;GO:0004697;GO:0004703;GO:0004708;GO:0004709;GO:0004712;GO:0004713;GO:0004714;GO:0004715;GO:0004721;GO:0004725;GO:0004738;GO:0004739;GO:0004745;GO:0004767;GO:0004776;GO:0004812;GO:0004813;GO:0004814;GO:0004818;GO:0004827;GO:0004829;GO:0004837;GO:0004842;GO:0004854;GO:0004857;GO:0004859;GO:0004860;GO:0004861;GO:0004866;GO:0004867;GO:0004869;GO:0042813;GO:0005007;GO:0019838;GO:0005024;GO:0005025;GO:0005026;GO:0005044;GO:0038024;GO:0005047;GO:0038023;GO:0005070;GO:0005072;GO:0030618;GO:0051019;GO:0051018;GO:0005080;GO:0005085;GO:0005086;GO:0005088;GO:0005089;GO:0005096;GO:0005109;GO:0005125;GO:0005126;GO:0005128;GO:0005135;GO:0005154;GO:0005158;GO:0005160;GO:0042043;GO:0005178;GO:0045735;GO:0030246;GO:0098631;GO:0005198;GO:0005200;GO:0005201;GO:0005215;GO:0005229;GO:0005253;GO:0005254;GO:0005309;GO:0005310;GO:0005319;GO:0005332;GO:0005347;GO:0005375;GO:0005385;GO:0005388;GO:0005416;GO:0005452;GO:0005471;GO:0005484;GO:0005488;GO:0005496;GO:0005504;GO:0046872;GO:0005506;GO:0005507;GO:0005516;GO:0005518;GO:0005524;GO:0005525;GO:0005539;GO:0005543;GO:0005544;GO:0005545;GO:0005546;GO:0005547;GO:0005548;GO:0017069;GO:0008536;GO:0017056;GO:0016491;GO:0016887;GO:0008289;GO:0042162;GO:0030971;GO:0046983;GO:0008013;GO:0008017;GO:0008022;GO:0050811;GO:0008026;GO:0071813;GO:0008035;GO:0008047;GO:0008080;GO:0008092;GO:0008106;GO:0008135;GO:0008137;GO:0008138;GO:0008144;GO:0008157;GO:0008172;GO:0008179;GO:0008186;GO:0008187;GO:0008190;GO:0008194;GO:0008200;GO:0008201;GO:0008238;GO:0008252;GO:0008253;GO:0008266;GO:0008270;GO:0008301;GO:0008308;GO:0008312;GO:0008327;GO:0008374;GO:0008375;GO:0008376;GO:0008379;GO:0008424;GO:0008449;GO:0008475;GO:0008483;GO:0008484;GO:0008494;GO:0016595;GO:0008509;GO:0008510;GO:0008525;GO:0015662;GO:0008565;GO:0008574;GO:0019887;GO:0042802;GO:0008705;GO:0016651;GO:0008934;GO:0009041;GO:0009045;GO:0009374;GO:0070011;GO:0045153;GO:0009881;GO:0009882;GO:0009975;GO:0010385;GO:0010485;GO:0051787;GO:0044212;GO:0010844;GO:0061135;GO:0015002;GO:0015020;GO:0015026;GO:0015035;GO:0015037;GO:0090729;GO:0016303;GO:0046934;GO:0015078;GO:0015103;GO:0015106;GO:0015108;GO:0015111;GO:0015215;GO:0015218;GO:0015220;GO:0015247;GO:0015248;GO:0015294;GO:0015296;GO:0015301;GO:0015369;GO:0015370;GO:0015399;GO:0015405;GO:0015485;GO:0015631;GO:0015645;GO:0015928;GO:0015929;GO:0016004;GO:0016040;GO:0016174;GO:0016208;GO:0016209;GO:0016230;GO:0016247;GO:0016248;GO:0016262;GO:0016289;GO:0016290;GO:0016298;GO:0016301;GO:0016314;GO:0016407;GO:0016408;GO:0016410;GO:0016418;GO:0016428;GO:0016435;GO:0016462;GO:0016504;GO:0016509;GO:0016530;GO:0016531;GO:0016532;GO:0016597;GO:0016603;GO:0016614;GO:0016616;GO:0016620;GO:0016623;GO:0016624;GO:0016903;GO:0016627;GO:0016638;GO:0016639;GO:0016645;GO:0016646;GO:0016655;GO:0016667;GO:0016668;GO:0016675;GO:0016676;GO:0016684;GO:0016701;GO:0016702;GO:0016725;GO:0016726;GO:0016740;GO:0016744;GO:0016746;GO:0016747;GO:0016749;GO:0016755;GO:0016757;GO:0016758;GO:0016765;GO:0016769;GO:0016772;GO:0016773;GO:0016775;GO:0016776;GO:0016787;GO:0016788;GO:0016790;GO:0016791;GO:0016798;GO:0016801;GO:0016802;GO:0016803;GO:0016810;GO:0016817;GO:0016818;GO:0016829;GO:0016835;GO:0016836;GO:0016849;GO:0016853;GO:0016860;GO:0016864;GO:0016874;GO:0016875;GO:0016877;GO:0016878;GO:0016879;GO:0016884;GO:0016941;GO:0017002;GO:0017016;GO:0017022;GO:0017025;GO:0017034;GO:0017048;GO:0017049;GO:0017070;GO:0017075;GO:0017076;GO:0031072;GO:0017095;GO:0098772;GO:0017112;GO:0017113;GO:0030414;GO:0017124;GO:0017127;GO:0019899;GO:0017136;GO:0017137;GO:0017147;GO:0017154;GO:0017160;GO:0017162;GO:0017166;GO:0017171;GO:0018479;GO:0019001;GO:0019003;GO:0019199;GO:0098518;GO:0019205;GO:0019207;GO:0019208;GO:0019209;GO:0019210;GO:0019213;GO:0019531;GO:0019783;GO:0019787;GO:0019834;GO:0019842;GO:0019843;GO:0019870;GO:0019888;GO:0019894;GO:0019900;GO:0019901;GO:0019902;GO:0019903;GO:0019904;GO:0019905;GO:0019992;GO:0020037;GO:0022804;GO:0043682;GO:0022853;GO:0030020;GO:0050840;GO:0030145;GO:0030160;GO:0030165;GO:0030170;GO:0030215;GO:0030226;GO:0030234;GO:0030274;GO:0030275;GO:0030276;GO:0030291;GO:0030292;GO:0030295;GO:0030351;GO:0030352;GO:0030492;GO:0030506;GO:0030545;GO:0030554;GO:0030619;GO:0030620;GO:0030623;GO:0030695;GO:0030742;GO:0030898;GO:0030911;GO:0030942;GO:0031078;GO:0031210;GO:0031267;GO:0031369;GO:0031406;GO:0031419;GO:0031434;GO:0031489;GO:0031490;GO:0031491;GO:0031492;GO:0031593;GO:0031625;GO:0031683;GO:0031685;GO:0031686;GO:0031690;GO:0031694;GO:0031748;GO:0031749;GO:0031750;GO:0031751;GO:0031753;GO:0031755;GO:0031821;GO:0031826;GO:0031852;GO:0031871;GO:0031957;GO:0031996;GO:0032028;GO:0032036;GO:0032041;GO:0032051;GO:0032145;GO:0032182;GO:0032266;GO:0032296;GO:0032549;GO:0032550;GO:0032552;GO:0032553;GO:0032555;GO:0032556;GO:0032559;GO:0032561;GO:0032574;GO:0032575;GO:0032767;GO:0032810;GO:0032813;GO:0032934;GO:0032947;GO:0033170;GO:0033218;GO:0033293;GO:0033558;GO:0033613;GO:0033814;GO:0033823;GO:0033919;GO:0034062;GO:0034185;GO:0034186;GO:0034188;GO:0034212;GO:0034236;GO:0034237;GO:0034386;GO:0034483;GO:0034596;GO:0034597;GO:0034604;GO:0034647;GO:0034713;GO:0034987;GO:0034988;GO:0035004;GO:0035035;GO:0035064;GO:0035091;GO:0035250;GO:0035254;GO:0035255;GO:0035257;GO:0035258;GO:0035326;GO:0035373;GO:0035473;GO:0035497;GO:0035591;GO:0035612;GO:0035613;GO:0035615;GO:0035639;GO:0036002;GO:0036042;GO:0036094;GO:0036132;GO:0036402;GO:0036440;GO:0036442;GO:0036524;GO:0038132;GO:0042084;GO:0042169;GO:0042277;GO:0042284;GO:0042285;GO:0042578;GO:0042625;GO:0042803;GO:0042826;GO:0042988;GO:0043014;GO:0043021;GO:0043022;GO:0043024;GO:0043027;GO:0043028;GO:0043130;GO:0043167;GO:0043168;GO:0043169;GO:0043177;GO:0043178;GO:0043199;GO:0043236;GO:0043274;GO:0043325;GO:0043394;GO:0043395;GO:0043425;GO:0043492;GO:0043533;GO:0043539;GO:0043546;GO:0043565;GO:0044389;GO:0044466;GO:0044548;GO:0044769;GO:0044877;GO:0045181;GO:0045296;GO:0045309;GO:0045499;GO:0045503;GO:0045505;GO:0045547;GO:0046332;GO:0046525;GO:0046527;GO:0046625;GO:0046790;GO:0046906;GO:0046912;GO:0046914;GO:0046915;GO:0046921;GO:0046975;GO:0046982;GO:0046992;GO:0046993;GO:0047017;GO:0047117;GO:0047238;GO:0047298;GO:0047485;GO:0047522;GO:0047617;GO:0047623;GO:0047676;GO:0047677;GO:0047696;GO:0047801;GO:0047840;GO:0047977;GO:0047987;GO:0048027;GO:0048029;GO:0048037;GO:0048038;GO:0048039;GO:0048156;GO:0048185;GO:0048306;GO:0048365;GO:0048407;GO:0048487;GO:0050136;GO:0050201;GO:0050211;GO:0050250;GO:0050321;GO:0050325;GO:0050468;GO:0050510;GO:0050542;GO:0050660;GO:0050661;GO:0050662;GO:0070326;GO:0050780;GO:0050997;GO:0051010;GO:0051011;GO:0051020;GO:0051032;GO:0051033;GO:0051117;GO:0051120;GO:0051139;GO:0051219;GO:0051287;GO:0051427;GO:0051428;GO:0051434;GO:0051536;GO:0051537;GO:0051538;GO:0051540;GO:0051717;GO:0051721;GO:0051800;GO:0051920;GO:0051959;GO:0052629;GO:0052689;GO:0052723;GO:0052724;GO:0052743;GO:0052827;GO:0052832;GO:0052833;GO:0052834;GO:0052866;GO:0055102;GO:0060089;GO:0060090;GO:0060229;GO:0060589;GO:0060590;GO:0060698;GO:0061134;GO:0061631;GO:0061650;GO:0061733;GO:0061778;GO:0070003;GO:0070006;GO:0070008;GO:0070034;GO:0070035;GO:0070063;GO:0070064;GO:0070273;GO:0070279;GO:0070300;GO:0070410;GO:0070412;GO:0070491;GO:0070513;GO:0070530;GO:0070540;GO:0070548;GO:0070569;GO:0070577;GO:0070628;GO:0070696;GO:0070851;GO:0070888;GO:0070976;GO:0071074;GO:0071814;GO:0071949;GO:0071987;GO:0072341;GO:0072518;GO:0072586;GO:0072587;GO:0080025;GO:0090554;GO:0090556;GO:0090599;GO:0090600;GO:0090722;GO:0097110;GO:0097157;GO:0097159;GO:0097322;GO:0097363;GO:0097367;GO:0097602;GO:0097718;GO:0097747;GO:0098531;GO:0098632;GO:0098634;GO:0098639;GO:0098748;GO:0098821;GO:0098879;GO:0099516;GO:0101005;GO:0102339;GO:0102340;GO:0102341;GO:0102342;GO:0102391;GO:0102485;GO:0102486;GO:0102487;GO:0102488;GO:0102489;GO:0102490;GO:0102491;GO:0102500;GO:0102524;GO:0102797;GO:0102798;GO:0120016;GO:0120017;GO:1901265;GO:1901363;GO:1901567;GO:1901612;GO:1901681;GO:1901981;GO:1902936;GO:1903136;GO:1904593;GO:1904929;GO:1990189;GO:1990380;GO:1990381;GO:1990405;GO:1990448;GO:1990459;GO:1990460;GO:1990782;GO:1990825;GO:1990833;GO:1990837;GO:1990841;GO:1990939
GO:0003677,2066,1.98257331490864,DNA binding,GO:0000182;GO:0000976;GO:0000977;GO:0000978;GO:0000979;GO:0000980;GO:0000987;GO:0001012;GO:0001013;GO:0001046;GO:0001047;GO:0001158;GO:0001163;GO:0001164;GO:0003689;GO:0003690;GO:0042162;GO:0008301;GO:0008327;GO:0010385;GO:0044212;GO:0010844;GO:0031490;GO:0031492;GO:0032810;GO:0035326;GO:0035497;GO:0043565;GO:0070888;GO:1990837
GO:0003700,465,0.446222938737909,DNA-binding transcription factor ac...,GO:0000981;GO:0001228;GO:0001227;GO:0004879;GO:0098531
GO:0003723,1063,1.02007523414709,RNA binding,GO:0000049;GO:0000339;GO:0003725;GO:0003727;GO:0003729;GO:0003743;GO:0017069;GO:0008135;GO:0008187;GO:0008266;GO:0008312;GO:0017070;GO:0019843;GO:0030619;GO:0030620;GO:0030623;GO:0035613;GO:0036002;GO:0048027;GO:0070034;GO:0097157;GO:0097322;GO:1990825
GO:0003729,122,0.117073545217258,mRNA binding,GO:0048027;GO:1990825
GO:0003735,0,0,structural constituent of ribosome,
GO:0003924,130,0.124750499001996,GTPase activity,
GO:0004386,287,0.275410717027483,helicase activity,GO:0003724;GO:0004004;GO:0008026;GO:0032574;GO:0032575;GO:0070035
GO:0004518,19,0.0182327652387533,nuclease activity,GO:0004525;GO:0004530;GO:0032296
GO:0005198,676,0.648702594810379,structural molecule activity,GO:0003735;GO:0005200;GO:0005201;GO:0017056;GO:0030020;GO:0030160;GO:0032947;GO:0098879
