bleached_44_01	bleached_44_02	non-bleached_44_01	bleached_44_03	non-bleached_44_02	non-bleached_44_03	non-bleached_k4_01	non-bleached_k4_02	bleached_k4_01	bleached_k4_02	non-bleached_k4_03	bleached_k4_03
bleached_44_01	1	0.563780838024864	0.549217269147708	0.663467981495311	0.561124299697531	0.228083008659855	-0.661042241377015	-0.694842415931695	-0.649156866233337	-0.626348470979831	-0.666400894971955	-0.684646555183344
bleached_44_02	0.563780838024864	1	0.568470478334955	0.491516219358752	0.573965681663879	0.397423577606776	-0.636189218374858	-0.667192836436202	-0.624255596037163	-0.628785845564745	-0.641599277440118	-0.648037734116072
non-bleached_44_01	0.549217269147708	0.568470478334955	1	0.503002495998555	0.413152344200713	0.402023093537991	-0.611112788434566	-0.645766857427332	-0.609509407642597	-0.595365141332152	-0.573337433784132	-0.602057707824535
bleached_44_03	0.663467981495311	0.491516219358752	0.503002495998555	1	0.636442360089438	0.477176371140209	-0.708937731220632	-0.731174899552704	-0.669795902944493	-0.657924263559445	-0.694631482423763	-0.717912054907532
non-bleached_44_02	0.561124299697531	0.573965681663879	0.413152344200713	0.636442360089438	1	0.445988972051288	-0.664412059103768	-0.702463445642753	-0.663405378851968	-0.61267870271691	-0.669182939484828	-0.646391350512026
non-bleached_44_03	0.228083008659855	0.397423577606776	0.402023093537991	0.477176371140209	0.445988972051288	1	-0.531024687013637	-0.562257151659815	-0.5345569101328	-0.456782835017373	-0.578850947924162	-0.477004540399303
non-bleached_k4_01	-0.661042241377015	-0.636189218374858	-0.611112788434566	-0.708937731220632	-0.664412059103768	-0.531024687013637	1	0.737416099404391	0.5949324430392	0.595946849499605	0.667656304961583	0.572229404503374
non-bleached_k4_02	-0.694842415931695	-0.667192836436202	-0.645766857427332	-0.731174899552704	-0.702463445642753	-0.562257151659815	0.737416099404391	1	0.681336767781501	0.603583861472811	0.715746309357586	0.641240381172119
bleached_k4_01	-0.649156866233337	-0.624255596037163	-0.609509407642597	-0.669795902944493	-0.663405378851968	-0.5345569101328	0.5949324430392	0.681336767781501	1	0.547719547901562	0.622027167259258	0.635311991870687
bleached_k4_02	-0.626348470979831	-0.628785845564745	-0.595365141332152	-0.657924263559445	-0.61267870271691	-0.456782835017373	0.595946849499605	0.603583861472811	0.547719547901562	1	0.540060705966851	0.602868435018315
non-bleached_k4_03	-0.666400894971955	-0.641599277440118	-0.573337433784132	-0.694631482423763	-0.669182939484828	-0.578850947924162	0.667656304961583	0.715746309357586	0.622027167259258	0.540060705966851	1	0.622702391180758
bleached_k4_03	-0.684646555183344	-0.648037734116072	-0.602057707824535	-0.717912054907532	-0.646391350512026	-0.477004540399303	0.572229404503374	0.641240381172119	0.635311991870687	0.602868435018315	0.622702391180758	1
