group	lib.size	norm.factors	eff.lib.size
bleached_44_01	994638	1.03508163714645	1029531.52940807
bleached_44_02	993085	0.950100273918812	943530.330524663
non-bleached_44_01	987456	1.05114114496026	1037955.63043788
bleached_44_03	997245	1.08877932577014	1085779.73872764
non-bleached_44_02	987911	0.998870103936223	986794.763249738
non-bleached_44_03	990479	1.02312516744299	1013383.99272377
non-bleached_k4_01	990112	0.943770609110757	934438.60532787
non-bleached_k4_02	986559	0.961861265782157	948932.888508779
bleached_k4_01	988108	1.02279813149239	1010635.01611268
bleached_k4_02	990771	1.0198874876073	1010474.94598418
non-bleached_k4_03	988941	0.999629923162014	988575.015841765
bleached_k4_03	988918	0.918453019039441	908274.722682446
