bleached_44_01	bleached_44_02	bleached_k4_01	bleached_k4_02	bleached_k4_03	bleached_44_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_44_01	non-bleached_k4_03	non-bleached_44_02	non-bleached_44_03
bleached_44_01	1	0.650549325096224	0.75621956318824	0.714668488150348	0.230310678572767	0.463960787271952	-0.529164951295895	-0.571089915322155	-0.501982815427078	-0.374406134286814	-0.651425651170426	-0.542298143314571
bleached_44_02	0.650549325096224	1	0.716209591770401	0.746451967868707	0.378504643757021	0.241355677198156	-0.504430578195782	-0.552042603598736	-0.50718295608583	-0.36684862812246	-0.62419221903612	-0.539184884771182
bleached_k4_01	0.75621956318824	0.716209591770401	1	0.684426482688184	0.462505159063971	0.480648857726499	-0.572205942451739	-0.615180014586369	-0.552133217094937	-0.42016881433482	-0.681181745641998	-0.57477181861154
bleached_k4_02	0.714668488150348	0.746451967868707	0.684426482688184	1	0.377002858887002	0.403260998033221	-0.546532259748963	-0.583110062703012	-0.510210592579664	-0.370452062682616	-0.671563500833886	-0.555569992437985
bleached_k4_03	0.230310678572767	0.378504643757021	0.462505159063971	0.377002858887002	1	0.667979992942938	-0.457511782004754	-0.445147610575567	-0.404061596443374	-0.256364595762836	-0.531865937969474	-0.438096002140641
bleached_44_03	0.463960787271952	0.241355677198156	0.480648857726499	0.403260998033221	0.667979992942938	1	-0.494203751270764	-0.470063461123026	-0.417565806921082	-0.293154222309186	-0.565530536031713	-0.441169630484929
non-bleached_k4_01	-0.529164951295895	-0.504430578195782	-0.572205942451739	-0.546532259748963	-0.457511782004754	-0.494203751270764	1	0.491194930305856	0.156384201551917	0.153579888978038	0.462692119601607	0.277743213907574
non-bleached_k4_02	-0.571089915322155	-0.552042603598736	-0.615180014586369	-0.583110062703012	-0.445147610575567	-0.470063461123026	0.491194930305856	1	0.262821850033323	0.243287236064575	0.43499649209155	0.25929354439629
non-bleached_44_01	-0.501982815427078	-0.50718295608583	-0.552133217094937	-0.510210592579664	-0.404061596443374	-0.417565806921082	0.156384201551917	0.262821850033323	1	0.0963643646896672	0.46822838624563	0.439723660150693
non-bleached_k4_03	-0.374406134286814	-0.36684862812246	-0.42016881433482	-0.370452062682616	-0.256364595762836	-0.293154222309186	0.153579888978038	0.243287236064575	0.0963643646896672	1	0.17361537645102	0.0780984138811293
non-bleached_44_02	-0.651425651170426	-0.62419221903612	-0.681181745641998	-0.671563500833886	-0.531865937969474	-0.565530536031713	0.462692119601607	0.43499649209155	0.46822838624563	0.17361537645102	1	0.497910105963044
non-bleached_44_03	-0.542298143314571	-0.539184884771182	-0.57477181861154	-0.555569992437985	-0.438096002140641	-0.441169630484929	0.277743213907574	0.25929354439629	0.439723660150693	0.0780984138811293	0.497910105963044	1
