group	lib.size	norm.factors	eff.lib.size
bleached_44_01	992133	1.03545739136022	1027311.44806239
bleached_44_02	989960	0.948869434040083	939342.784922321
bleached_k4_01	984317	1.01486028854889	998944.234643573
bleached_k4_02	987155	1.01500462005362	1001966.88570903
bleached_k4_03	985189	0.942588661952607	928627.981280427
bleached_44_03	995423	1.11658592949717	1111475.31569786
non-bleached_k4_01	986243	0.940090329860381	927157.507192492
non-bleached_k4_02	983180	0.966871281568817	950608.50661283
non-bleached_44_01	983657	1.04685788038273	1029749.08204363
non-bleached_k4_03	984815	0.975234347463637	960425.413897402
non-bleached_44_02	983695	0.998316181461683	982038.636122951
non-bleached_44_03	987518	1.01337362851662	1000724.69888548
