GOslim,Count,Percent,Term,go_terms
GO:0000003,44,2.2703818369453,reproduction,GO:0001553;GO:0003006;GO:0007293;GO:0007297;GO:0007298;GO:0007309;GO:0007314;GO:0007338;GO:0007548;GO:0007565;GO:0009566;GO:0022414;GO:0022602;GO:0030707;GO:0030708;GO:0030713;GO:0030720;GO:0035112;GO:0035126;GO:0044703;GO:0045136;GO:0046543;GO:0046544;GO:0046843;GO:0048138;GO:0048139;GO:0048477;GO:0048803;GO:0048805;GO:0048808;GO:0060670;GO:0060674;GO:0060706;GO:0060715;GO:0060716;GO:0090598
GO:0000278,4,0.206398348813209,mitotic cell cycle,GO:0016330;GO:0045931;GO:1900087
GO:0000902,4,0.206398348813209,cell morphogenesis,GO:0008045;GO:0030713;GO:0045773;GO:0050774
GO:0002376,116,5.98555211558308,immune system process,GO:0001776;GO:0001779;GO:0001910;GO:0001912;GO:0002230;GO:0002260;GO:0002521;GO:0002682;GO:0002683;GO:0002684;GO:0002697;GO:0002699;GO:0002703;GO:0002705;GO:0002706;GO:0002708;GO:0002711;GO:0002715;GO:0002717;GO:0002720;GO:0002724;GO:0002726;GO:0030098;GO:0030101;GO:0030217;GO:0032814;GO:0032816;GO:0032817;GO:0032819;GO:0032823;GO:0032825;GO:0033077;GO:0034341;GO:0035162;GO:0035163;GO:0035165;GO:0035166;GO:0035167;GO:0035168;GO:0035171;GO:0035172;GO:0035203;GO:0035204;GO:0042102;GO:0042104;GO:0042110;GO:0042129;GO:0042269;GO:0042386;GO:0042387;GO:0042688;GO:0042689;GO:0042691;GO:0043029;GO:0045321;GO:0045577;GO:0045579;GO:0045580;GO:0045582;GO:0045586;GO:0045588;GO:0045610;GO:0045611;GO:0045612;GO:0045613;GO:0045614;GO:0045621;GO:0045638;GO:0045639;GO:0045646;GO:0045647;GO:0045648;GO:0045954;GO:0046006;GO:0046643;GO:0046645;GO:0046649;GO:0048534;GO:0048537;GO:0048541;GO:0048542;GO:0050671;GO:0050691;GO:0050778;GO:0050871;GO:0060330;GO:0060333;GO:0060334;GO:0060337;GO:0071346;GO:0097529;GO:0097531;GO:1903706;GO:1903707
GO:0003013,1,0.0515995872033024,circulatory system process,GO:0008015
GO:0005975,2,0.103199174406605,carbohydrate metabolic process,GO:0006110;GO:0043470
GO:0006091,1,0.0515995872033024,generation of precursor metabolites and energy,GO:0006110
GO:0006259,5,0.257997936016512,DNA metabolic process,GO:0000012;GO:0000737;GO:0006308;GO:0006309
GO:0006397,0,0,mRNA processing,
GO:0006399,0,0,tRNA metabolic process,
