GOslim,Count,Percent,Term,go_terms
GO:0003674,96,57.1428571428571,molecular_function,GO:0000014;GO:0000979;GO:0001046;GO:0003682;GO:0003684;GO:0004529;GO:0005007;GO:0005102;GO:0005176;GO:0005201;GO:0005216;GO:0005261;GO:0005262;GO:0005509;GO:0008324;GO:0015075;GO:0015085;GO:0015267;GO:0015271;GO:0015279;GO:0017134;GO:0022803;GO:0022890;GO:0030197;GO:0030276;GO:0031730;GO:0034458;GO:0035035;GO:0035258;GO:0035259;GO:0038023;GO:0042379;GO:0042805;GO:0042813;GO:0043167;GO:0043178;GO:0044389;GO:0046873;GO:0048020;GO:0051721;GO:0060089;GO:0070491;GO:0070679;GO:1990841
GO:0003677,4,2.38095238095238,DNA binding,GO:0000979;GO:0001046;GO:0003684
GO:0003700,0,0,DNA-binding transcription factor activity,
GO:0003723,0,0,RNA binding,
GO:0003729,0,0,mRNA binding,
GO:0003735,0,0,structural constituent of ribosome,
GO:0003924,0,0,GTPase activity,
GO:0004386,1,0.595238095238095,helicase activity,GO:0034458
GO:0004518,2,1.19047619047619,nuclease activity,GO:0000014;GO:0004529
GO:0005198,4,2.38095238095238,structural molecule activity,GO:0005201;GO:0030197
GO:0008092,1,0.595238095238095,cytoskeletal protein binding,GO:0042805
GO:0008134,3,1.78571428571429,transcription factor binding,GO:0035258;GO:0035259;GO:0070491
GO:0008135,0,0,translation factor activity, RNA binding,
GO:0008168,0,0,methyltransferase activity,
GO:0008233,0,0,peptidase activity,
GO:0008289,0,0,lipid binding,
GO:0016301,1,0.595238095238095,kinase activity,GO:0005007
GO:0016491,0,0,oxidoreductase activity,
GO:0016746,0,0,transferase activity, transferring acyl groups,
GO:0016757,0,0,transferase activity, transferring glycosyl groups,
GO:0016765,0,0,transferase activity, transferring alkyl or aryl (other than methyl) groups,
GO:0016779,0,0,nucleotidyltransferase activity,
GO:0016791,0,0,phosphatase activity,
GO:0016798,0,0,hydrolase activity, acting on glycosyl bonds,
GO:0016810,0,0,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,
GO:0016829,0,0,lyase activity,
GO:0016853,0,0,isomerase activity,
GO:0016874,0,0,ligase activity,
GO:0019843,0,0,rRNA binding,
GO:0019899,4,2.38095238095238,enzyme binding,GO:0035035;GO:0044389;GO:0051721
GO:0022857,33,19.6428571428571,transmembrane transporter activity,GO:0005216;GO:0005261;GO:0005262;GO:0008324;GO:0015075;GO:0015085;GO:0015267;GO:0015271;GO:0015279;GO:0022803;GO:0022890;GO:0046873
GO:0030234,0,0,enzyme regulator activity,
GO:0030533,0,0,triplet codon-amino acid adaptor activity,
GO:0030555,0,0,RNA modification guide activity,
GO:0030674,0,0,protein-macromolecule adaptor activity,
GO:0032182,0,0,ubiquitin-like protein binding,
GO:0042393,0,0,histone binding,
GO:0043167,19,11.3095238095238,ion binding,GO:0005509;GO:0070679
GO:0051082,0,0,unfolded protein binding,
