GOslim,Count,Percent,Term,go_terms
GO:0000003,14,0.873362445414847,reproduction,GO:0000706;GO:0007565;GO:0010520;GO:0010946;GO:0010947;GO:0040020;GO:0044703;GO:0045128;GO:0045132;GO:0045835;GO:0051445;GO:0051447;GO:0060631;GO:2000242
GO:0000278,22,1.37242669993762,mitotic cell cycle,GO:0000070;GO:0007346;GO:0031573;GO:0044773;GO:0044774;GO:0045930;GO:1901990;GO:1901991;GO:1903221;GO:1903463;GO:1990426;GO:1990505;GO:2000045;GO:2000134
GO:0000902,0,0,cell morphogenesis,
GO:0002376,20,1.24766063630692,immune system process,GO:0002761;GO:0002763;GO:0045637;GO:0045639;GO:0045649;GO:0045651;GO:1902105;GO:1902107;GO:1903706;GO:1903708
GO:0003013,18,1.12289457267623,circulatory system process,GO:0002027;GO:0010881;GO:0010882;GO:0055117;GO:0061337;GO:0086002;GO:0086004;GO:0086005;GO:0086014;GO:0086015;GO:0086046;GO:0086065;GO:0086066;GO:0086070;GO:0086091;GO:0098907;GO:0098910;GO:1903779
GO:0005975,1,0.0623830318153462,carbohydrate metabolic process,GO:0019852
GO:0006091,0,0,generation of precursor metabolites and energy,
GO:0006259,25,1.55957579538366,DNA metabolic process,GO:0000019;GO:0000706;GO:0000722;GO:0000729;GO:0001171;GO:0006265;GO:0006301;GO:0006312;GO:0010520;GO:0010946;GO:0010947;GO:0022616;GO:0031297;GO:0031860;GO:0032199;GO:0043007;GO:0043570;GO:0045128;GO:0070914;GO:0071139;GO:0071140;GO:1902298;GO:1903221;GO:1990426;GO:1990505
GO:0006397,0,0,mRNA processing,
GO:0006399,0,0,tRNA metabolic process,
GO:0006412,2,0.124766063630692,translation,GO:0006417
GO:0006457,0,0,protein folding,
GO:0006464,28,1.74672489082969,cellular protein modification process,GO:0000187;GO:0007257;GO:0018105;GO:0018209;GO:0032147;GO:0036289;GO:0043405;GO:0043406;GO:0043506;GO:0043507;GO:0045860;GO:0046777;GO:0071900;GO:0071902
GO:0006520,3,0.187149095446039,cellular amino acid metabolic process,GO:0006534;GO:0006536;GO:0009069
GO:0006605,0,0,protein targeting,
GO:0006629,0,0,lipid metabolic process,
GO:0006790,4,0.249532127261385,sulfur compound metabolic process,GO:0000096;GO:0006534;GO:0006749;GO:0006750
