GOslim,Count,Percent,Term,go_terms
GO:0000228,1,1.21951219512195,nuclear chromosome,GO:0043596
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,32,39.0243902439024,cellular_component,GO:0005657;GO:0005911;GO:0014704;GO:0017109;GO:0030315;GO:0031264;GO:0031422;GO:0031430;GO:0031672;GO:0043034;GO:0043194;GO:0043235;GO:0043596;GO:0044291;GO:0045121;GO:0080008;GO:0097342;GO:0098796;GO:0098797;GO:0098857;GO:1902494
GO:0005576,0,0,extracellular region,
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,9,10.9756097560976,intracellular anatomical structure,GO:0005657;GO:0017109;GO:0031422;GO:0031430;GO:0031672;GO:0043034;GO:0043596;GO:0097342
GO:0005634,1,1.21951219512195,nucleus,GO:0043596
GO:0005635,0,0,nuclear envelope,
GO:0005654,0,0,nucleoplasm,
GO:0005694,3,3.65853658536585,chromosome,GO:0005657;GO:0031422;GO:0043596
GO:0005730,0,0,nucleolus,
GO:0005737,6,7.31707317073171,cytoplasm,GO:0017109;GO:0031430;GO:0031672;GO:0043034;GO:0097342
GO:0005739,0,0,mitochondrion,
GO:0005764,0,0,lysosome,
GO:0005768,0,0,endosome,
GO:0005773,0,0,vacuole,
GO:0005777,0,0,peroxisome,
GO:0005783,0,0,endoplasmic reticulum,
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,2,2.4390243902439,cytosol,GO:0097342
GO:0005840,0,0,ribosome,
GO:0005856,0,0,cytoskeleton,
GO:0005886,5,6.09756097560976,plasma membrane,GO:0030315;GO:0031264;GO:0098797
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,0,0,extracellular matrix,
GO:0031410,0,0,cytoplasmic vesicle,
GO:0032991,17,20.7317073170732,protein-containing complex,GO:0017109;GO:0031264;GO:0031422;GO:0043235;GO:0080008;GO:0097342;GO:0098796;GO:0098797;GO:1902494
GO:0043226,6,7.31707317073171,organelle,GO:0005657;GO:0031422;GO:0031430;GO:0031672;GO:0043034;GO:0043596
