GOslim,Count,Percent,Term,go_terms
GO:0000003,29,1.83776932826362,reproduction,GO:0001553;GO:0007293;GO:0007298;GO:0007309;GO:0007314;GO:0007338;GO:0007548;GO:0009566;GO:0009860;GO:0010183;GO:0030707;GO:0030708;GO:0030713;GO:0030720;GO:0035046;GO:0035126;GO:0045136;GO:0046543;GO:0046544;GO:0046843;GO:0048138;GO:0048139;GO:0048803;GO:0048805;GO:0048808;GO:0090598
GO:0000278,1,0.0633713561470216,mitotic cell cycle,GO:0016330
GO:0000902,16,1.01394169835234,cell morphogenesis,GO:0009826;GO:0009860;GO:0009932;GO:0010771;GO:0030516;GO:0030713;GO:0045773;GO:0048814;GO:0050772;GO:0050774
GO:0002376,67,4.24588086185044,immune system process,GO:0001779;GO:0001912;GO:0002684;GO:0002715;GO:0002717;GO:0030101;GO:0032814;GO:0032816;GO:0032817;GO:0032819;GO:0032823;GO:0032825;GO:0033077;GO:0035163;GO:0035165;GO:0035167;GO:0035168;GO:0035171;GO:0035172;GO:0035203;GO:0035204;GO:0042104;GO:0042269;GO:0042386;GO:0042387;GO:0042688;GO:0042689;GO:0042691;GO:0043029;GO:0045577;GO:0045579;GO:0045586;GO:0045588;GO:0045610;GO:0045611;GO:0045612;GO:0045613;GO:0045614;GO:0045639;GO:0045647;GO:0045648;GO:0045954;GO:0046006;GO:0046643;GO:0046645;GO:0048537;GO:0048541;GO:0048542;GO:0060333;GO:0060337;GO:0060340;GO:0097531;GO:1902105;GO:1902107;GO:1903706;GO:1903707;GO:1903708
GO:0003013,0,0,circulatory system process,
GO:0005975,6,0.380228136882129,carbohydrate metabolic process,GO:0005979;GO:0006109;GO:0045719;GO:0070873;GO:0070874
GO:0006091,6,0.380228136882129,generation of precursor metabolites and energy,GO:0005979;GO:0043467;GO:0045719;GO:0070873;GO:0070874
GO:0006259,4,0.253485424588086,DNA metabolic process,GO:0000012;GO:0044026;GO:0044027;GO:0044030
GO:0006397,1,0.0633713561470216,mRNA processing,GO:0000380
GO:0006399,0,0,tRNA metabolic process,
GO:0006412,2,0.126742712294043,translation,GO:2000765;GO:2000767
GO:0006457,0,0,protein folding,
GO:0006464,8,0.506970849176172,cellular protein modification process,GO:0006480;GO:0010799;GO:0010800;GO:1901984
GO:0006520,4,0.253485424588086,cellular amino acid metabolic process,GO:0019509;GO:0043102;GO:0071265;GO:0071267
GO:0006605,0,0,protein targeting,
GO:0006629,5,0.316856780735108,lipid metabolic process,GO:0006656;GO:0019374;GO:0019376;GO:0019377;GO:0042448
GO:0006790,4,0.253485424588086,sulfur compound metabolic process,GO:0019509;GO:0019530;GO:0071265;GO:0071267
GO:0006810,33,2.09125475285171,transport,GO:0006611;GO:0007595;GO:0017158;GO:0032239;GO:0032241;GO:0035046;GO:0035646;GO:0043485;GO:0046822;GO:0046824;GO:0046827;GO:0046831;GO:0046833;GO:0046928;GO:0051168;GO:0051588;GO:0098693;GO:1901028;GO:1901030;GO:1902803;GO:1903305;GO:2000300
GO:0006913,11,0.697084917617237,nucleocytoplasmic transport,GO:0006611;GO:0046822;GO:0046824;GO:0046827;GO:0046831;GO:0046833;GO:0051168
GO:0006914,0,0,autophagy,
GO:0006950,26,1.64765525982256,response to stress,GO:0000012;GO:0002213;GO:0002526;GO:0002715;GO:0002717;GO:0006953;GO:0006983;GO:0010286;GO:0034976;GO:0042269;GO:0045954;GO:0060333;GO:0060337;GO:0060340;GO:0070059;GO:0080135;GO:1900034;GO:1900037
GO:0007005,2,0.126742712294043,mitochondrion organization,GO:1901028;GO:1901030
GO:0007009,0,0,plasma membrane organization,
GO:0007010,5,0.316856780735108,cytoskeleton organization,GO:0030240;GO:0032232;GO:0048769;GO:0051497;GO:0055003
GO:0007034,0,0,vacuolar transport,
GO:0007049,2,0.126742712294043,cell cycle,GO:0000320;GO:0016330
GO:0007059,0,0,chromosome segregation,
GO:0007155,7,0.443599493029151,cell adhesion,GO:0007160;GO:0042104;GO:0045588;GO:0046645;GO:2000047;GO:2000048
GO:0007165,34,2.15462610899873,signal transduction,GO:0001959;GO:0006983;GO:0006984;GO:0007219;GO:0007221;GO:0007259;GO:0010469;GO:0038034;GO:0038113;GO:0038114;GO:0043409;GO:0060333;GO:0060337;GO:0060340;GO:0060397;GO:0070059;GO:0070102;GO:0070106;GO:0070757;GO:0070885;GO:0097192;GO:0097193;GO:0097696;GO:0098962;GO:1901028;GO:1901030;GO:1904886;GO:2000463
GO:0007267,9,0.570342205323194,cell-cell signaling,GO:0045168;GO:0046331;GO:0046928;GO:0098962;GO:1904886;GO:2000300;GO:2000463
GO:0007568,2,0.126742712294043,aging,GO:0008340
