GOslim,Count,Percent,Term,go_terms
GO:0000228,1,0.884955752212389,nuclear chromosome,GO:0005726
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,45,39.8230088495575,cellular_component,GO:0000177;GO:0005576;GO:0005726;GO:0005859;GO:0030016;GO:0030139;GO:0030425;GO:0030426;GO:0030427;GO:0030877;GO:0031225;GO:0032039;GO:0032433;GO:0033162;GO:0035003;GO:0042788;GO:0044232;GO:0044233;GO:0070578;GO:0070937;GO:0071203;GO:0097165;GO:0098890;GO:0098892;GO:0098978;GO:1990433
GO:0005576,8,7.07964601769912,extracellular region,
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,14,12.3893805309735,intracellular anatomical structure,GO:0000177;GO:0005726;GO:0005859;GO:0030016;GO:0030139;GO:0030877;GO:0032039;GO:0033162;GO:0042788;GO:0070937;GO:0071203;GO:0097165;GO:1990433
GO:0005634,4,3.53982300884956,nucleus,GO:0005726;GO:0032039;GO:0097165;GO:1990433
GO:0005635,0,0,nuclear envelope,
GO:0005654,0,0,nucleoplasm,
GO:0005694,1,0.884955752212389,chromosome,GO:0005726
GO:0005730,0,0,nucleolus,
GO:0005737,9,7.9646017699115,cytoplasm,GO:0000177;GO:0005859;GO:0030016;GO:0030139;GO:0030877;GO:0033162;GO:0070937;GO:0071203
GO:0005739,0,0,mitochondrion,
GO:0005764,0,0,lysosome,
GO:0005768,0,0,endosome,
GO:0005773,0,0,vacuole,
GO:0005777,0,0,peroxisome,
GO:0005783,0,0,endoplasmic reticulum,
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,1,0.884955752212389,ribosome,GO:0042788
GO:0005856,1,0.884955752212389,cytoskeleton,GO:0005859
GO:0005886,3,2.65486725663717,plasma membrane,GO:0035003;GO:0098890;GO:0098892
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,0,0,extracellular matrix,
GO:0031410,3,2.65486725663717,cytoplasmic vesicle,GO:0030139;GO:0033162
GO:0032991,10,8.84955752212389,protein-containing complex,GO:0000177;GO:0005859;GO:0030877;GO:0032039;GO:0035003;GO:0042788;GO:0070578;GO:0070937;GO:0071203;GO:1990433
GO:0043226,13,11.5044247787611,organelle,GO:0005726;GO:0005859;GO:0030016;GO:0030139;GO:0032039;GO:0033162;GO:0042788;GO:0044232;GO:0044233;GO:0097165;GO:0098892;GO:1990433
