GOslim,Count,Percent,Term,go_terms
GO:0000003,10,2.27272727272727,reproduction,GO:0007338;GO:0007565;GO:0009566;GO:0009860;GO:0010183;GO:0044703
GO:0000278,2,0.454545454545455,mitotic cell cycle,GO:0007100;GO:0044878
GO:0000902,3,0.681818181818182,cell morphogenesis,GO:0009826;GO:0009860;GO:0009932
GO:0002376,30,6.81818181818182,immune system process,GO:0001767;GO:0001768;GO:0001771;GO:0002275;GO:0002277;GO:0002283;GO:0002697;GO:0036230;GO:0042119;GO:0043299;GO:0043312;GO:0043368;GO:0043383;GO:0045058;GO:0045059;GO:0045060;GO:0045061;GO:0046633;GO:0060264;GO:0060266;GO:1902563;GO:1902564
GO:0003013,21,4.77272727272727,circulatory system process,GO:0002027;GO:0008016;GO:0010460;GO:0061337;GO:0086014;GO:0086015;GO:0086016;GO:0086043;GO:0086045;GO:0086046;GO:0086047;GO:0086048;GO:0086065;GO:0086067;GO:0086091;GO:0098912
GO:0005975,0,0,carbohydrate metabolic process,
GO:0006091,2,0.454545454545455,generation of precursor metabolites and energy,GO:0006119;GO:0006120
GO:0006259,0,0,DNA metabolic process,
GO:0006397,0,0,mRNA processing,
GO:0006399,0,0,tRNA metabolic process,
GO:0006412,0,0,translation,
GO:0006457,0,0,protein folding,
GO:0006464,7,1.59090909090909,cellular protein modification process,GO:0006480;GO:0006493;GO:0016266;GO:0018242;GO:0018243
GO:0006520,0,0,cellular amino acid metabolic process,
GO:0006605,0,0,protein targeting,
GO:0006629,1,0.227272727272727,lipid metabolic process,GO:0006656
GO:0006790,0,0,sulfur compound metabolic process,
GO:0006810,35,7.95454545454545,transport,GO:0006833;GO:0006907;GO:0015669;GO:0015670;GO:0015780;GO:0019755;GO:0043299;GO:0043312;GO:0044351;GO:0060306;GO:0060307;GO:0060372;GO:0072383;GO:0072386;GO:0072531;GO:0090088;GO:0090089;GO:0090481;GO:0099623;GO:1901385;GO:1901387;GO:1901841;GO:1901843;GO:1902514;GO:1904879;GO:2000878;GO:2000880;GO:2001148;GO:2001150;GO:2001225
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,0,0,autophagy,
GO:0006950,6,1.36363636363636,response to stress,GO:0009651;GO:0042538;GO:0055093;GO:0060264;GO:0060266;GO:0071498
GO:0007005,1,0.227272727272727,mitochondrion organization,GO:0042407
GO:0007009,0,0,plasma membrane organization,
GO:0007010,2,0.454545454545455,cytoskeleton organization,GO:0007100;GO:0051299
GO:0007034,0,0,vacuolar transport,
GO:0007049,6,1.36363636363636,cell cycle,GO:0007100;GO:0032465;GO:0032466;GO:0044878;GO:0051299
GO:0007059,0,0,chromosome segregation,
GO:0007155,0,0,cell adhesion,
GO:0007165,3,0.681818181818182,signal transduction,GO:0034163;GO:0034164;GO:0038166
GO:0007267,10,2.27272727272727,cell-cell signaling,GO:0086014;GO:0086015;GO:0086016;GO:0086043;GO:0086045;GO:0086046;GO:0086047;GO:0086048;GO:0098912
GO:0007568,0,0,aging,
GO:0008150,198,45,biological_process,GO:0001766;GO:0001767;GO:0001768;GO:0001771;GO:0002027;GO:0002275;GO:0002277;GO:0002283;GO:0002697;GO:0003360;GO:0006119;GO:0006120;GO:0006480;GO:0006493;GO:0006656;GO:0006833;GO:0006885;GO:0006907;GO:0007042;GO:0007100;GO:0007338;GO:0007368;GO:0007565;GO:0008016;GO:0009555;GO:0009566;GO:0009651;GO:0009799;GO:0009826;GO:0009838;GO:0009855;GO:0009860;GO:0009877;GO:0009932;GO:0009988;GO:0010183;GO:0010460;GO:0014854;GO:0014870;GO:0014874;GO:0014877;GO:0014894;GO:0015669;GO:0015670;GO:0015780;GO:0016266;GO:0016999;GO:0017000;GO:0018242;GO:0018243;GO:0019695;GO:0019755;GO:0021537;GO:0030004;GO:0030322;GO:0030641;GO:0031579;GO:0031580;GO:0032465;GO:0032466;GO:0032847;GO:0032849;GO:0034163;GO:0034164;GO:0035637;GO:0036230;GO:0038166;GO:0042119;GO:0042407;GO:0042425;GO:0042475;GO:0042476;GO:0042538;GO:0043299;GO:0043312;GO:0043368;GO:0043383;GO:0043627;GO:0044351;GO:0044703;GO:0044706;GO:0044878;GO:0045058;GO:0045059;GO:0045060;GO:0045061;GO:0046034;GO:0046633;GO:0048229;GO:0048364;GO:0048528;GO:0050690;GO:0051299;GO:0051453;GO:0051665;GO:0051712;GO:0051899;GO:0055067;GO:0055093;GO:0060263;GO:0060264;GO:0060266;GO:0060268;GO:0060306;GO:0060307;GO:0060353;GO:0060354;GO:0060371;GO:0060372;GO:0060373;GO:0061337;GO:0070741;GO:0071354;GO:0071392;GO:0071498;GO:0072383;GO:0072386;GO:0072531;GO:0086010;GO:0086012;GO:0086014;GO:0086015;GO:0086016;GO:0086043;GO:0086045;GO:0086046;GO:0086047;GO:0086048;GO:0086065;GO:0086067;GO:0086091;GO:0090088;GO:0090089;GO:0090481;GO:0090696;GO:0098912;GO:0099402;GO:0099623;GO:1901385;GO:1901387;GO:1901841;GO:1901843;GO:1902514;GO:1902563;GO:1902564;GO:1903566;GO:1904526;GO:1904879;GO:1905245;GO:1905247;GO:1905671;GO:1905673;GO:2000878;GO:2000880;GO:2001148;GO:2001150;GO:2001225
GO:0008219,1,0.227272727272727,cell death,GO:0051712
GO:0008283,1,0.227272727272727,cell population proliferation,GO:0046633
GO:0009056,0,0,catabolic process,
GO:0009058,9,2.04545454545455,biosynthetic process,GO:0006493;GO:0006656;GO:0016266;GO:0017000;GO:0018242;GO:0018243;GO:0042425
GO:0009790,0,0,embryo development,
GO:0015031,0,0,protein transport,
GO:0015979,0,0,photosynthesis,
GO:0016192,6,1.36363636363636,vesicle-mediated transport,GO:0006907;GO:0043299;GO:0043312;GO:0044351
GO:0019748,0,0,secondary metabolic process,
