GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,48,32.2147651006711,cellular_component,GO:0000276;GO:0001518;GO:0005753;GO:0005873;GO:0005891;GO:0015630;GO:0016939;GO:0030315;GO:0031527;GO:0031983;GO:0034702;GO:0034703;GO:0034704;GO:0034774;GO:0035580;GO:0045259;GO:0045263;GO:0060205;GO:0097470;GO:0098684;GO:0098798;GO:0098800;GO:1902495;GO:1990351;GO:1990454
GO:0005576,0,0,extracellular region,
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,16,10.738255033557,intracellular anatomical structure,GO:0000276;GO:0005753;GO:0005873;GO:0015630;GO:0016939;GO:0034774;GO:0035580;GO:0045263;GO:0060205;GO:0098798;GO:0098800
GO:0005634,0,0,nucleus,
GO:0005635,0,0,nuclear envelope,
GO:0005654,0,0,nucleoplasm,
GO:0005694,0,0,chromosome,
GO:0005730,0,0,nucleolus,
GO:0005737,11,7.38255033557047,cytoplasm,GO:0000276;GO:0005753;GO:0034774;GO:0035580;GO:0060205;GO:0098798;GO:0098800
GO:0005739,6,4.02684563758389,mitochondrion,GO:0000276;GO:0005753;GO:0098798;GO:0098800
GO:0005764,0,0,lysosome,
GO:0005768,0,0,endosome,
GO:0005773,0,0,vacuole,
GO:0005777,0,0,peroxisome,
GO:0005783,0,0,endoplasmic reticulum,
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,4,2.68456375838926,cytoskeleton,GO:0005873;GO:0015630;GO:0016939
GO:0005886,8,5.36912751677852,plasma membrane,GO:0001518;GO:0005891;GO:0030315;GO:0031527;GO:1990454
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,0,0,extracellular matrix,
GO:0031410,5,3.35570469798658,cytoplasmic vesicle,GO:0034774;GO:0035580;GO:0060205
GO:0032991,34,22.8187919463087,protein-containing complex,GO:0000276;GO:0001518;GO:0005753;GO:0005873;GO:0005891;GO:0016939;GO:0034702;GO:0034703;GO:0034704;GO:0045259;GO:0045263;GO:0098798;GO:0098800;GO:1902495;GO:1990351;GO:1990454
GO:0043226,17,11.4093959731544,organelle,GO:0000276;GO:0005753;GO:0005873;GO:0015630;GO:0016939;GO:0031983;GO:0034774;GO:0035580;GO:0060205;GO:0098798;GO:0098800
