GOslim,Count,Percent,Term,go_terms
GO:0003674,151,55.3113553113553,molecular_function,GO:0000234;GO:0004064;GO:0004089;GO:0004653;GO:0004687;GO:0005215;GO:0005216;GO:0005244;GO:0005245;GO:0005261;GO:0005262;GO:0005338;GO:0005372;GO:0005459;GO:0005516;GO:0008092;GO:0008168;GO:0008171;GO:0008324;GO:0008331;GO:0008376;GO:0008521;GO:0008574;GO:0015075;GO:0015085;GO:0015165;GO:0015250;GO:0015267;GO:0015288;GO:0016741;GO:0019863;GO:0022803;GO:0022829;GO:0022832;GO:0022836;GO:0022841;GO:0022843;GO:0022857;GO:0022890;GO:0030246;GO:0033781;GO:0042608;GO:0046873;GO:0046933;GO:0047429;GO:0060002;GO:0061578;GO:0086006;GO:0086060;GO:0086061;GO:0086062;GO:0086063;GO:0099511;GO:0099626;GO:0099635;GO:0120170
GO:0003677,0,0,DNA binding,
GO:0003700,0,0,DNA-binding transcription factor activity,
GO:0003723,0,0,RNA binding,
GO:0003729,0,0,mRNA binding,
GO:0003735,0,0,structural constituent of ribosome,
GO:0003924,0,0,GTPase activity,
GO:0004386,0,0,helicase activity,
GO:0004518,0,0,nuclease activity,
GO:0005198,0,0,structural molecule activity,
GO:0008092,6,2.1978021978022,cytoskeletal protein binding,
GO:0008134,0,0,transcription factor binding,
GO:0008135,0,0,translation factor activity, RNA binding,
GO:0008168,8,2.93040293040293,methyltransferase activity,GO:0000234;GO:0008171
GO:0008233,0,0,peptidase activity,
GO:0008289,0,0,lipid binding,
GO:0016301,1,0.366300366300366,kinase activity,GO:0004687
GO:0016491,1,0.366300366300366,oxidoreductase activity,GO:0033781
GO:0016746,0,0,transferase activity, transferring acyl groups,
GO:0016757,4,1.46520146520147,transferase activity, transferring glycosyl groups,GO:0004653;GO:0008376
GO:0016765,0,0,transferase activity, transferring alkyl or aryl (other than methyl) groups,
GO:0016779,0,0,nucleotidyltransferase activity,
GO:0016791,0,0,phosphatase activity,
GO:0016798,0,0,hydrolase activity, acting on glycosyl bonds,
GO:0016810,0,0,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,
GO:0016829,1,0.366300366300366,lyase activity,GO:0004089
GO:0016853,0,0,isomerase activity,
GO:0016874,1,0.366300366300366,ligase activity,GO:0046933
GO:0019843,0,0,rRNA binding,
GO:0019899,0,0,enzyme binding,
GO:0022857,100,36.6300366300366,transmembrane transporter activity,GO:0005216;GO:0005244;GO:0005245;GO:0005261;GO:0005262;GO:0005338;GO:0005372;GO:0005459;GO:0008324;GO:0008331;GO:0008521;GO:0015075;GO:0015085;GO:0015165;GO:0015250;GO:0015267;GO:0015288;GO:0022803;GO:0022829;GO:0022832;GO:0022836;GO:0022841;GO:0022843;GO:0022890;GO:0046873;GO:0046933;GO:0086006;GO:0086060;GO:0086061;GO:0086062;GO:0086063;GO:0099511;GO:0099626;GO:0099635
GO:0030234,0,0,enzyme regulator activity,
GO:0030533,0,0,triplet codon-amino acid adaptor activity,
GO:0030555,0,0,RNA modification guide activity,
GO:0030674,0,0,protein-macromolecule adaptor activity,
GO:0032182,0,0,ubiquitin-like protein binding,
GO:0042393,0,0,histone binding,
GO:0043167,0,0,ion binding,
GO:0051082,0,0,unfolded protein binding,
