GOslim,Count,Percent,Term,go_terms
GO:0000003,0,0,reproduction,
GO:0000278,0,0,mitotic cell cycle,
GO:0000902,0,0,cell morphogenesis,
GO:0002376,0,0,immune system process,
GO:0003013,0,0,circulatory system process,
GO:0005975,0,0,carbohydrate metabolic process,
GO:0006091,0,0,generation of precursor metabolites and energy,
GO:0006259,0,0,DNA metabolic process,
GO:0006397,0,0,mRNA processing,
GO:0006399,0,0,tRNA metabolic process,
GO:0006412,0,0,translation,
GO:0006457,0,0,protein folding,
GO:0006464,0,0,cellular protein modification process,
GO:0006520,7,8.97435897435897,cellular amino acid metabolic process,GO:0006555;GO:0009067;GO:0009086;GO:0019509;GO:0043102;GO:0071265;GO:0071267
GO:0006605,0,0,protein targeting,
GO:0006629,0,0,lipid metabolic process,
GO:0006790,6,7.69230769230769,sulfur compound metabolic process,GO:0000097;GO:0006555;GO:0009086;GO:0019509;GO:0071265;GO:0071267
GO:0006810,0,0,transport,
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,0,0,autophagy,
GO:0006950,0,0,response to stress,
GO:0007005,0,0,mitochondrion organization,
GO:0007009,0,0,plasma membrane organization,
GO:0007010,0,0,cytoskeleton organization,
GO:0007034,0,0,vacuolar transport,
GO:0007049,0,0,cell cycle,
GO:0007059,0,0,chromosome segregation,
GO:0007155,0,0,cell adhesion,
GO:0007165,3,3.84615384615385,signal transduction,GO:0098962;GO:0099601;GO:2000051
GO:0007267,2,2.56410256410256,cell-cell signaling,GO:0098962;GO:2000051
GO:0007568,0,0,aging,
GO:0008150,26,33.3333333333333,biological_process,GO:0000097;GO:0006555;GO:0009067;GO:0009086;GO:0019509;GO:0031935;GO:0031936;GO:0035418;GO:0043094;GO:0043102;GO:0046039;GO:0060969;GO:0061013;GO:0061014;GO:0071265;GO:0071267;GO:0097120;GO:0098962;GO:0099072;GO:0099150;GO:0099601;GO:0099633;GO:0099645;GO:1903539;GO:1905268;GO:2000051
GO:0008219,0,0,cell death,
GO:0008283,0,0,cell population proliferation,
GO:0009056,2,2.56410256410256,catabolic process,GO:0061013;GO:0061014
GO:0009058,9,11.5384615384615,biosynthetic process,GO:0000097;GO:0009067;GO:0009086;GO:0019509;GO:0031935;GO:0031936;GO:0043102;GO:0071265;GO:0071267
GO:0009790,0,0,embryo development,
GO:0015031,0,0,protein transport,
GO:0015979,0,0,photosynthesis,
GO:0016192,0,0,vesicle-mediated transport,
GO:0019748,0,0,secondary metabolic process,
GO:0021700,0,0,developmental maturation,
GO:0022607,1,1.28205128205128,cellular component assembly,GO:0099150
GO:0022618,0,0,ribonucleoprotein complex assembly,
GO:0030154,0,0,cell differentiation,
GO:0030198,0,0,extracellular matrix organization,
GO:0030705,0,0,cytoskeleton-dependent intracellular transport,
GO:0032196,0,0,transposition,
GO:0034330,1,1.28205128205128,cell junction organization,GO:0099150
GO:0034641,5,6.41025641025641,cellular nitrogen compound metabolic process,GO:0031935;GO:0031936;GO:0046039;GO:0061013;GO:0061014
GO:0034655,2,2.56410256410256,nucleobase-containing compound catabolic process,GO:0061013;GO:0061014
GO:0040007,0,0,growth,
GO:0040011,0,0,locomotion,
GO:0042254,0,0,ribosome biogenesis,
GO:0042592,0,0,homeostatic process,
GO:0043473,0,0,pigmentation,
GO:0044281,9,11.5384615384615,small molecule metabolic process,GO:0000097;GO:0006555;GO:0009067;GO:0009086;GO:0019509;GO:0043102;GO:0046039;GO:0071265;GO:0071267
GO:0044403,0,0,biological process involved in symbiotic interaction,
GO:0048646,0,0,anatomical structure formation involved in morphogenesis,
GO:0048856,1,1.28205128205128,anatomical structure development,GO:0099150
GO:0048870,0,0,cell motility,
GO:0050877,1,1.28205128205128,nervous system process,GO:0098962
GO:0051276,3,3.84615384615385,chromosome organization,GO:0031935;GO:0031936;GO:1905268
GO:0051301,0,0,cell division,
GO:0051604,0,0,protein maturation,
GO:0055085,0,0,transmembrane transport,
GO:0061024,0,0,membrane organization,
GO:0065003,0,0,protein-containing complex assembly,
GO:0071554,0,0,cell wall organization or biogenesis,
GO:0071941,0,0,nitrogen cycle metabolic process,
GO:0140014,0,0,mitotic nuclear division,
