GOslim,Count,Percent,Term,go_terms
GO:0000003,5,1.63398692810458,reproduction,GO:0007339;GO:0031286;GO:0035036;GO:0075260;GO:0075262
GO:0000278,1,0.326797385620915,mitotic cell cycle,GO:1901673
GO:0000902,1,0.326797385620915,cell morphogenesis,GO:0061003
GO:0002376,4,1.30718954248366,immune system process,GO:0060264;GO:0060266;GO:1902563;GO:1902564
GO:0003013,11,3.59477124183007,circulatory system process,GO:0086004;GO:0086014;GO:0086015;GO:0086016;GO:0086043;GO:0086045;GO:0086046;GO:0086047;GO:0086048;GO:0086065;GO:0086067
GO:0005975,1,0.326797385620915,carbohydrate metabolic process,GO:0045721
GO:0006091,0,0,generation of precursor metabolites and energy,
GO:0006259,0,0,DNA metabolic process,
GO:0006397,0,0,mRNA processing,
GO:0006399,0,0,tRNA metabolic process,
GO:0006412,0,0,translation,
GO:0006457,0,0,protein folding,
GO:0006464,0,0,cellular protein modification process,
GO:0006520,0,0,cellular amino acid metabolic process,
GO:0006605,0,0,protein targeting,
GO:0006629,0,0,lipid metabolic process,
GO:0006790,0,0,sulfur compound metabolic process,
GO:0006810,36,11.7647058823529,transport,GO:0002028;GO:0003333;GO:0006865;GO:0010765;GO:0010766;GO:0015804;GO:0032402;GO:0060306;GO:0060307;GO:0060372;GO:0071577;GO:0090186;GO:0090188;GO:0098877;GO:0098887;GO:0098969;GO:0099623;GO:0099632;GO:0099637;GO:0099638;GO:0099639;GO:0150093;GO:1902305;GO:1903286;GO:1903288;GO:1903825;GO:1905039;GO:1990182
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,0,0,autophagy,
GO:0006950,2,0.65359477124183,response to stress,GO:0060264;GO:0060266
GO:0007005,0,0,mitochondrion organization,
GO:0007009,5,1.63398692810458,plasma membrane organization,GO:1903729
GO:0007010,2,0.65359477124183,cytoskeleton organization,GO:0030953;GO:1901673
GO:0007034,0,0,vacuolar transport,
GO:0007049,2,0.65359477124183,cell cycle,GO:0030953;GO:1901673
GO:0007059,0,0,chromosome segregation,
GO:0007155,0,0,cell adhesion,
GO:0007165,0,0,signal transduction,
GO:0007267,9,2.94117647058824,cell-cell signaling,GO:0048169;GO:0086014;GO:0086015;GO:0086016;GO:0086043;GO:0086045;GO:0086046;GO:0086047;GO:0086048
GO:0007568,0,0,aging,
GO:0008150,134,43.7908496732026,biological_process,GO:0002028;GO:0003333;GO:0003360;GO:0006183;GO:0006228;GO:0006241;GO:0006865;GO:0006882;GO:0007009;GO:0007042;GO:0007275;GO:0007339;GO:0009083;GO:0009209;GO:0009624;GO:0009988;GO:0010765;GO:0010766;GO:0010796;GO:0014854;GO:0014870;GO:0014874;GO:0014877;GO:0014894;GO:0015804;GO:0021537;GO:0030953;GO:0031285;GO:0031286;GO:0031581;GO:0032105;GO:0032108;GO:0032400;GO:0032401;GO:0032402;GO:0035036;GO:0036257;GO:0036258;GO:0045721;GO:0046036;GO:0046051;GO:0046931;GO:0048169;GO:0051036;GO:0055069;GO:0060263;GO:0060264;GO:0060266;GO:0060268;GO:0060306;GO:0060307;GO:0060371;GO:0060372;GO:0060373;GO:0060457;GO:0061003;GO:0061026;GO:0070202;GO:0070203;GO:0071577;GO:0072659;GO:0075260;GO:0075262;GO:0086004;GO:0086012;GO:0086014;GO:0086015;GO:0086016;GO:0086043;GO:0086045;GO:0086046;GO:0086047;GO:0086048;GO:0086065;GO:0086067;GO:0090186;GO:0090188;GO:0098877;GO:0098887;GO:0098969;GO:0099623;GO:0099632;GO:0099637;GO:0099638;GO:0099639;GO:0150093;GO:1901070;GO:1901673;GO:1902305;GO:1902563;GO:1902564;GO:1903076;GO:1903078;GO:1903115;GO:1903286;GO:1903288;GO:1903540;GO:1903729;GO:1903825;GO:1904814;GO:1904816;GO:1904851;GO:1905039;GO:1905245;GO:1905247;GO:1905475;GO:1905477;GO:1905671;GO:1905673;GO:1990182;GO:1990778
GO:0008219,0,0,cell death,
GO:0008283,0,0,cell population proliferation,
GO:0009056,1,0.326797385620915,catabolic process,GO:0009083
GO:0009058,6,1.96078431372549,biosynthetic process,GO:0006183;GO:0006228;GO:0006241;GO:0009209;GO:0045721;GO:1901070
GO:0009790,0,0,embryo development,
GO:0015031,7,2.28758169934641,protein transport,GO:0098877;GO:0098887;GO:0098969;GO:0099632;GO:0099637;GO:0099638;GO:0099639
GO:0015979,0,0,photosynthesis,
GO:0016192,7,2.28758169934641,vesicle-mediated transport,GO:0098877;GO:0098887;GO:0098969;GO:0099638;GO:0099639;GO:0150093;GO:1990182
GO:0019748,0,0,secondary metabolic process,
GO:0021700,0,0,developmental maturation,
GO:0022607,4,1.30718954248366,cellular component assembly,GO:0031581;GO:0036258;GO:0046931;GO:1901673
GO:0022618,0,0,ribonucleoprotein complex assembly,
GO:0030154,4,1.30718954248366,cell differentiation,GO:0031285;GO:0031286;GO:0060266;GO:0061003
GO:0030198,0,0,extracellular matrix organization,
GO:0030705,0,0,cytoskeleton-dependent intracellular transport,
GO:0032196,0,0,transposition,
GO:0034330,2,0.65359477124183,cell junction organization,GO:0031581;GO:0061003
GO:0034641,7,2.28758169934641,cellular nitrogen compound metabolic process,GO:0006183;GO:0006228;GO:0006241;GO:0009209;GO:0046036;GO:0046051;GO:1901070
GO:0034655,0,0,nucleobase-containing compound catabolic process,
GO:0040007,1,0.326797385620915,growth,GO:0061026
GO:0040011,0,0,locomotion,
GO:0042254,0,0,ribosome biogenesis,
GO:0042592,5,1.63398692810458,homeostatic process,GO:0006882;GO:0007042;GO:0055069;GO:0060371;GO:0060373
GO:0043473,3,0.980392156862745,pigmentation,GO:0032400;GO:0032401;GO:0032402
GO:0044281,9,2.94117647058824,small molecule metabolic process,GO:0006183;GO:0006228;GO:0006241;GO:0009083;GO:0009209;GO:0045721;GO:0046036;GO:0046051;GO:1901070
GO:0044403,0,0,biological process involved in symbiotic interaction,
GO:0048646,0,0,anatomical structure formation involved in morphogenesis,
GO:0048856,14,4.57516339869281,anatomical structure development,GO:0003360;GO:0007275;GO:0021537;GO:0031285;GO:0031286;GO:0060266;GO:0061003;GO:0061026;GO:0075260;GO:0075262
GO:0048870,0,0,cell motility,
GO:0050877,0,0,nervous system process,
GO:0051276,0,0,chromosome organization,
GO:0051301,0,0,cell division,
GO:0051604,0,0,protein maturation,
GO:0055085,15,4.90196078431373,transmembrane transport,GO:0003333;GO:0060306;GO:0060307;GO:0060372;GO:0071577;GO:0099623;GO:1902305;GO:1903286;GO:1903288;GO:1903825;GO:1905039
