GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,30,24.7933884297521,cellular_component,GO:0000775;GO:0001518;GO:0002199;GO:0005608;GO:0005610;GO:0005828;GO:0005832;GO:0005838;GO:0005947;GO:0008278;GO:0008540;GO:0015935;GO:0016010;GO:0016013;GO:0022627;GO:0030056;GO:0030062;GO:0035578;GO:0043256;GO:0045239;GO:0045240;GO:0090665;GO:0097440;GO:0098837;GO:0098845;GO:0098846;GO:0101031
GO:0005576,0,0,extracellular region,
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,18,14.8760330578512,intracellular anatomical structure,GO:0000775;GO:0005828;GO:0005832;GO:0005838;GO:0005947;GO:0008278;GO:0008540;GO:0015935;GO:0022627;GO:0030062;GO:0035578;GO:0045239;GO:0045240;GO:0098837;GO:0098845
GO:0005634,0,0,nucleus,
GO:0005635,0,0,nuclear envelope,
GO:0005654,0,0,nucleoplasm,
GO:0005694,3,2.47933884297521,chromosome,GO:0000775;GO:0008278
GO:0005730,0,0,nucleolus,
GO:0005737,10,8.26446280991735,cytoplasm,GO:0005832;GO:0005947;GO:0022627;GO:0030062;GO:0035578;GO:0045239;GO:0045240;GO:0098837;GO:0098845
GO:0005739,2,1.65289256198347,mitochondrion,GO:0005947;GO:0030062
GO:0005764,1,0.826446280991736,lysosome,GO:0035578
GO:0005768,2,1.65289256198347,endosome,GO:0098837;GO:0098845
GO:0005773,1,0.826446280991736,vacuole,GO:0035578
GO:0005777,0,0,peroxisome,
GO:0005783,0,0,endoplasmic reticulum,
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,3,2.47933884297521,cytosol,GO:0005832;GO:0022627
GO:0005840,4,3.30578512396694,ribosome,GO:0015935;GO:0022627
GO:0005856,1,0.826446280991736,cytoskeleton,GO:0005828
GO:0005886,3,2.47933884297521,plasma membrane,GO:0001518;GO:0016010;GO:0016013
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,3,2.47933884297521,external encapsulating structure,GO:0005608;GO:0005610;GO:0043256
GO:0031012,3,2.47933884297521,extracellular matrix,GO:0005608;GO:0005610;GO:0043256
GO:0031410,3,2.47933884297521,cytoplasmic vesicle,GO:0035578;GO:0098837;GO:0098845
GO:0032991,21,17.3553719008264,protein-containing complex,GO:0001518;GO:0002199;GO:0005608;GO:0005610;GO:0005832;GO:0005838;GO:0005947;GO:0008278;GO:0008540;GO:0015935;GO:0016010;GO:0016013;GO:0022627;GO:0030062;GO:0043256;GO:0045239;GO:0045240;GO:0090665;GO:0101031
GO:0043226,13,10.7438016528926,organelle,GO:0000775;GO:0005828;GO:0005947;GO:0008278;GO:0015935;GO:0022627;GO:0030062;GO:0035578;GO:0098837;GO:0098845
