GOslim,Count,Percent,Term,go_terms
GO:0003674,23,58.974358974359,molecular_function,GO:0004674;GO:0008200;GO:0015171;GO:0015175;GO:0016248;GO:0017025;GO:0019869;GO:0019870;GO:0031386;GO:0031489;GO:0036402;GO:0042043;GO:0047323;GO:0086006;GO:0086060;GO:0086061;GO:0086062;GO:0086063
GO:0003677,0,0,DNA binding,
GO:0003700,0,0,DNA-binding transcription factor activity,
GO:0003723,0,0,RNA binding,
GO:0003729,0,0,mRNA binding,
GO:0003735,0,0,structural constituent of ribosome,
GO:0003924,0,0,GTPase activity,
GO:0004386,0,0,helicase activity,
GO:0004518,0,0,nuclease activity,
GO:0005198,0,0,structural molecule activity,
GO:0008092,1,2.56410256410256,cytoskeletal protein binding,GO:0031489
GO:0008134,1,2.56410256410256,transcription factor binding,GO:0017025
GO:0008135,0,0,translation factor activity, RNA binding,
GO:0008168,0,0,methyltransferase activity,
GO:0008233,0,0,peptidase activity,
GO:0008289,0,0,lipid binding,
GO:0016301,5,12.8205128205128,kinase activity,GO:0004674;GO:0047323
GO:0016491,0,0,oxidoreductase activity,
GO:0016746,0,0,transferase activity, transferring acyl groups,
GO:0016757,0,0,transferase activity, transferring glycosyl groups,
GO:0016765,0,0,transferase activity, transferring alkyl or aryl (other than methyl) groups,
GO:0016779,0,0,nucleotidyltransferase activity,
GO:0016791,0,0,phosphatase activity,
GO:0016798,0,0,hydrolase activity, acting on glycosyl bonds,
GO:0016810,0,0,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,
GO:0016829,0,0,lyase activity,
GO:0016853,0,0,isomerase activity,
GO:0016874,0,0,ligase activity,
GO:0019843,0,0,rRNA binding,
GO:0019899,0,0,enzyme binding,
GO:0022857,9,23.0769230769231,transmembrane transporter activity,GO:0015171;GO:0015175;GO:0086006;GO:0086060;GO:0086061;GO:0086062;GO:0086063
GO:0030234,0,0,enzyme regulator activity,
GO:0030533,0,0,triplet codon-amino acid adaptor activity,
GO:0030555,0,0,RNA modification guide activity,
GO:0030674,0,0,protein-macromolecule adaptor activity,
GO:0032182,0,0,ubiquitin-like protein binding,
GO:0042393,0,0,histone binding,
GO:0043167,0,0,ion binding,
GO:0051082,0,0,unfolded protein binding,
