GOslim,Count,Percent,Term,go_terms
GO:0000003,4,1.16618075801749,reproduction,GO:0010520;GO:0010946;GO:0010947;GO:0045128
GO:0000278,7,2.04081632653061,mitotic cell cycle,GO:0034182;GO:0034183;GO:1903221;GO:1904907;GO:1904908;GO:1990426;GO:1990505
GO:0000902,0,0,cell morphogenesis,
GO:0002376,9,2.62390670553936,immune system process,GO:0001774;GO:0002220;GO:0002752;GO:0010935;GO:0014005;GO:0042116;GO:0060907;GO:0061081;GO:0061515
GO:0003013,0,0,circulatory system process,
GO:0005975,0,0,carbohydrate metabolic process,
GO:0006091,0,0,generation of precursor metabolites and energy,
GO:0006259,16,4.66472303206997,DNA metabolic process,GO:0000724;GO:0000725;GO:0000733;GO:0010520;GO:0010946;GO:0010947;GO:0031860;GO:0045128;GO:0070914;GO:0071140;GO:1902298;GO:1903221;GO:1990426;GO:1990505
GO:0006397,0,0,mRNA processing,
GO:0006399,0,0,tRNA metabolic process,
GO:0006412,0,0,translation,
GO:0006457,0,0,protein folding,
GO:0006464,2,0.583090379008746,cellular protein modification process,GO:0007182;GO:0007252
GO:0006520,0,0,cellular amino acid metabolic process,
GO:0006605,0,0,protein targeting,
GO:0006629,0,0,lipid metabolic process,
GO:0006790,0,0,sulfur compound metabolic process,
GO:0006810,4,1.16618075801749,transport,GO:0015791;GO:0015893;GO:0042892;GO:0050765
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,2,0.583090379008746,autophagy,GO:1904415;GO:1904417
GO:0006950,11,3.2069970845481,response to stress,GO:0000724;GO:0000725;GO:0002220;GO:0002752;GO:0052063;GO:0052163;GO:0070914;GO:1904415;GO:1904417
GO:0007005,0,0,mitochondrion organization,
GO:0007009,0,0,plasma membrane organization,
GO:0007010,11,3.2069970845481,cytoskeleton organization,GO:0008064;GO:0030832;GO:0030833;GO:0030837;GO:0051494;GO:0051693
GO:0007034,0,0,vacuolar transport,
GO:0007049,15,4.3731778425656,cell cycle,GO:0010520;GO:0010946;GO:0010947;GO:0034091;GO:0034092;GO:0034182;GO:0034183;GO:0045128;GO:0045875;GO:1902298;GO:1903221;GO:1904907;GO:1904908;GO:1990426;GO:1990505
GO:0007059,7,2.04081632653061,chromosome segregation,GO:0034091;GO:0034092;GO:0034182;GO:0034183;GO:0045875;GO:1904907;GO:1904908
GO:0007155,0,0,cell adhesion,
GO:0007165,12,3.49854227405248,signal transduction,GO:0002220;GO:0002752;GO:0007182;GO:0007252;GO:0030177;GO:0034123;GO:0034130;GO:0034134;GO:0034137;GO:0038123;GO:0060390
GO:0007267,2,0.583090379008746,cell-cell signaling,GO:0030177
GO:0007568,0,0,aging,
GO:0008150,142,41.399416909621,biological_process,GO:0000724;GO:0000725;GO:0000733;GO:0001774;GO:0002220;GO:0002238;GO:0002752;GO:0006691;GO:0007182;GO:0007252;GO:0008064;GO:0010520;GO:0010639;GO:0010935;GO:0010946;GO:0010947;GO:0014005;GO:0015791;GO:0015893;GO:0030177;GO:0030832;GO:0030833;GO:0030837;GO:0031333;GO:0031670;GO:0031860;GO:0032271;GO:0032272;GO:0032288;GO:0032289;GO:0032392;GO:0032493;GO:0032494;GO:0032508;GO:0032613;GO:0032640;GO:0032653;GO:0032660;GO:0032661;GO:0032700;GO:0032728;GO:0032733;GO:0032741;GO:0034091;GO:0034092;GO:0034123;GO:0034130;GO:0034134;GO:0034137;GO:0034182;GO:0034183;GO:0038123;GO:0042116;GO:0042494;GO:0042495;GO:0042496;GO:0042892;GO:0045128;GO:0045428;GO:0045429;GO:0045687;GO:0045875;GO:0046209;GO:0048713;GO:0048714;GO:0050765;GO:0051129;GO:0051494;GO:0051693;GO:0051701;GO:0051784;GO:0052031;GO:0052063;GO:0052163;GO:0052173;GO:0052200;GO:0052553;GO:0052559;GO:0052572;GO:0060390;GO:0060907;GO:0061081;GO:0061515;GO:0070198;GO:0070339;GO:0070340;GO:0070391;GO:0070542;GO:0070914;GO:0071103;GO:0071140;GO:0071220;GO:0071221;GO:0071223;GO:0071224;GO:0071706;GO:0071724;GO:0071725;GO:0071726;GO:0071727;GO:0075136;GO:1902298;GO:1902904;GO:1903221;GO:1903428;GO:1903969;GO:1903971;GO:1903972;GO:1903974;GO:1904407;GO:1904415;GO:1904417;GO:1904742;GO:1904743;GO:1904907;GO:1904908;GO:1990426;GO:1990505;GO:2001057
GO:0008219,0,0,cell death,
GO:0008283,0,0,cell population proliferation,
GO:0009056,2,0.583090379008746,catabolic process,GO:1904415;GO:1904417
GO:0009058,7,2.04081632653061,biosynthetic process,GO:0045428;GO:0045429;GO:1902298;GO:1903221;GO:1903428;GO:1990426;GO:1990505
GO:0009790,0,0,embryo development,
GO:0015031,0,0,protein transport,
GO:0015979,0,0,photosynthesis,
GO:0016192,1,0.291545189504373,vesicle-mediated transport,GO:0050765
GO:0019748,0,0,secondary metabolic process,
GO:0021700,0,0,developmental maturation,
GO:0022607,13,3.79008746355685,cellular component assembly,GO:0030833;GO:0030837;GO:0031333;GO:0032271;GO:0032272;GO:0032288;GO:0032289;GO:0051693
GO:0022618,0,0,ribonucleoprotein complex assembly,
GO:0030154,6,1.74927113702624,cell differentiation,GO:0014005;GO:0032289;GO:0045687;GO:0048713;GO:0048714;GO:0061515
GO:0030198,0,0,extracellular matrix organization,
GO:0030705,0,0,cytoskeleton-dependent intracellular transport,
GO:0032196,0,0,transposition,
GO:0034330,0,0,cell junction organization,
GO:0034641,18,5.24781341107872,cellular nitrogen compound metabolic process,GO:0000724;GO:0000725;GO:0000733;GO:0010520;GO:0010946;GO:0010947;GO:0031860;GO:0045128;GO:0045428;GO:0045429;GO:0070914;GO:0071140;GO:1902298;GO:1903221;GO:1990426;GO:1990505
GO:0034655,0,0,nucleobase-containing compound catabolic process,
GO:0040007,0,0,growth,
GO:0040011,0,0,locomotion,
GO:0042254,0,0,ribosome biogenesis,
GO:0042592,1,0.291545189504373,homeostatic process,GO:0031860
