GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,10,26.3157894736842,cellular_component,GO:0000781;GO:0008091;GO:0031422;GO:0031528;GO:0032437;GO:0035354;GO:0035355;GO:0071914;GO:0097224
GO:0005576,1,2.63157894736842,extracellular region,GO:0071914
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,5,13.1578947368421,intracellular anatomical structure,GO:0000781;GO:0008091;GO:0031422;GO:0032437
GO:0005634,0,0,nucleus,
GO:0005635,0,0,nuclear envelope,
GO:0005654,0,0,nucleoplasm,
GO:0005694,3,7.89473684210526,chromosome,GO:0000781;GO:0031422
GO:0005730,0,0,nucleolus,
GO:0005737,2,5.26315789473684,cytoplasm,GO:0008091;GO:0032437
GO:0005739,0,0,mitochondrion,
GO:0005764,0,0,lysosome,
GO:0005768,0,0,endosome,
GO:0005773,0,0,vacuole,
GO:0005777,0,0,peroxisome,
GO:0005783,0,0,endoplasmic reticulum,
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,2,5.26315789473684,cytoskeleton,GO:0008091;GO:0032437
GO:0005886,3,7.89473684210526,plasma membrane,GO:0031528;GO:0035354;GO:0035355
GO:0005929,1,2.63157894736842,cilium,GO:0097224
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,0,0,extracellular matrix,
GO:0031410,0,0,cytoplasmic vesicle,
GO:0032991,4,10.5263157894737,protein-containing complex,GO:0008091;GO:0031422;GO:0035354;GO:0035355
GO:0043226,7,18.4210526315789,organelle,GO:0000781;GO:0008091;GO:0031422;GO:0032437;GO:0071914;GO:0097224
