GOslim,Count,Percent,Term,go_terms
GO:0000003,0,0,reproduction,
GO:0000278,0,0,mitotic cell cycle,
GO:0000902,0,0,cell morphogenesis,
GO:0002376,6,5.35714285714286,immune system process,GO:0002204;GO:0002208;GO:0016447;GO:0045190;GO:0060753;GO:0060754
GO:0003013,0,0,circulatory system process,
GO:0005975,0,0,carbohydrate metabolic process,
GO:0006091,0,0,generation of precursor metabolites and energy,
GO:0006259,3,2.67857142857143,DNA metabolic process,GO:0002204;GO:0016447;GO:0045190
GO:0006397,1,0.892857142857143,mRNA processing,GO:0110104
GO:0006399,0,0,tRNA metabolic process,
GO:0006412,0,0,translation,
GO:0006457,1,0.892857142857143,protein folding,GO:0034975
GO:0006464,2,1.78571428571429,cellular protein modification process,GO:1902308;GO:1902309
GO:0006520,0,0,cellular amino acid metabolic process,
GO:0006605,0,0,protein targeting,
GO:0006629,3,2.67857142857143,lipid metabolic process,GO:0019374;GO:0019376;GO:0019377
GO:0006790,0,0,sulfur compound metabolic process,
GO:0006810,10,8.92857142857143,transport,GO:0001504;GO:0015697;GO:0015844;GO:0015872;GO:0035646;GO:0043485;GO:0045117;GO:0051608;GO:0051615;GO:0051937
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,0,0,autophagy,
GO:0006950,3,2.67857142857143,response to stress,GO:0043516;GO:0043518;GO:1900037
GO:0007005,0,0,mitochondrion organization,
GO:0007009,0,0,plasma membrane organization,
GO:0007010,0,0,cytoskeleton organization,
GO:0007034,0,0,vacuolar transport,
GO:0007049,0,0,cell cycle,
GO:0007059,0,0,chromosome segregation,
GO:0007155,3,2.67857142857143,cell adhesion,GO:0033629;GO:0033632;GO:0033633
GO:0007165,8,7.14285714285714,signal transduction,GO:0007191;GO:0038063;GO:0038065;GO:0043516;GO:0043518;GO:1901797;GO:1902253;GO:1902254
GO:0007267,0,0,cell-cell signaling,
GO:0007568,0,0,aging,
GO:0008150,43,38.3928571428571,biological_process,GO:0001504;GO:0002204;GO:0002208;GO:0006032;GO:0007191;GO:0015697;GO:0015844;GO:0015872;GO:0016447;GO:0019374;GO:0019376;GO:0019377;GO:0032094;GO:0033574;GO:0033629;GO:0033632;GO:0033633;GO:0034472;GO:0034975;GO:0035646;GO:0038063;GO:0038065;GO:0043485;GO:0043516;GO:0043518;GO:0045117;GO:0045190;GO:0051608;GO:0051615;GO:0051937;GO:0060753;GO:0060754;GO:0090091;GO:0090382;GO:0110104;GO:1900037;GO:1901072;GO:1901797;GO:1902253;GO:1902254;GO:1902308;GO:1902309;GO:1903232
GO:0008219,2,1.78571428571429,cell death,GO:1902253;GO:1902254
GO:0008283,0,0,cell population proliferation,
GO:0009056,4,3.57142857142857,catabolic process,GO:0006032;GO:0019376;GO:0019377;GO:1901072
GO:0009058,0,0,biosynthetic process,
GO:0009790,0,0,embryo development,
GO:0015031,0,0,protein transport,
GO:0015979,0,0,photosynthesis,
GO:0016192,0,0,vesicle-mediated transport,
GO:0019748,0,0,secondary metabolic process,
GO:0021700,2,1.78571428571429,developmental maturation,GO:0035646;GO:0043485
GO:0022607,1,0.892857142857143,cellular component assembly,GO:1903232
GO:0022618,0,0,ribonucleoprotein complex assembly,
GO:0030154,2,1.78571428571429,cell differentiation,GO:0035646;GO:0043485
GO:0030198,1,0.892857142857143,extracellular matrix organization,GO:0090091
GO:0030705,0,0,cytoskeleton-dependent intracellular transport,
GO:0032196,0,0,transposition,
GO:0034330,0,0,cell junction organization,
GO:0034641,5,4.46428571428571,cellular nitrogen compound metabolic process,GO:0002204;GO:0016447;GO:0034472;GO:0045190;GO:0110104
GO:0034655,0,0,nucleobase-containing compound catabolic process,
GO:0040007,0,0,growth,
GO:0040011,2,1.78571428571429,locomotion,GO:0060753;GO:0060754
GO:0042254,0,0,ribosome biogenesis,
GO:0042592,0,0,homeostatic process,
GO:0043473,3,2.67857142857143,pigmentation,GO:0035646;GO:0043485;GO:1903232
GO:0044281,0,0,small molecule metabolic process,
GO:0044403,0,0,biological process involved in symbiotic interaction,
GO:0048646,0,0,anatomical structure formation involved in morphogenesis,
GO:0048856,4,3.57142857142857,anatomical structure development,GO:0002204;GO:0002208;GO:0016447;GO:0045190
GO:0048870,2,1.78571428571429,cell motility,GO:0060753;GO:0060754
GO:0050877,0,0,nervous system process,
GO:0051276,0,0,chromosome organization,
GO:0051301,0,0,cell division,
GO:0051604,0,0,protein maturation,
GO:0055085,1,0.892857142857143,transmembrane transport,GO:0045117
GO:0061024,0,0,membrane organization,
GO:0065003,0,0,protein-containing complex assembly,
GO:0071554,0,0,cell wall organization or biogenesis,
GO:0071941,0,0,nitrogen cycle metabolic process,
GO:0140014,0,0,mitotic nuclear division,
