GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,12,27.906976744186,cellular_component,GO:0016281;GO:0031528;GO:0031901;GO:0032039;GO:0032426;GO:0033162;GO:0036396;GO:0044232;GO:0044233;GO:0045293;GO:0071203
GO:0005576,0,0,extracellular region,
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,7,16.2790697674419,intracellular anatomical structure,GO:0016281;GO:0031901;GO:0032039;GO:0033162;GO:0036396;GO:0071203
GO:0005634,1,2.32558139534884,nucleus,GO:0032039
GO:0005635,0,0,nuclear envelope,
GO:0005654,0,0,nucleoplasm,
GO:0005694,0,0,chromosome,
GO:0005730,0,0,nucleolus,
GO:0005737,5,11.6279069767442,cytoplasm,GO:0016281;GO:0031901;GO:0033162;GO:0071203
GO:0005739,0,0,mitochondrion,
GO:0005764,0,0,lysosome,
GO:0005768,2,4.65116279069767,endosome,GO:0031901
GO:0005773,0,0,vacuole,
GO:0005777,0,0,peroxisome,
GO:0005783,0,0,endoplasmic reticulum,
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,0,0,cytoskeleton,
GO:0005886,1,2.32558139534884,plasma membrane,GO:0031528
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,0,0,extracellular matrix,
GO:0031410,3,6.97674418604651,cytoplasmic vesicle,GO:0031901;GO:0033162
GO:0032991,5,11.6279069767442,protein-containing complex,GO:0016281;GO:0032039;GO:0036396;GO:0045293;GO:0071203
GO:0043226,7,16.2790697674419,organelle,GO:0031901;GO:0032039;GO:0032426;GO:0033162;GO:0044232;GO:0044233
