GOslim,Count,Percent,Term,go_terms
GO:0000003,0,0,reproduction,
GO:0000278,0,0,mitotic cell cycle,
GO:0000902,3,2.56410256410256,cell morphogenesis,GO:0021540;GO:0021952;GO:0021955
GO:0002376,0,0,immune system process,
GO:0003013,0,0,circulatory system process,
GO:0005975,4,3.41880341880342,carbohydrate metabolic process,GO:0006111;GO:0010677;GO:0045721;GO:0045912
GO:0006091,0,0,generation of precursor metabolites and energy,
GO:0006259,0,0,DNA metabolic process,
GO:0006397,0,0,mRNA processing,
GO:0006399,0,0,tRNA metabolic process,
GO:0006412,0,0,translation,
GO:0006457,0,0,protein folding,
GO:0006464,2,1.70940170940171,cellular protein modification process,GO:0010799;GO:0010800
GO:0006520,0,0,cellular amino acid metabolic process,
GO:0006605,1,0.854700854700855,protein targeting,GO:0016560
GO:0006629,0,0,lipid metabolic process,
GO:0006790,0,0,sulfur compound metabolic process,
GO:0006810,20,17.0940170940171,transport,GO:0003333;GO:0006865;GO:0015804;GO:0015849;GO:0016560;GO:0043267;GO:0046942;GO:0098656;GO:1901017;GO:1901380;GO:1903825;GO:1905039
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,0,0,autophagy,
GO:0006950,7,5.98290598290598,response to stress,GO:0006971;GO:0034198;GO:0042149;GO:0071470;GO:0071476;GO:1901031;GO:2000121
GO:0007005,0,0,mitochondrion organization,
GO:0007009,0,0,plasma membrane organization,
GO:0007010,0,0,cytoskeleton organization,
GO:0007034,0,0,vacuolar transport,
GO:0007049,0,0,cell cycle,
GO:0007059,0,0,chromosome segregation,
GO:0007155,1,0.854700854700855,cell adhesion,GO:0034113
GO:0007165,4,3.41880341880342,signal transduction,GO:0007229;GO:0032007;GO:1903432;GO:1904262
GO:0007267,0,0,cell-cell signaling,
GO:0007568,0,0,aging,
GO:0008150,49,41.8803418803419,biological_process,GO:0003333;GO:0006111;GO:0006336;GO:0006865;GO:0006971;GO:0007229;GO:0009624;GO:0010677;GO:0010799;GO:0010800;GO:0014823;GO:0015804;GO:0015849;GO:0016560;GO:0021540;GO:0021952;GO:0021955;GO:0022615;GO:0032007;GO:0034113;GO:0034198;GO:0034724;GO:0042149;GO:0043267;GO:0045721;GO:0045912;GO:0046942;GO:0061462;GO:0071470;GO:0071476;GO:0090322;GO:0098656;GO:1901017;GO:1901031;GO:1901380;GO:1901668;GO:1903432;GO:1903825;GO:1904262;GO:1905039;GO:2000121
GO:0008219,0,0,cell death,
GO:0008283,0,0,cell population proliferation,
GO:0009056,0,0,catabolic process,
GO:0009058,2,1.70940170940171,biosynthetic process,GO:0006111;GO:0045721
GO:0009790,0,0,embryo development,
GO:0015031,1,0.854700854700855,protein transport,GO:0016560
GO:0015979,0,0,photosynthesis,
GO:0016192,0,0,vesicle-mediated transport,
GO:0019748,0,0,secondary metabolic process,
GO:0021700,0,0,developmental maturation,
GO:0022607,1,0.854700854700855,cellular component assembly,GO:0006336
GO:0022618,0,0,ribonucleoprotein complex assembly,
GO:0030154,3,2.56410256410256,cell differentiation,GO:0021540;GO:0021952;GO:0021955
GO:0030198,0,0,extracellular matrix organization,
GO:0030705,0,0,cytoskeleton-dependent intracellular transport,
GO:0032196,0,0,transposition,
GO:0034330,0,0,cell junction organization,
GO:0034641,0,0,cellular nitrogen compound metabolic process,
GO:0034655,0,0,nucleobase-containing compound catabolic process,
GO:0040007,0,0,growth,
GO:0040011,0,0,locomotion,
GO:0042254,0,0,ribosome biogenesis,
GO:0042592,0,0,homeostatic process,
GO:0043473,0,0,pigmentation,
GO:0044281,2,1.70940170940171,small molecule metabolic process,GO:0006111;GO:0045721
GO:0044403,0,0,biological process involved in symbiotic interaction,
GO:0048646,0,0,anatomical structure formation involved in morphogenesis,
GO:0048856,3,2.56410256410256,anatomical structure development,GO:0021540;GO:0021952;GO:0021955
GO:0048870,0,0,cell motility,
GO:0050877,0,0,nervous system process,
GO:0051276,2,1.70940170940171,chromosome organization,GO:0006336;GO:0034724
GO:0051301,0,0,cell division,
GO:0051604,0,0,protein maturation,
GO:0055085,11,9.4017094017094,transmembrane transport,GO:0003333;GO:0016560;GO:0098656;GO:1901017;GO:1901380;GO:1903825;GO:1905039
GO:0061024,0,0,membrane organization,
GO:0065003,1,0.854700854700855,protein-containing complex assembly,GO:0006336
GO:0071554,0,0,cell wall organization or biogenesis,
GO:0071941,0,0,nitrogen cycle metabolic process,
GO:0140014,0,0,mitotic nuclear division,
