GOslim,Count,Percent,Term,go_terms
GO:0000228,0,0,nuclear chromosome,
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,11,28.2051282051282,cellular_component,GO:0005774;GO:0008305;GO:0016235;GO:0042579;GO:0098636;GO:0140007;GO:1902554;GO:1904813
GO:0005576,0,0,extracellular region,
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,7,17.9487179487179,intracellular anatomical structure,GO:0005774;GO:0016235;GO:0042579;GO:1904813
GO:0005634,0,0,nucleus,
GO:0005635,0,0,nuclear envelope,
GO:0005654,0,0,nucleoplasm,
GO:0005694,0,0,chromosome,
GO:0005730,0,0,nucleolus,
GO:0005737,6,15.3846153846154,cytoplasm,GO:0005774;GO:0042579;GO:1904813
GO:0005739,0,0,mitochondrion,
GO:0005764,0,0,lysosome,
GO:0005768,0,0,endosome,
GO:0005773,3,7.69230769230769,vacuole,GO:0005774
GO:0005777,0,0,peroxisome,
GO:0005783,0,0,endoplasmic reticulum,
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,0,0,cytoskeleton,
GO:0005886,1,2.56410256410256,plasma membrane,GO:0008305
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,0,0,extracellular matrix,
GO:0031410,1,2.56410256410256,cytoplasmic vesicle,GO:1904813
GO:0032991,4,10.2564102564103,protein-containing complex,GO:0008305;GO:0098636;GO:0140007;GO:1902554
GO:0043226,6,15.3846153846154,organelle,GO:0005774;GO:0042579;GO:1904813
