GOslim,Count,Percent,Term,go_terms
GO:0003674,26,55.3191489361702,molecular_function,GO:0000268;GO:0003993;GO:0004712;GO:0004864;GO:0005048;GO:0005052;GO:0005342;GO:0005542;GO:0008509;GO:0008514;GO:0015171;GO:0015173;GO:0015175;GO:0019212;GO:0030295;GO:0030346;GO:0033218;GO:0043539;GO:0046943
GO:0003677,0,0,DNA binding,
GO:0003700,0,0,DNA-binding transcription factor activity,
GO:0003723,0,0,RNA binding,
GO:0003729,0,0,mRNA binding,
GO:0003735,0,0,structural constituent of ribosome,
GO:0003924,0,0,GTPase activity,
GO:0004386,0,0,helicase activity,
GO:0004518,0,0,nuclease activity,
GO:0005198,0,0,structural molecule activity,
GO:0008092,0,0,cytoskeletal protein binding,
GO:0008134,0,0,transcription factor binding,
GO:0008135,0,0,translation factor activity, RNA binding,
GO:0008168,0,0,methyltransferase activity,
GO:0008233,0,0,peptidase activity,
GO:0008289,0,0,lipid binding,
GO:0016301,1,2.12765957446809,kinase activity,GO:0004712
GO:0016491,0,0,oxidoreductase activity,
GO:0016746,0,0,transferase activity, transferring acyl groups,
GO:0016757,0,0,transferase activity, transferring glycosyl groups,
GO:0016765,0,0,transferase activity, transferring alkyl or aryl (other than methyl) groups,
GO:0016779,0,0,nucleotidyltransferase activity,
GO:0016791,1,2.12765957446809,phosphatase activity,GO:0003993
GO:0016798,0,0,hydrolase activity, acting on glycosyl bonds,
GO:0016810,0,0,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,
GO:0016829,0,0,lyase activity,
GO:0016853,0,0,isomerase activity,
GO:0016874,0,0,ligase activity,
GO:0019843,0,0,rRNA binding,
GO:0019899,1,2.12765957446809,enzyme binding,GO:0030346
GO:0022857,13,27.6595744680851,transmembrane transporter activity,GO:0005342;GO:0008509;GO:0008514;GO:0015171;GO:0015173;GO:0015175;GO:0046943
GO:0030234,4,8.51063829787234,enzyme regulator activity,GO:0004864;GO:0019212;GO:0030295;GO:0043539
GO:0030533,0,0,triplet codon-amino acid adaptor activity,
GO:0030555,0,0,RNA modification guide activity,
GO:0030674,0,0,protein-macromolecule adaptor activity,
GO:0032182,0,0,ubiquitin-like protein binding,
GO:0042393,0,0,histone binding,
GO:0043167,1,2.12765957446809,ion binding,GO:0005542
GO:0051082,0,0,unfolded protein binding,
