GOslim,Count,Percent,Term,go_terms
GO:0000228,2,2.5974025974026,nuclear chromosome,GO:0000811;GO:0031298
GO:0000229,0,0,cytoplasmic chromosome,
GO:0005575,16,20.7792207792208,cellular_component,GO:0000421;GO:0000775;GO:0000811;GO:0005791;GO:0008250;GO:0008278;GO:0031261;GO:0031298;GO:0031528;GO:0035354;GO:0035355;GO:0071914
GO:0005576,1,1.2987012987013,extracellular region,GO:0071914
GO:0005615,0,0,extracellular space,
GO:0005618,0,0,cell wall,
GO:0005622,12,15.5844155844156,intracellular anatomical structure,GO:0000421;GO:0000775;GO:0000811;GO:0005791;GO:0008250;GO:0008278;GO:0031261;GO:0031298
GO:0005634,3,3.8961038961039,nucleus,GO:0000811;GO:0031261;GO:0031298
GO:0005635,0,0,nuclear envelope,
GO:0005654,2,2.5974025974026,nucleoplasm,GO:0000811;GO:0031261
GO:0005694,5,6.49350649350649,chromosome,GO:0000775;GO:0000811;GO:0008278;GO:0031298
GO:0005730,0,0,nucleolus,
GO:0005737,6,7.79220779220779,cytoplasm,GO:0000421;GO:0005791;GO:0008250
GO:0005739,0,0,mitochondrion,
GO:0005764,0,0,lysosome,
GO:0005768,0,0,endosome,
GO:0005773,2,2.5974025974026,vacuole,GO:0000421
GO:0005777,0,0,peroxisome,
GO:0005783,4,5.19480519480519,endoplasmic reticulum,GO:0005791;GO:0008250
GO:0005794,0,0,Golgi apparatus,
GO:0005811,0,0,lipid droplet,
GO:0005815,0,0,microtubule organizing center,
GO:0005829,0,0,cytosol,
GO:0005840,0,0,ribosome,
GO:0005856,0,0,cytoskeleton,
GO:0005886,3,3.8961038961039,plasma membrane,GO:0031528;GO:0035354;GO:0035355
GO:0005929,0,0,cilium,
GO:0009536,0,0,plastid,
GO:0009579,0,0,thylakoid,
GO:0030312,0,0,external encapsulating structure,
GO:0031012,0,0,extracellular matrix,
GO:0031410,0,0,cytoplasmic vesicle,
GO:0032991,8,10.3896103896104,protein-containing complex,GO:0000811;GO:0008250;GO:0008278;GO:0031261;GO:0031298;GO:0035354;GO:0035355
GO:0043226,13,16.8831168831169,organelle,GO:0000421;GO:0000775;GO:0000811;GO:0005791;GO:0008250;GO:0008278;GO:0031261;GO:0031298;GO:0071914
