GOslim,Count,Percent,Term,go_terms
GO:0003674,27,60,molecular_function,GO:0000979;GO:0001046;GO:0004657;GO:0004769;GO:0004839;GO:0005068;GO:0008641;GO:0016262;GO:0016863;GO:0016899;GO:0016995;GO:0019780;GO:0031730;GO:0035035;GO:0035259;GO:0035325;GO:0035663;GO:0042379;GO:0042497;GO:0042498;GO:0043021;GO:0043022;GO:0048020;GO:0070891;GO:0071723
GO:0003677,2,4.44444444444444,DNA binding,GO:0000979;GO:0001046
GO:0003700,0,0,DNA-binding transcription factor activity,
GO:0003723,0,0,RNA binding,
GO:0003729,0,0,mRNA binding,
GO:0003735,0,0,structural constituent of ribosome,
GO:0003924,0,0,GTPase activity,
GO:0004386,0,0,helicase activity,
GO:0004518,0,0,nuclease activity,
GO:0005198,0,0,structural molecule activity,
GO:0008092,0,0,cytoskeletal protein binding,
GO:0008134,1,2.22222222222222,transcription factor binding,GO:0035259
GO:0008135,0,0,translation factor activity, RNA binding,
GO:0008168,0,0,methyltransferase activity,
GO:0008233,0,0,peptidase activity,
GO:0008289,3,6.66666666666667,lipid binding,GO:0042497;GO:0042498;GO:0071723
GO:0016301,0,0,kinase activity,
GO:0016491,3,6.66666666666667,oxidoreductase activity,GO:0004657;GO:0016899;GO:0016995
GO:0016746,0,0,transferase activity, transferring acyl groups,
GO:0016757,1,2.22222222222222,transferase activity, transferring glycosyl groups,GO:0016262
GO:0016765,0,0,transferase activity, transferring alkyl or aryl (other than methyl) groups,
GO:0016779,0,0,nucleotidyltransferase activity,
GO:0016791,0,0,phosphatase activity,
GO:0016798,0,0,hydrolase activity, acting on glycosyl bonds,
GO:0016810,0,0,hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,
GO:0016829,0,0,lyase activity,
GO:0016853,2,4.44444444444444,isomerase activity,GO:0004769;GO:0016863
GO:0016874,3,6.66666666666667,ligase activity,GO:0004839;GO:0008641;GO:0019780
GO:0019843,0,0,rRNA binding,
GO:0019899,2,4.44444444444444,enzyme binding,GO:0005068;GO:0035035
GO:0022857,0,0,transmembrane transporter activity,
GO:0030234,0,0,enzyme regulator activity,
GO:0030533,0,0,triplet codon-amino acid adaptor activity,
GO:0030555,0,0,RNA modification guide activity,
GO:0030674,1,2.22222222222222,protein-macromolecule adaptor activity,GO:0005068
GO:0032182,0,0,ubiquitin-like protein binding,
GO:0042393,0,0,histone binding,
GO:0043167,0,0,ion binding,
GO:0051082,0,0,unfolded protein binding,
