GOslim,Count,Percent,Term,go_terms
GO:0000003,7,11.4754098360656,reproduction,GO:0007340;GO:0007565;GO:0007619;GO:0008049;GO:0048240;GO:0060179;GO:0060278
GO:0000278,0,0,mitotic cell cycle,
GO:0000902,0,0,cell morphogenesis,
GO:0002376,0,0,immune system process,
GO:0003013,0,0,circulatory system process,
GO:0005975,0,0,carbohydrate metabolic process,
GO:0006091,0,0,generation of precursor metabolites and energy,
GO:0006259,0,0,DNA metabolic process,
GO:0006397,0,0,mRNA processing,
GO:0006399,0,0,tRNA metabolic process,
GO:0006412,0,0,translation,
GO:0006457,0,0,protein folding,
GO:0006464,3,4.91803278688525,cellular protein modification process,GO:0070213;GO:0140289;GO:1990443
GO:0006520,0,0,cellular amino acid metabolic process,
GO:0006605,0,0,protein targeting,
GO:0006629,5,8.19672131147541,lipid metabolic process,GO:0046461;GO:0046464;GO:0051791;GO:0051792;GO:0051793
GO:0006790,0,0,sulfur compound metabolic process,
GO:0006810,0,0,transport,
GO:0006913,0,0,nucleocytoplasmic transport,
GO:0006914,0,0,autophagy,
GO:0006950,0,0,response to stress,
GO:0007005,0,0,mitochondrion organization,
GO:0007009,0,0,plasma membrane organization,
GO:0007010,0,0,cytoskeleton organization,
GO:0007034,0,0,vacuolar transport,
GO:0007049,0,0,cell cycle,
GO:0007059,0,0,chromosome segregation,
GO:0007155,0,0,cell adhesion,
GO:0007165,1,1.63934426229508,signal transduction,GO:0043401
GO:0007267,0,0,cell-cell signaling,
GO:0007568,0,0,aging,
GO:0008150,25,40.9836065573771,biological_process,GO:0007340;GO:0007565;GO:0007586;GO:0007619;GO:0008049;GO:0010883;GO:0010888;GO:0032570;GO:0043401;GO:0046461;GO:0046464;GO:0048240;GO:0048545;GO:0051791;GO:0051792;GO:0051793;GO:0051963;GO:0060179;GO:0060278;GO:0070213;GO:0090050;GO:0140289;GO:1990443
GO:0008219,0,0,cell death,
GO:0008283,0,0,cell population proliferation,
GO:0009056,3,4.91803278688525,catabolic process,GO:0046461;GO:0046464;GO:0051793
GO:0009058,1,1.63934426229508,biosynthetic process,GO:0051792
GO:0009790,0,0,embryo development,
GO:0015031,0,0,protein transport,
GO:0015979,0,0,photosynthesis,
GO:0016192,0,0,vesicle-mediated transport,
GO:0019748,0,0,secondary metabolic process,
GO:0021700,1,1.63934426229508,developmental maturation,GO:0048240
GO:0022607,2,3.27868852459016,cellular component assembly,GO:0051963
GO:0022618,0,0,ribonucleoprotein complex assembly,
GO:0030154,1,1.63934426229508,cell differentiation,GO:0048240
GO:0030198,0,0,extracellular matrix organization,
GO:0030705,0,0,cytoskeleton-dependent intracellular transport,
GO:0032196,0,0,transposition,
GO:0034330,2,3.27868852459016,cell junction organization,GO:0051963
GO:0034641,0,0,cellular nitrogen compound metabolic process,
GO:0034655,0,0,nucleobase-containing compound catabolic process,
GO:0040007,0,0,growth,
GO:0040011,1,1.63934426229508,locomotion,GO:0090050
GO:0042254,0,0,ribosome biogenesis,
GO:0042592,0,0,homeostatic process,
GO:0043473,0,0,pigmentation,
GO:0044281,3,4.91803278688525,small molecule metabolic process,GO:0051791;GO:0051792;GO:0051793
GO:0044403,0,0,biological process involved in symbiotic interaction,
GO:0048646,1,1.63934426229508,anatomical structure formation involved in morphogenesis,GO:0090050
GO:0048856,4,6.55737704918033,anatomical structure development,GO:0048240;GO:0051963;GO:0090050
GO:0048870,1,1.63934426229508,cell motility,GO:0090050
GO:0050877,0,0,nervous system process,
GO:0051276,0,0,chromosome organization,
GO:0051301,0,0,cell division,
GO:0051604,0,0,protein maturation,
GO:0055085,0,0,transmembrane transport,
GO:0061024,0,0,membrane organization,
GO:0065003,0,0,protein-containing complex assembly,
GO:0071554,0,0,cell wall organization or biogenesis,
GO:0071941,0,0,nitrogen cycle metabolic process,
GO:0140014,0,0,mitotic nuclear division,
