b_44_01	b_44_02	b_44_03	b_k4_01	b_k4_02	b_k4_03	bleached_44_01	bleached_44_02	bleached_44_03	bleached_k4_01	bleached_k4_02	bleached_k4_03	nb_44_04	nb_44_05	nb_44_06	nb_k4_04	nb_k4_05	nb_k4_06	non-bleached_44_01	non-bleached_44_02	non-bleached_44_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_k4_03
b_44_01	1	0.0779937597120869	0.631114887596382	-0.10194433422374	0.998871693094517	0.890338350739398	1	0.0781565520056715	0.631114887596382	-0.0984967564310356	0.998760504114641	0.891423486090686	-0.413475720198239	-0.148723230469966	0.482753255315536	0.617011871542546	-0.0895271629674036	-0.715484233202175	-0.413420864941869	-0.148608750269973	0.482729304810114	0.61478357623395	-0.0896089586417044	-0.715485395747711
b_44_02	0.0779937597120869	1	0.694182342625111	-0.972266027387997	0.0715832282127363	0.00882556911162161	0.0779937597120869	0.999999986666771	0.694182342625111	-0.972374987479632	0.0712705321429091	0.00919354263549194	0.69088135077496	-0.479198253823381	-0.741460064896052	0.0205185426977267	0.979553815510761	-0.555701207256841	0.690914663359298	-0.479120588361285	-0.741461061285155	0.0208197707192741	0.979543959631311	-0.555636660237236
b_44_03	0.631114887596382	0.694182342625111	1	-0.656979531962756	0.646443457206028	0.715690560848399	0.631114887596382	0.694276146524997	1	-0.654529794456811	0.647144612403295	0.715656555048548	-0.0241603840045961	-0.0589589576704926	-0.0371991744904374	0.133628682532446	0.579376877588096	-0.866521744686415	-0.0241038991152664	-0.0587962021916223	-0.0372167336802487	0.131282766750667	0.579298971925401	-0.866551695436876
b_k4_01	-0.10194433422374	-0.972266027387997	-0.656979531962756	1	-0.0920541141137738	0.00295165176075669	-0.10194433422374	-0.972270416120502	-0.656979531962756	0.999993109983698	-0.0915727308003998	0.0024029598807901	-0.72097671141889	0.609907752444509	0.714448455012073	-0.201063317362541	-0.973474863119071	0.637569410210497	-0.721023192918604	0.609816393116467	0.714416680668481	-0.201428350370462	-0.973458849510607	0.637492188782478
b_k4_02	0.998871693094517	0.0715832282127363	0.646443457206028	-0.0920541141137738	1	0.910956143167176	0.998871693094517	0.0717458419041093	0.646443457206028	-0.0885509374629435	0.999997386367889	0.911938982652569	-0.443171549111698	-0.108375519290242	0.505166249848927	0.590333952779955	-0.0961736227596026	-0.721458065957968	-0.443116607853237	-0.1082565578169	0.505141989901655	0.5879679268374	-0.0962579462645465	-0.721467463761561
b_k4_03	0.890338350739398	0.00882556911162161	0.715690560848399	0.00295165176075669	0.910956143167176	1	0.890338350739398	0.00897055801232493	0.715690560848399	0.00659149242382115	0.911896876463351	0.99999714651673	-0.657305361501645	0.252798166675978	0.649913327181556	0.300257601564493	-0.144398742710357	-0.702034885703343	-0.657255103860258	0.252944293947137	0.649888777372537	0.296929111711251	-0.144496688121655	-0.702114886274758
bleached_44_01	1	0.0779937597120869	0.631114887596382	-0.10194433422374	0.998871693094517	0.890338350739398	1	0.0781565520056715	0.631114887596382	-0.0984967564310356	0.998760504114641	0.891423486090686	-0.413475720198239	-0.148723230469966	0.482753255315536	0.617011871542546	-0.0895271629674036	-0.715484233202175	-0.413420864941869	-0.148608750269973	0.482729304810114	0.61478357623395	-0.0896089586417044	-0.715485395747711
bleached_44_02	0.0781565520056715	0.999999986666771	0.694276146524997	-0.972270416120502	0.0717458419041093	0.00897055801232493	0.0781565520056715	1	0.694276146524997	-0.972378812093895	0.0714331279777267	0.00933870796032528	0.690805667230184	-0.4792177579258	-0.741372128973019	0.0206202352649416	0.979526641587119	-0.555810949182272	0.69083898836187	-0.479140074878878	-0.741373129260905	0.0209210991567619	0.979516772526803	-0.555746402910811
bleached_44_03	0.631114887596382	0.694182342625111	1	-0.656979531962756	0.646443457206028	0.715690560848399	0.631114887596382	0.694276146524997	1	-0.654529794456811	0.647144612403295	0.715656555048548	-0.0241603840045961	-0.0589589576704926	-0.0371991744904374	0.133628682532446	0.579376877588096	-0.866521744686415	-0.0241038991152664	-0.0587962021916223	-0.0372167336802487	0.131282766750667	0.579298971925401	-0.866551695436876
bleached_k4_01	-0.0984967564310356	-0.972374987479632	-0.654529794456811	0.999993109983698	-0.0885509374629435	0.00659149242382115	-0.0984967564310356	-0.972378812093895	-0.654529794456811	1	-0.0880670769156953	0.00604387568460735	-0.723288783072268	0.610338803147662	0.716925555202647	-0.19930554532367	-0.974111205460857	0.634804501622776	-0.723335045918851	0.610247993821584	0.716893768613662	-0.199682204778327	-0.974095561474355	0.634727054205482
