bleached_k4_01	bleached_44_01	bleached_k4_02	bleached_44_02	bleached_44_03	bleached_k4_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_44_01	non-bleached_k4_03	non-bleached_44_02	non-bleached_44_03
bleached_k4_01	1	-0.101913254229832	-0.0920406041350126	-0.971983477578925	-0.657472942698208	0.00287196799164061	-0.201461596381901	-0.973435452892258	-0.72067564162279	0.637742004591345	0.609913037399079	0.713930605808981
bleached_44_01	-0.101913254229832	1	0.998867108596269	0.0780446070680161	0.629808390194974	0.889831516743091	0.617869523172128	-0.0891490307144869	-0.412227645646021	-0.715240763785697	-0.15033347071421	0.481809733874731
bleached_k4_02	-0.0920406041350126	0.998867108596269	1	0.0715909850640973	0.645209777871847	0.91053675914852	0.591191005522648	-0.0958232214822625	-0.442030777683831	-0.721310367404251	-0.109918458887731	0.504317451784508
bleached_44_02	-0.971983477578925	0.0780446070680161	0.0715909850640973	1	0.694467134522358	0.00841328842419544	0.0207854767018398	0.979605601951187	0.691247134533706	-0.555160985238234	-0.479790984379935	-0.741800373193455
bleached_44_03	-0.657472942698208	0.629808390194974	0.645209777871847	0.694467134522358	1	0.714942228014241	0.133185725467122	0.580236436850624	-0.0233636582094557	-0.866431107177621	-0.0594329257594289	-0.0381346336886929
bleached_k4_03	0.00287196799164061	0.889831516743091	0.91053675914852	0.00841328842419544	0.714942228014241	1	0.300702576284405	-0.144292013952474	-0.657060708862366	-0.7024121594839	0.252117918514835	0.649780266540553
non-bleached_k4_01	-0.201461596381901	0.617869523172128	0.591191005522648	0.0207854767018398	0.133185725467122	0.300702576284405	1	-0.0142405046299066	0.0765126730801973	-0.55345896686225	-0.721126914026972	0.162328639638416
non-bleached_k4_02	-0.973435452892258	-0.0891490307144869	-0.0958232214822625	0.979605601951187	0.580236436850624	-0.144292013952474	-0.0142405046299066	1	0.770138687178593	-0.479156036748228	-0.499944107029571	-0.809066646374513
non-bleached_44_01	-0.72067564162279	-0.412227645646021	-0.442030777683831	0.691247134533706	-0.0233636582094557	-0.657060708862366	0.0765126730801973	0.770138687178593	1	0.00850612157433378	-0.740667435938478	-0.965239473458805
non-bleached_k4_03	0.637742004591345	-0.715240763785697	-0.721310367404251	-0.555160985238234	-0.866431107177621	-0.7024121594839	-0.55345896686225	-0.479156036748228	0.00850612157433378	1	0.333688101060106	-0.0786105855976139
non-bleached_44_02	0.609913037399079	-0.15033347071421	-0.109918458887731	-0.479790984379935	-0.0594329257594289	0.252117918514835	-0.721126914026972	-0.499944107029571	-0.740667435938478	0.333688101060106	1	0.56073734375121
non-bleached_44_03	0.713930605808981	0.481809733874731	0.504317451784508	-0.741800373193455	-0.0381346336886929	0.649780266540553	0.162328639638416	-0.809066646374513	-0.965239473458805	-0.0786105855976139	0.56073734375121	1
