UniqueCount	AmbigCount
14	0
4	0
88	0
13	0
7	0
0	0
42	0
14	0
142	0
18	0
8	0
24	0
7	0
0	0
1271	26
3	26
17	0
13	0
17	0
17	0
7	0
38	0
10	0
21	0
0	101
75	0
18	0
0	0
25	0
88	0
29	0
18	0
2	0
18	0
8	0
0	0
57	0
9	0
0	0
10	0
14	0
36	0
16	0
0	6
1	6
17	0
51	0
26	0
4	0
0	22
2	22
11	0
45	0
11	0
7	0
9	0
27	0
17	0
12	0
35	0
14	0
15	0
5	0
15	0
41	0
4	0
57	0
21	0
184	0
6	0
2	9
0	9
20	0
16	0
17	0
32	0
0	30
1	30
23	0
8	0
16	0
6	0
22	0
31	0
0	5
0	5
20	0
14	0
3	0
0	8
0	8
9	0
21	0
16	0
11	0
29	0
22	0
34	0
37	0
13	0
38	0
19	0
0	0
13	0
8	0
25	0
0	123
4	50
11	0
54	0
5	0
15	0
19	0
0	128
0	102
19	0
30	0
16	0
19	0
37	0
0	84
13	84
42	0
87	0
118	0
11	0
15	0
19	0
41	0
24	0
29	0
60	0
13	0
13	0
102	0
57	0
17	0
13	0
19	0
19	0
29	0
23	0
11	0
24	0
29	0
152	0
164	0
15	0
16	0
19	0
58	0
11	0
17	0
13	0
17	0
21	0
22	0
47	0
25	0
9	0
19	0
9	0
0	0
0	0
12	0
0	0
18	0
45	0
17	0
25	0
27	0
14	0
104	0
40	0
106	0
0	0
1149	2
20	0
33	0
43	0
17	0
8	0
0	20
4	20
2	11
3	11
33	0
1	28
1	28
10	0
18	0
25	0
0	0
19	0
25	0
6	0
21	0
4	32
2	32
5	267
18	267
11	0
35	0
17	0
25	0
42	0
0	7
66	0
10	0
27	0
17	0
48	0
17	0
36	0
22	0
24	0
13	0
23	0
6	0
27	0
29	0
33	0
46	0
20	0
2	0
14	0
222	0
12	0
26	0
4	5
0	5
40	0
23	0
2	0
35	0
8	0
53	0
32	0
11	0
14	0
5	1695
34	0
31	0
6	0
17	0
17	0
8	0
0	33
4	33
2	19
9	19
4	0
0	5
1	5
21	0
33	0
13	0
79	0
28	0
45	0
46	0
19	0
38	0
6459	0
1	4
8	4
27	0
14	0
2	70
0	70
1	40
0	40
30	0
23	0
46	0
58	0
0	23
7	23
10	0
15	0
16	0
0	0
44	0
25	0
27	0
0	32
0	31
0	11
20	0
15	0
5	26
25	26
67	0
2	5
293	325
0	39
2	39
9	10
4	0
5	29
1	29
20	0
20	0
6	0
6	0
43	0
4	18
0	21
55	9
34	0
41	0
29	0
0	0
0	13
8	10
0	10
0	13
24	0
15	0
34	0
72	0
31	0
13	0
4	0
41	0
3	0
51	0
47	0
19	0
43	0
26	0
21	0
8	0
37	0
0	251
23	232
2	252
18	2
4	141
25	0
11	0
2	0
40	0
22	0
16	0
26	0
24	0
36	0
37	0
51	0
28	0
0	0
0	0
10	0
71	0
21	0
5	8
17	8
5	37
0	37
15	0
48	0
3	0
0	0
44	0
0	18
1	18
5	15
3	15
38	0
18	0
18	0
32	0
33	0
4	92
3	23
0	23
38	0
41	0
0	0
43	0
32	0
19	0
4	1
0	1
25	0
332	401
21	0
2	52
0	52
52	0
5	0
55	0
10	0
48	0
69	0
102	179
0	0
0	2
0	2
38	0
9	0
0	48
0	48
207	0
73	0
286	0
24	0
23	0
0	59
0	59
0	121
141	121
0	35
8	35
43	0
22	0
48	0
19	0
12	0
0	86
11	86
18	86
10	86
15	0
48	0
81	0
2	37
0	37
38	0
18	0
9	26
0	26
35	0
32	0
0	9
10	9
29	0
6	0
67	0
45	0
23	0
0	1
6	1
37	0
41	0
41	7
0	30
0	27
23	0
19	0
34	0
139	0
24	0
0	0
12	0
4	81
0	81
57	0
0	43
5	43
675	0
9	0
19	13
10	13
40	0
327	0
3	5
3	5
0	0
0	0
0	0
0	0
24	0
0	0
0	0
0	0
0	0
222	0
102	0
156	0
51	0
0	57
4	57
35	442
31	0
2	7
0	7
4	69
0	0
14	0
28	0
16	0
11	28
8	28
76	0
23	92
7	92
39	0
0	0
0	0
60	0
0	19
5	19
5	5
3	5
10	65
0	65
402	0
141	0
0	0
21	0
0	40
0	43
0	40
0	43
141	0
53	0
14	0
70	0
204	0
11	0
7	0
339	0
32	0
1	0
262	0
0	632
857	632
0	0
0	0
0	18
0	13
0	19
73	0
4	37
0	37
356	0
18	299
3	299
51	54
60	0
