UniqueCount	AmbigCount
0	0
7	0
67	0
8	0
1	0
12	0
20	0
3	0
481	0
11	0
0	0
1	0
10	0
4	0
954	1
1	1
1	0
4	0
16	0
19	0
4	0
13	0
5	0
5	0
0	63
84	0
0	0
18	0
21	0
41	0
10	0
25	0
5	0
4	0
0	0
12	0
5	0
4	0
0	0
0	0
8	0
9	0
4	0
0	6
0	6
17	0
13	0
19	0
12	0
0	9
1	9
10	0
51	0
5	0
3	0
15	0
40	0
11	0
7	0
17	0
13	0
0	0
3	0
1	0
35	0
4	0
25	0
6	0
147	0
4	0
0	1
0	1
26	0
3	0
15	0
13	0
3	13
0	13
8	0
0	0
7	0
7	0
2	0
8	0
1	0
0	0
37	0
6	0
8	0
2	4
0	4
7	0
15	0
0	0
8	0
13	0
7	0
26	0
16	0
14	0
9	0
33	0
0	0
15	0
0	0
4	0
0	125
5	61
6	0
32	0
3	0
12	0
26	0
0	127
0	99
5	0
18	0
5	0
8	0
37	0
0	212
13	212
73	0
23	0
177	0
12	0
12	0
15	0
29	0
15	0
12	0
59	0
7	0
18	0
301	0
82	0
8	0
12	0
5	0
19	0
4	0
28	0
11	0
2	0
9	0
467	0
212	0
3	0
4	0
6	0
18	0
9	0
10	0
0	0
14	0
4	0
5	0
10	0
10	0
8	0
13	0
0	0
5	297
55	297
6	0
0	0
24	0
35	0
14	0
4	0
15	0
12	0
50	0
11	0
45	0
0	0
308	2
7	0
16	0
21	0
7	0
4	0
0	6
0	6
0	0
3	0
17	0
2	13
0	13
1	0
4	0
9	0
0	0
8	0
10	0
3	0
11	0
0	10
0	10
12	345
9	345
2	0
32	0
17	0
12	0
19	0
9	253
26	0
13	0
2	0
0	0
25	0
21	0
6	0
9	0
3	0
5	0
21	0
9	0
39	0
10	0
8	0
15	0
19	0
0	0
3	0
679	0
17	0
25	0
0	0
0	0
31	0
3	0
0	0
21	0
9	0
17	0
5	0
1	0
29	0
9	1401
37	0
10	0
7	0
8	0
5	0
7	0
0	18
0	18
2	11
5	11
7	0
0	2
0	2
10	0
11	0
12	0
71	0
17	0
11	0
7	0
4	0
12	0
3128	0
0	2
0	2
1	0
8	0
0	27
0	27
4	21
0	21
20	0
7	0
36	0
22	0
0	5
2	5
17	0
24	0
19	0
0	0
9	0
6	0
1	0
0	11
0	11
0	7
29	0
24	0
3	54
30	54
59	0
5	9
58	316
0	18
0	18
11	10
1	0
0	18
0	18
28	0
18	0
8	0
7	0
10	0
0	24
0	24
63	4
10	0
13	0
32	0
0	0
0	17
2	13
0	13
0	17
10	0
1	0
13	0
30	0
15	0
9	0
5	0
8	0
0	0
37	0
22	0
13	0
11	0
19	0
5	0
0	0
11	0
0	713
56	662
9	713
60	12
16	454
24	0
5	0
22	0
16	0
4	0
2	0
27	0
17	0
8	0
6	0
27	0
9	0
0	0
5	0
17	0
25	0
3	0
1	17
29	17
0	13
0	13
5	0
29	0
11	1
0	1
22	0
0	10
0	10
0	5
1	5
15	0
7	0
30	0
19	0
32	0
2	91
0	6
0	6
50	0
21	0
153	0
11	0
13	0
8	0
0	1
0	1
14	0
1161	675
1	0
0	17
0	17
50	0
19	0
24	0
10	0
35	0
19	0
142	162
0	0
3	0
0	0
29	0
10	0
0	43
1	43
461	0
130	0
254	0
7	0
7	0
7	22
6	22
0	82
174	82
0	6
1	6
5	0
9	0
14	0
6	0
4	0
0	64
13	64
8	64
9	64
18	0
39	0
39	0
0	8
0	8
37	0
14	0
18	44
16	44
18	0
26	0
0	8
12	8
80	0
3	0
41	0
17	0
15	0
0	2
3	2
13	0
33	0
35	0
0	5
0	5
6	0
9	0
11	0
287	0
7	0
0	0
43	0
0	68
0	68
25	0
0	29
5	29
430	0
0	0
36	33
1	33
42	0
186	0
0	4
2	4
0	0
0	0
0	0
2	0
34	0
5	0
0	0
0	0
0	0
101	0
87	0
206	0
80	0
0	47
1	47
36	253
28	0
4	22
0	22
362	242
9	0
0	0
24	0
10	0
0	9
11	9
8	0
17	57
10	57
12	0
0	0
1	0
15	0
0	5
0	5
1	12
0	12
8	36
0	36
344	0
98	0
0	0
25	0
0	150
0	284
0	220
0	214
188	0
15	0
4	0
8	0
207	0
17	0
10	0
627	0
7	0
0	0
64	0
0	170
208	170
0	0
0	0
0	26
0	29
2	31
36	0
0	10
0	10
236	0
12	299
4	299
46	75
15	0
1	0
4	0
0	3
0	3
24	8
0	8
67	0
0	16163
1772	16163
10	45
0	45
178	0
80	0
68	0
5	0
4255	0
1565	0
22	0
0	10
0	10
36	0
0	9
0	9
2	1131
3	1847
0	37
19	27
0	42
16	676
1	538
377	676
36	0
5	24
9	24
0	145
0	145
148	146
12	146
273	0
118	0
0	1351
0	1361
0	1056
23	273
277	0
135	0
227	19
0	19
0	22
51	22
34	0
269	1
0	32
0	32
40	1128
0	0
0	13
0	14
0	14
0	14
12	0
8	6619
1006	6619
0	0
238	342
3	0
9	0
44	1100
820	1100
6	0
6	0
20	0
104	0
320	0
20	0
4	0
35	0
13	12
3	12
370	0
0	11
0	11
225	0
4	0
70	0
13	0
5	14
0	14
32	0
17	0
2	36
0	15
11	36
0	11
0	0
0	4
0	13
0	7
0	5
0	4
0	10
1	39
0	39
22	0
22	0
16	3
0	9
1	3
3	9
34	292
