UniqueCount	AmbigCount
0	0
1	0
1	0
1	0
1	0
0	0
2	0
5	0
4	0
3	0
3	0
4	0
18	0
10	0
6	0
2	0
3	0
2	3
0	3
6	0
4	0
3	0
2	0
16	0
1	0
5	0
3	0
4	0
0	0
0	0
12	0
7	0
0	0
4	0
9	0
4	0
16	0
1	0
8	0
7	0
13	0
2	0
4	137
9	137
2	0
2	1
2	1
0	0
3	0
32	0
12	0
6	0
2	0
5	0
4	0
7	0
3	0
4	0
5	0
7	0
0	3
0	3
2	0
4	0
4	0
0	0
0	0
17	0
6	0
2	0
4	0
45	0
5	0
5	0
2	0
1	0
7	1
1	1
19	0
7	0
2	0
7	0
4	0
1	1
0	1
10	84
11	84
0	0
0	0
3	0
4	0
14	0
4	0
0	19
0	23
0	21
0	21
52	284
59	284
2	0
1	0
0	0
1	0
20	0
0	310
0	293
0	324
0	307
0	313
0	291
0	310
0	293
0	330
0	308
0	140
11	140
1	140
1	36
1	36
8	0
2	0
0	0
0	0
0	0
0	3
0	3
12	0
0	0
0	0
243	5
35	5
0	7
26	72
53	40
38	86
57	42
81	40
0	11
1	14
0	87
0	3
0	11
200	0
4	0
2	0
5	0
3	0
0	0
0	0
0	2
4	2
5	0
52	0
24	0
1260	0
6	0
0	0
0	0
3	8
7	8
2	0
0	5
0	0
1775	5
0	36
0	66
0	15
0	87
976	0
3	7
0	8
0	1
1	3
0	398
2	201
0	307
11	0
8	0
89	537
8	537
0	439
6	25
1	25
5	314
214	314
3	113
169	113
4	4
0	4
0	17
49	13
0	17
0	0
252	2887
111	2887
252	20
11	20
1	0
129	0
10	0
0	209
83	210
0	38
211	113
0	113
62	40
10	40
4	7
0	7
84	0
33	9
0	9
19	3
35	3
9	0
1556	1283
519	1283
0	155
0	148
0	133
0	140
28	52
0	54
25	55
393	0
2	0
0	479
0	161
3	193
0	441
14	313
4	0
430	0
0	133
329	701
0	568
8	0
5	37
7	38
0	21
160	0
0	0
0	6
0	6
1	6
0	6
73	0
0	11
1	11
169	0
63	0
58	0
0	75
0	75
121	0
1689	0
0	365
128	367
0	212
77	401
0	366
267	174
0	174
91	0
40	1314
0	1315
3	1257
0	1277
94	1333
0	1259
447	0
5	487
362	851
0	509
93	829
18	0
38	0
188	0
83	1
179	1
9	0
3	166
189	166
12	7
2	100
6	5
0	119
0	122
7	13
0	117
0	124
19	14
2	7
0	7
0	150
0	186
27	66
0	66
0	186
0	150
0	290
0	282
0	259
0	61
0	267
0	80
3	0
0	2
0	2
38	1435
63	1466
8	1360
67	753
95	753
26	0
1	831
4	831
2	0
40	115
48	155
6	155
8	0
190	0
62	1179
13	370
44	1198
45	450
0	1005
2	946
0	176
0	565
4	0
0	568
12	568
0	62
0	21
35	62
22	112
41	112
0	20
0	12
0	20
59	357
242	873
0	695
0	754
423	962
718	596
0	606
0	665
0	316
0	434
0	388
0	362
2	0
0	105
10	101
0	105
8	160
88	227
1	69
34	1
1	1
0	0
394	0
167	0
341	0
9	0
157	0
5	0
0	2269
0	2269
2	1833
3678	0
11	0
199	0
0	0
0	0
3	55
22	55
0	38
0	63
0	68
0	43
2	150
1069	150
42	235
0	229
0	235
123	50
0	50
0	308
18	332
0	46
843	0
3	151
104	151
3	43
18	46
8	47
110	324
76	563
54	568
2004	0
172	0
0	117
0	130
10	130
20	41
5	41
0	46
2	46
334	0
120	26
0	26
30	0
28	0
526	0
556	0
7	168
0	168
0	16
0	16
0	16
0	13
510	0
0	0
544	0
0	0
0	2
0	2
0	0
54	227
0	227
0	96
131	320
0	320
0	182
0	530
82	530
79	0
418	0
0	1303
559	1303
0	423
0	424
0	428
0	420
0	427
666	0
18	4145
952	4145
2	0
5	0
0	0
2	0
0	0
7	0
0	0
1	0
6	0
0	0
2	0
0	0
5	0
3	0
2	0
2	0
0	0
6	0
12	0
3	0
17	0
0	0
4	0
2	0
13	0
1	0
1	0
5	0
6	0
6	0
2	0
7	0
1	0
7	0
2	0
14	0
2	0
0	0
8	0
2	0
0	0
5	0
3	0
1	0
13	0
6	0
3	0
4	0
0	0
1	0
3	0
0	0
8	0
4	0
0	0
4	0
