UniqueCount	AmbigCount
4	0
7	0
17	0
9	0
16	0
2	0
0	0
18	0
13	0
5	0
7	0
11	0
42	0
16	0
3	0
32	0
15	0
0	8
0	8
23	0
24	0
11	0
8	0
18	0
25	0
7	0
8	0
11	0
0	2
0	2
3	0
11	0
5	0
10	0
26	0
12	0
19	0
3	0
50	0
6	0
6	0
26	0
60	310
13	310
44	0
0	9
4	9
0	0
34	0
30	0
17	0
13	0
15	0
15	0
59	0
31	0
4	0
34	0
16	0
16	0
0	15
0	15
26	0
17	0
34	0
1	8
2	8
16	0
12	0
9	0
2	0
32	0
20	0
30	0
7	0
20	0
18	0
11	0
30	0
39	0
1	0
0	0
22	0
0	21
0	21
32	223
22	223
11	0
0	0
12	0
25	0
37	0
25	0
0	112
0	89
0	92
0	109
213	1118
184	1118
24	0
0	0
0	0
0	0
43	0
0	807
0	783
0	852
0	828
0	812
0	788
0	803
0	779
0	836
0	812
2	530
12	530
38	530
19	103
5	103
10	0
21	0
3	0
0	0
0	0
0	0
0	0
10	0
0	0
0	0
281	3
278	3
3	52
209	559
387	125
365	579
188	132
423	125
11	95
33	100
0	606
3	56
0	67
155	0
20	0
3	0
5	0
8	0
0	0
0	0
3	1
0	1
14	0
194	0
28	0
1100	0
4	0
0	0
0	0
0	5
0	5
9	0
0	21
0	1
2645	20
0	165
0	208
0	129
1	244
981	0
0	0
0	0
0	0
0	0
0	752
0	410
1	527
50	0
25	0
87	392
0	392
2	328
3	47
4	47
73	257
71	257
3	197
306	197
16	5
0	5
1	25
53	22
0	25
0	0
438	4902
174	4902
145	12
2	12
4	0
722	0
7	0
1	110
48	105
19	33
240	164
0	164
186	117
36	117
10	53
0	53
195	0
171	21
5	21
122	60
247	60
97	0
4094	1451
25	1451
0	495
0	489
0	456
0	462
92	57
0	53
10	57
708	0
4	0
0	592
0	187
8	280
2	533
27	365
36	0
1719	0
0	20
194	493
0	473
9	0
6	73
0	71
51	56
364	0
3	0
0	31
3	31
1	31
0	31
150	0
0	7
0	7
103	0
267	0
155	0
0	68
0	68
128	0
1523	0
12	569
68	569
0	273
70	436
0	402
165	239
78	239
236	0
26	1255
0	1255
1	1163
0	1191
97	1283
1	1163
910	0
1	486
507	942
0	525
0	903
20	0
163	0
232	0
200	1
313	1
37	0
4	225
228	225
36	36
34	622
17	33
0	773
0	763
38	36
0	755
0	781
90	36
0	35
2	35
0	236
0	319
44	129
0	129
0	310
0	245
0	608
0	571
0	538
3	141
0	575
0	209
7	0
0	1
0	1
199	3833
123	3881
34	3593
110	775
31	775
129	0
0	825
3	825
64	0
0	208
56	289
3	289
11	0
254	0
82	1212
0	347
0	1716
0	345
0	873
47	1929
0	630
0	561
5	1
11	804
24	804
0	93
54	48
42	92
103	210
56	210
0	60
0	27
3	60
294	207
4	282
0	730
0	828
0	281
610	729
0	731
0	829
0	962
0	904
0	832
0	1034
0	0
2	234
6	227
10	230
0	226
197	341
104	202
103	19
91	19
0	0
449	0
207	0
614	0
13	0
390	0
23	0
0	2569
0	2567
4	2025
3139	0
23	0
302	0
0	3
0	3
0	129
42	129
0	24
0	33
0	38
0	29
24	386
2477	386
27	323
4	343
5	352
95	35
0	35
0	398
24	486
1	117
1258	0
0	251
121	251
71	331
122	320
140	341
193	428
113	762
0	661
1677	0
129	0
8	471
0	482
45	482
28	69
7	69
3	120
0	120
783	0
153	64
1	64
126	0
90	0
666	0
991	0
3	282
19	282
0	1497
2	1517
9	1557
0	1477
1293	0
2	0
580	0
0	30
0	21
0	20
0	29
109	301
0	301
6	357
301	998
1	998
4	652
0	1162
209	1162
53	0
133	0
0	1724
582	1724
0	1519
0	1516
0	1494
0	1447
0	1497
1052	0
33	6964
1191	6964
14	0
9	0
0	0
0	0
0	0
7	0
5	0
12	0
5	0
2	0
22	0
1	0
5	0
6	0
10	0
7	0
14	0
7	0
68	0
7	0
26	0
7	0
9	0
12	0
39	0
21	0
2	0
1	0
23	0
17	0
10	0
12	0
12	0
129	0
18	0
71	0
14	0
2	0
41	0
0	0
1	0
9	0
14	0
17	0
32	0
8	0
3	0
25	0
5	0
3	0
5	0
12	0
16	0
17	0
3	0
19	0
