UniqueCount	AmbigCount
3	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
4	0
0	0
2	0
0	0
0	0
0	0
15	0
0	0
0	0
0	0
8	0
0	0
0	0
0	0
0	0
0	0
29	0
12	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
19	0
0	0
0	0
0	0
11	0
6	0
4	0
0	0
0	0
0	0
0	0
0	0
1	0
10	0
0	0
0	0
2	0
7	0
2	0
2	0
2	0
0	0
2	0
0	0
0	0
2	0
0	0
0	0
3	0
0	0
2	0
2	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
3	0
0	0
5	0
0	0
2	0
0	0
1	0
0	0
6	0
0	0
0	0
3	0
0	0
0	0
0	0
3	0
0	0
1	0
0	12
1	0
1	0
0	0
2	0
7	0
0	0
0	0
0	0
22	0
1	0
0	0
0	0
0	0
0	0
1	0
2	0
0	0
0	0
0	0
3	0
0	0
0	0
5	0
0	0
0	0
1	0
3	0
0	0
1	0
0	0
122	0
18	0
0	0
0	0
1	0
2	0
0	0
30	0
0	0
3	0
3	0
2	14
1	14
0	0
3	0
5	0
3	0
1	0
2	0
5	0
2	0
4	0
7	0
0	0
1	0
0	0
0	0
1	0
0	0
3	0
3	0
0	0
0	0
7	0
1	0
5	0
4	0
3	0
0	0
8	0
8	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
39	0
1	0
0	0
0	0
0	0
0	0
16	0
0	0
0	0
5	0
0	0
28	0
0	0
1	0
2	0
5	0
7	0
2	0
8	0
3	0
1	0
0	0
0	0
2	0
3	0
1	0
5	0
0	0
0	0
0	0
6	0
0	0
3	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
0	0
5	0
1	0
1	0
0	0
0	0
0	0
2	0
2	0
0	0
2	0
0	0
0	0
6	0
0	0
0	0
4	0
0	0
0	0
23	0
48	0
20	0
7	0
0	0
2	0
3	0
1	0
0	0
0	0
0	0
0	0
8	0
7	0
38	0
9	0
8	0
0	0
2	0
0	0
55	0
245	0
0	0
0	0
0	0
0	0
26	0
1	0
0	0
36	0
0	0
0	0
5	0
0	0
0	0
0	7
4	7
0	0
7	0
70	0
8	0
4	0
16	0
2	3
0	0
3	0
2	0
0	0
2	0
2	0
2	0
1	0
13	0
38	0
1	0
6	0
28	0
8	0
23	0
3	0
3	0
8	0
1	0
1	0
0	0
5	0
0	0
0	0
0	0
4	0
5	0
38	0
0	0
6	0
0	0
0	0
1	0
0	0
29	0
0	0
0	0
8	0
0	4
0	4
0	0
0	0
11	0
0	0
0	0
0	0
0	0
0	0
47	0
0	0
2	0
11	0
0	0
1	0
0	0
1	0
5	0
0	0
0	0
0	0
10	0
1	0
0	0
5	0
0	0
4	0
0	0
0	0
3	0
25	0
0	0
0	0
9	0
0	0
0	0
13	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
5	0
1	0
0	0
1	0
0	0
1	0
0	0
0	0
1	0
0	0
1	0
1	0
0	0
4	0
0	0
0	0
3	0
1	0
0	0
0	0
0	0
0	0
1	0
2	0
0	0
17	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
15	0
1	0
0	0
0	0
0	0
8	0
0	0
7	0
3	0
11	0
0	0
2	0
2	0
0	0
0	0
53	0
0	0
0	0
0	0
10	0
1	0
0	0
3	0
0	0
0	0
2	0
10	0
0	0
0	0
110	0
2	0
29	0
0	0
1	0
0	0
0	0
1	0
5	0
0	0
0	0
0	0
7	0
17	0
0	0
3	0
2	0
8	0
0	0
0	0
1	0
2	0
12	0
0	0
8	0
0	0
3	0
1	0
0	0
0	0
0	0
1	0
3	0
31	0
0	0
1	0
0	0
0	0
6	0
0	0
0	0
7	0
0	0
0	0
1	0
1	0
4	0
1	0
0	0
9	0
0	0
0	0
3	0
1	0
1	0
1	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
1	0
2	0
0	0
0	0
0	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
11	0
0	0
0	0
6	0
2	0
3	0
1	0
4	0
24	0
0	0
0	0
16	0
0	0
0	0
6	0
0	0
15	0
13	0
0	0
0	0
0	0
0	0
3	0
47	0
2	0
8	0
16	0
0	0
1	0
0	0
0	0
16	0
1	0
0	0
0	0
1	0
7	0
5	0
0	0
0	0
0	0
3	0
4	0
8	0
3	0
3	0
3	0
0	0
56	0
0	0
3	0
0	0
1	0
3	0
9	0
24	0
28	0
85	0
3	0
0	0
0	0
2	0
0	0
1	0
2	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
10	0
0	1
0	0
8	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
3	0
11	0
6	0
0	0
1	0
0	0
0	0
1	0
1	0
2	0
26	0
0	0
0	0
6	0
4	0
10	0
4	0
0	0
0	0
2	0
1	0
4	0
2	0
0	0
1	0
1	0
1	0
0	0
0	0
18	0
0	0
2	0
1	0
5	0
7	0
0	0
0	0
0	0
2	0
0	0
16	0
0	0
0	0
45	0
2	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
7	0
17	0
2	0
5	0
0	0
1	0
3	0
0	0
0	0
3	0
19	0
0	0
0	0
0	0
0	0
0	0
71	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
2	0
5	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
1	0
0	0
13	0
13	0
0	0
0	0
0	0
0	0
64	0
0	0
0	0
0	0
1	0
0	0
1	0
1	0
0	0
0	0
0	0
1	0
0	0
3	0
0	0
0	0
0	0
1	0
