,Count,Percent,Term
GO:0000003,9,3.08219178082192,reproduction
GO:0000278,1,0.342465753424658,mitotic cell cycle
GO:0000902,1,0.342465753424658,cell morphogenesis
GO:0002376,15,5.13698630136986,immune system process
GO:0003013,0,0,circulatory system process
GO:0005975,0,0,carbohydrate metabolic process
GO:0006091,0,0,generation of precursor metabolites...
GO:0006259,3,1.02739726027397,DNA metabolic process
GO:0006397,0,0,mRNA processing
GO:0006399,3,1.02739726027397,tRNA metabolic process
GO:0006412,2,0.684931506849315,translation
GO:0006457,0,0,protein folding
GO:0006464,0,0,cellular protein modification proce...
GO:0006520,4,1.36986301369863,cellular amino acid metabolic proce...
GO:0006605,0,0,protein targeting
GO:0006629,0,0,lipid metabolic process
GO:0006790,0,0,sulfur compound metabolic process
GO:0006810,3,1.02739726027397,transport
GO:0006913,0,0,nucleocytoplasmic transport
GO:0006914,0,0,autophagy
GO:0006950,3,1.02739726027397,response to stress
GO:0007005,0,0,mitochondrion organization
GO:0007009,0,0,plasma membrane organization
GO:0007010,0,0,cytoskeleton organization
GO:0007034,0,0,vacuolar transport
GO:0007049,1,0.342465753424658,cell cycle
GO:0007059,0,0,chromosome segregation
GO:0007155,0,0,cell adhesion
GO:0007165,5,1.71232876712329,signal transduction
GO:0007267,0,0,cell-cell signaling
GO:0007568,0,0,aging
GO:0008150,112,38.3561643835616,biological_process
GO:0008219,17,5.82191780821918,cell death
GO:0008283,3,1.02739726027397,cell proliferation
GO:0009056,4,1.36986301369863,catabolic process
GO:0009058,2,0.684931506849315,biosynthetic process
GO:0009790,5,1.71232876712329,embryo development
GO:0015031,0,0,protein transport
GO:0015979,0,0,photosynthesis
GO:0016192,0,0,vesicle-mediated transport
GO:0019748,0,0,secondary metabolic process
GO:0021700,0,0,developmental maturation
GO:0022607,3,1.02739726027397,cellular component assembly
GO:0022618,2,0.684931506849315,ribonucleoprotein complex assembly
GO:0030154,21,7.19178082191781,cell differentiation
GO:0030198,0,0,extracellular matrix organization
GO:0030705,0,0,cytoskeleton-dependent intracellula...
GO:0032196,0,0,transposition
GO:0034330,0,0,cell junction organization
GO:0034641,12,4.10958904109589,cellular nitrogen compound metaboli...
GO:0034655,3,1.02739726027397,nucleobase-containing compound cata...
GO:0040007,0,0,growth
GO:0040011,2,0.684931506849315,locomotion
GO:0042254,1,0.342465753424658,ribosome biogenesis
GO:0042592,0,0,homeostatic process
GO:0043473,0,0,pigmentation
GO:0044281,4,1.36986301369863,small molecule metabolic process
GO:0044403,0,0,symbiont process
GO:0048646,9,3.08219178082192,anatomical structure formation invo...
GO:0048856,32,10.958904109589,anatomical structure development
GO:0048870,2,0.684931506849315,cell motility
GO:0050877,0,0,nervous system process
GO:0051186,2,0.684931506849315,cofactor metabolic process
GO:0051276,0,0,chromosome organization
GO:0051301,2,0.684931506849315,cell division
GO:0051604,2,0.684931506849315,protein maturation
GO:0055085,0,0,transmembrane transport
GO:0061024,0,0,membrane organization
GO:0065003,2,0.684931506849315,protein-containing complex assembly
GO:0071554,0,0,cell wall organization or biogenesi...
GO:0071941,0,0,nitrogen cycle metabolic process
GO:0140014,0,0,mitotic nuclear division
