% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0015701,"bicarbonate transport",0.007%,-2.2151,0.965,0.000,"bicarbonate transport"
GO:0001539,"cilium or flagellum-dependent cell motility",0.314%,-1.5788,0.826,0.179,"bicarbonate transport"
GO:0060285,"cilium-dependent cell motility",0.006%,-1.5833,0.856,0.652,"bicarbonate transport"
GO:0015696,"ammonium transport",0.148%,-1.4646,0.961,0.483,"bicarbonate transport"
GO:0033227,"dsRNA transport",0.005%,-2.0440,0.913,0.293,"bicarbonate transport"
GO:0032502,"developmental process",2.812%,-1.6696,0.983,0.000,"developmental process"
GO:0045471,"response to ethanol",0.016%,-3.3020,0.781,0.000,"response to ethanol"
GO:0001649,"osteoblast differentiation",0.040%,-1.5506,0.615,0.509,"response to ethanol"
GO:1901700,"response to oxygen-containing compound",0.503%,-1.9448,0.774,0.481,"response to ethanol"
GO:0097305,"response to alcohol",0.055%,-2.6065,0.766,0.648,"response to ethanol"
GO:0009266,"response to temperature stimulus",0.213%,-2.3435,0.821,0.248,"response to ethanol"
GO:0002684,"positive regulation of immune system process",0.165%,-1.7097,0.724,0.638,"response to ethanol"
GO:0071260,"cellular response to mechanical stimulus",0.011%,-1.7065,0.824,0.672,"response to ethanol"
GO:0032025,"response to cobalt ion",0.001%,-2.2801,0.838,0.330,"response to ethanol"
GO:0072376,"protein activation cascade",0.018%,-1.5518,0.837,0.250,"response to ethanol"
GO:0010378,"temperature compensation of the circadian clock",0.000%,-2.3363,0.806,0.556,"response to ethanol"
GO:0032355,"response to estradiol",0.009%,-1.4498,0.773,0.615,"response to ethanol"
GO:0033574,"response to testosterone",0.003%,-2.0388,0.785,0.548,"response to ethanol"
GO:0046677,"response to antibiotic",0.128%,-1.8113,0.792,0.565,"response to ethanol"
GO:0009628,"response to abiotic stimulus",0.571%,-1.9619,0.831,0.448,"response to ethanol"
GO:0030225,"macrophage differentiation",0.007%,-2.3354,0.564,0.465,"response to ethanol"
GO:0033993,"response to lipid",0.226%,-1.6442,0.752,0.687,"response to ethanol"
GO:0031638,"zymogen activation",0.010%,-1.6793,0.923,0.616,"response to ethanol"
GO:0097202,"activation of cysteine-type endopeptidase activity",0.002%,-2.1301,0.798,0.345,"response to ethanol"
GO:0034612,"response to tumor necrosis factor",0.032%,-1.3873,0.777,0.556,"response to ethanol"
GO:0006957,"complement activation, alternative pathway",0.000%,-2.5603,0.696,0.175,"response to ethanol"
GO:0006950,"response to stress",4.575%,-2.1307,0.806,0.400,"response to ethanol"
GO:0010033,"response to organic substance",0.900%,-1.4257,0.766,0.675,"response to ethanol"
GO:1901654,"response to ketone",0.024%,-1.3687,0.776,0.664,"response to ethanol"
GO:0050896,"response to stimulus",12.210%,-1.8569,0.984,0.000,"response to stimulus"
GO:0060546,"negative regulation of necroptotic process",0.002%,-2.9232,0.681,0.000,"negative regulation of necroptotic process"
GO:0016246,"RNA interference",0.011%,-2.1313,0.721,0.384,"negative regulation of necroptotic process"
GO:0097284,"hepatocyte apoptotic process",0.002%,-2.7346,0.762,0.564,"negative regulation of necroptotic process"
GO:1901216,"positive regulation of neuron death",0.009%,-1.4600,0.673,0.595,"negative regulation of necroptotic process"
GO:0070232,"regulation of T cell apoptotic process",0.006%,-2.5090,0.705,0.594,"negative regulation of necroptotic process"
GO:0097194,"execution phase of apoptosis",0.017%,-2.0241,0.740,0.629,"negative regulation of necroptotic process"
GO:0036462,"TRAIL-activated apoptotic signaling pathway",0.002%,-2.4299,0.662,0.552,"negative regulation of necroptotic process"
GO:1904019,"epithelial cell apoptotic process",0.015%,-2.5111,0.741,0.551,"negative regulation of necroptotic process"
GO:0043124,"negative regulation of I-kappaB kinase/NF-kappaB signaling",0.012%,-1.3137,0.711,0.424,"negative regulation of necroptotic process"
GO:0007306,"eggshell chorion assembly",0.004%,-2.9072,0.583,0.089,"eggshell chorion assembly"
GO:0006308,"DNA catabolic process",0.104%,-1.8511,0.894,0.167,"eggshell chorion assembly"
GO:0007349,"cellularization",0.006%,-1.8204,0.674,0.554,"eggshell chorion assembly"
GO:0007367,"segment polarity determination",0.002%,-2.1684,0.695,0.544,"eggshell chorion assembly"
GO:0048813,"dendrite morphogenesis",0.034%,-1.4552,0.584,0.628,"eggshell chorion assembly"
GO:0042254,"ribosome biogenesis",1.422%,-1.6523,0.918,0.419,"eggshell chorion assembly"
GO:0042052,"rhabdomere development",0.002%,-2.3207,0.630,0.492,"eggshell chorion assembly"
GO:0030716,"oocyte fate determination",0.002%,-2.2119,0.669,0.422,"eggshell chorion assembly"
GO:0042078,"germ-line stem cell division",0.003%,-2.1355,0.628,0.684,"eggshell chorion assembly"
GO:0048646,"anatomical structure formation involved in morphogenesis",0.409%,-1.9258,0.662,0.529,"eggshell chorion assembly"
GO:0007279,"pole cell formation",0.001%,-2.2584,0.640,0.629,"eggshell chorion assembly"
GO:0001841,"neural tube formation",0.023%,-2.4316,0.619,0.629,"eggshell chorion assembly"
