bleached_44_01	bleached_44_02	bleached_44_03	bleached_K5_01	bleached_K5_02	bleached_K5_03	bleached_K5_04	bleached_K5_05	bleached_K5_06	non-bleached_44_01	non-bleached_44_02	non-bleached_44_03	non-bleached_K5_01	non-bleached_K5_02	non-bleached_K5_03
TRINITY_DN150204_c2_g1	-0.497595741712119	-0.497595741712119	-0.497595741712119	-0.497595741712119	-0.497595741712119	-0.497595741712119	-0.497595741712119	-0.497595741712119	-0.497595741712119	1.70748392403772	0.398482313684945	0.475464431091965	1.28900062017869	1.10552612812788	-0.497595741712119
TRINITY_DN140167_c0_g1	-0.407118392369868	-0.407118392369868	-0.407118392369868	-0.407118392369868	-0.407118392369868	-0.407118392369868	-0.407118392369868	-0.407118392369868	-0.407118392369868	1.3520374414304	1.06952251629965	0.322325614463796	1.52153617753031	-0.194237826025483	-0.407118392369868
TRINITY_DN188923_c2_g2	-0.408829671762054	-0.408829671762054	-0.408829671762054	-0.408829671762054	-0.408829671762054	-0.408829671762054	-0.408829671762054	-0.408829671762054	-0.408829671762054	1.25337582789156	0.374417425616063	1.36558843234376	0.607666648134142	0.487248383635011	-0.408829671762054
TRINITY_DN231501_c0_g1	-0.546774096293727	-0.546774096293727	-0.546774096293727	-0.546774096293727	-0.546774096293727	-0.546774096293727	-0.546774096293727	-0.546774096293727	-0.546774096293727	0.0836313751885962	2.15122206972732	0.0487295642090151	2.96709559121511	-0.546774096293727	0.217062362597224
TRINITY_DN178851_c0_g3	-0.394164892843719	-0.394164892843719	-0.394164892843719	-0.394164892843719	-0.394164892843719	-0.394164892843719	-0.394164892843719	-0.394164892843719	-0.394164892843719	0.214644349831804	1.06631557719629	1.17094480368812	1.12688584405724	0.36285835366374	-0.394164892843719
TRINITY_DN167200_c5_g1	-0.434897400540218	-0.434897400540218	-0.434897400540218	-0.434897400540218	-0.434897400540218	-0.434897400540218	-0.434897400540218	-0.434897400540218	-0.434897400540218	0.943614222713511	0.0740382613241771	0.251266925521141	2.14814022325645	-0.434897400540218	0.931914372586909
TRINITY_DN175605_c4_g1	-0.627800509419193	-1.21390809714458	-0.987887239234677	-1.05710173396597	0.885352620232283	-0.902326891270862	-0.657404780821607	-1.8896449881144	-0.889096121818686	1.7725396973335	1.73875754925381	-1.61458349826501	6.63133688670493	-0.165250537821588	-1.02298235564795
TRINITY_DN123657_c0_g2	-0.30020014983616	-0.30020014983616	-0.30020014983616	-0.30020014983616	-0.30020014983616	-0.30020014983616	-0.30020014983616	-0.30020014983616	-0.30020014983616	1.11879931559511	1.11555851668634	0.0904675357235077	0.179030411370177	-0.00977574597086001	0.207721315121169
TRINITY_DN187639_c2_g2	-0.520322352070941	-0.628298538515617	-0.388641909874951	-0.645967186608624	-0.426899624832992	-0.723210185541084	-0.723210185541084	-0.723210185541084	-0.723210185541084	-0.540517888024894	-0.460175779707291	1.36323392314423	0.379112005655602	2.26574711075683	2.49557098224299
TRINITY_DN199732_c0_g1	-1.17339071718522	-1.17339071718522	-1.17339071718522	-1.17339071718522	-1.17339071718522	-1.17339071718522	-1.17339071718522	-1.17339071718522	-1.17339071718522	3.56532308508095	2.48790283867009	2.7091545190276	-1.17339071718522	-0.857244974891862	3.8287717039654
TRINITY_DN193222_c0_g4	-0.439953293023412	-0.439953293023412	-0.439953293023412	-0.439953293023412	-0.439953293023412	-0.439953293023412	-0.439953293023412	-0.439953293023412	-0.439953293023412	0.0110599499205609	1.09161531579155	0.80249678065429	1.14981019396157	1.34455068990615	-0.439953293023412
TRINITY_DN153400_c2_g2	-0.41034855532236	-0.41034855532236	-0.41034855532236	-0.41034855532236	-0.41034855532236	-0.41034855532236	-0.41034855532236	-0.41034855532236	-0.41034855532236	0.367860021075728	0.902316618236034	0.240416003794542	0.470924506106889	2.1219684040104	-0.41034855532236
TRINITY_DN120858_c0_g1	-0.385317193111513	-0.385317193111513	-0.385317193111513	-0.385317193111513	-0.385317193111513	-0.385317193111513	-0.385317193111513	-0.385317193111513	-0.385317193111513	0.240420868797136	0.545987650539157	0.94867892508494	0.810660265531075	0.0540399853627442	0.868067042688562
TRINITY_DN184210_c5_g5	-1.16132760436938	-1.16132760436938	-1.16132760436938	-1.16132760436938	-1.16132760436938	-1.16132760436938	-1.16132760436938	-1.16132760436938	-1.16132760436938	4.53700201711158	4.91294233014321	-1.16132760436938	4.48598690517776	-1.16132760436938	-1.16132760436938
