bleached_44_01	bleached_44_02	bleached_44_03	bleached_K5_01	bleached_K5_02	bleached_K5_03	bleached_K5_04	bleached_K5_05	bleached_K5_06	non-bleached_44_01	non-bleached_44_02	non-bleached_44_03	non-bleached_K5_01	non-bleached_K5_02	non-bleached_K5_03
bleached_44_01	1	0.738643530860763	0.787613487158233	0.677097438320853	0.605141664433	0.498131834491835	0.590673965774297	0.331337260460983	0.205106908728074	-0.563974477485472	-0.527029182408403	-0.0217204108205905	-0.354724732409563	0.0231780784641345	-0.0240559350087341
bleached_44_02	0.738643530860763	1	0.655674551798671	0.619856349976054	0.635390751705476	0.41494364834259	0.766419428452668	0.566023067526889	0.342677113554024	-0.38555895086457	-0.524642476647181	0.118106211783957	-0.526722766745144	0.0621291284980566	-0.170973029088729
bleached_44_03	0.787613487158233	0.655674551798671	1	0.431780449354892	0.44628969648892	0.218862007098289	0.49272249997534	0.606169115075978	0.5444619044247	-0.526921549096511	-0.5417019089028	0.130429471342206	-0.485362745541345	0.22981026145944	0.0312016304296649
bleached_K5_01	0.677097438320853	0.619856349976054	0.431780449354892	1	0.565898168700634	0.898146628543253	0.844934707326946	0.0277824953203529	-0.180740678037144	-0.374517970263837	-0.397456845317354	-0.147105890696803	-0.337207448304493	-0.0790960163515236	-0.172274884438625
bleached_K5_02	0.605141664433	0.635390751705476	0.44628969648892	0.565898168700634	1	0.439478544603011	0.590451976647807	0.397507517488998	0.0188569882656334	-0.347702304068007	-0.252573561745892	-0.27255647640429	-0.203752208765746	-0.0997096189042489	-0.279603607922349
bleached_K5_03	0.498131834491835	0.41494364834259	0.218862007098289	0.898146628543253	0.439478544603011	1	0.67614018364876	-0.196147248555198	-0.419167220259707	-0.14754791877784	-0.204348183672131	-0.229948162001497	-0.195882676549147	-0.185752653771781	-0.28285822744796
bleached_K5_04	0.590673965774297	0.766419428452668	0.49272249997534	0.844934707326946	0.590451976647807	0.67614018364876	1	0.206384385338845	0.129227031912696	-0.386335054144362	-0.456684492001255	-0.0466666285362668	-0.4405082062331	-0.0132891836780262	-0.163464031148216
bleached_K5_05	0.331337260460983	0.566023067526889	0.606169115075978	0.0277824953203529	0.397507517488998	-0.196147248555198	0.206384385338845	1	0.666350136032583	-0.265071420094372	-0.347834061497597	0.250209168312993	-0.421827482806191	0.229251251550952	-0.0657258368048008
bleached_K5_06	0.205106908728074	0.342677113554024	0.5444619044247	-0.180740678037144	0.0188569882656334	-0.419167220259707	0.129227031912696	0.666350136032583	1	-0.290533151925747	-0.385469242471386	0.391531270149431	-0.408356033478043	0.281776647709417	0.238227351586563
non-bleached_44_01	-0.563974477485472	-0.38555895086457	-0.526921549096511	-0.374517970263837	-0.347702304068007	-0.14754791877784	-0.386335054144362	-0.265071420094372	-0.290533151925747	1	0.51755650190284	0.0127907889921125	-0.122627930345999	0.0572047920202147	-0.379556116701859
non-bleached_44_02	-0.527029182408403	-0.524642476647181	-0.5417019089028	-0.397456845317354	-0.252573561745892	-0.204348183672131	-0.456684492001255	-0.347834061497597	-0.385469242471386	0.51755650190284	1	-0.280356072921119	0.323334781939954	-0.339743495461717	-0.457315283331249
non-bleached_44_03	-0.0217204108205905	0.118106211783957	0.130429471342206	-0.147105890696803	-0.27255647640429	-0.229948162001497	-0.0466666285362668	0.250209168312993	0.391531270149431	0.0127907889921125	-0.280356072921119	1	-0.487931176300182	0.282244901588843	0.117726155588284
non-bleached_K5_01	-0.354724732409563	-0.526722766745144	-0.485362745541345	-0.337207448304493	-0.203752208765746	-0.195882676549147	-0.4405082062331	-0.421827482806191	-0.408356033478043	-0.122627930345999	0.323334781939954	-0.487931176300182	1	-0.494964122714311	-0.00085811327778372
non-bleached_K5_02	0.0231780784641345	0.0621291284980566	0.22981026145944	-0.0790960163515236	-0.0997096189042489	-0.185752653771781	-0.0132891836780262	0.229251251550952	0.281776647709417	0.0572047920202147	-0.339743495461717	0.282244901588843	-0.494964122714311	1	0.0341042804660916
non-bleached_K5_03	-0.0240559350087341	-0.170973029088729	0.0312016304296649	-0.172274884438625	-0.279603607922349	-0.28285822744796	-0.163464031148216	-0.0657258368048008	0.238227351586563	-0.379556116701859	-0.457315283331249	0.117726155588284	-0.00085811327778372	0.0341042804660916	1
