UniqueCount	AmbigCount
0	0
2	0
0	0
3	0
0	0
10	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
17	0
0	0
0	0
2	0
2	0
5	0
2	0
0	0
3	0
0	0
0	0
0	0
1	0
1	0
1	0
0	0
0	0
16	0
0	0
5	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
3	0
0	0
0	0
3	0
0	0
0	0
2	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
2	0
0	0
1	0
5	0
0	0
2	0
0	0
0	0
0	2
0	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
1	0
0	0
2	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
28	0
5	0
0	0
4	0
0	0
0	0
0	0
4	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
4	0
0	0
2	0
0	0
0	0
3	0
0	0
1	0
0	0
4	0
2	0
0	0
3	0
0	0
0	0
0	0
1	0
0	0
4	0
0	0
3	0
0	0
2	0
6	0
0	0
14	0
2	0
0	0
0	0
0	0
6	0
4	0
3	0
2	0
1	0
0	0
0	0
8	0
0	0
0	0
9	0
0	0
9	0
0	0
0	0
1	0
10	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
6	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
5	0
0	0
2	0
0	0
0	0
1	0
0	0
0	0
0	0
4	0
0	0
0	0
11	0
11	0
2	0
1	0
1	0
0	0
0	0
0	0
5	0
9	0
7	0
8	0
1	0
0	0
5	0
2	0
1	0
0	0
2	0
0	0
5	0
55	0
0	0
5	0
0	0
0	0
7	0
1	0
0	0
12	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
14	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
1	0
0	0
2	0
5	0
26	0
0	0
0	0
8	0
2	0
6	0
0	0
0	0
0	0
0	0
2	0
3	0
3	0
0	0
0	0
0	0
0	0
4	0
2	0
9	0
0	0
3	0
2	0
0	0
12	0
4	0
0	0
18	0
2	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
6	0
3	0
0	0
14	0
0	0
0	0
7	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
3	0
0	0
2	0
3	0
0	0
1	0
0	0
0	0
2	0
11	0
0	0
0	0
0	0
9	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
3	0
0	0
19	0
2	0
0	0
0	0
5	0
3	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
19	0
1	0
0	0
0	0
1	0
1	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
7	0
22	0
1	0
4	0
1	0
0	0
0	0
0	0
0	0
4	0
3	0
2	0
0	0
5	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
1	0
0	0
5	0
0	0
0	0
0	0
