group	lib.size	norm.factors	eff.lib.size
bleached_44_01	990037	1.27916158598759	1266417.2991064
bleached_44_02	985035	1.0787135175594	1062570.56976912
bleached_44_03	979716	1.10766410944806	1085196.25065201
bleached_K5_01	985184	0.969449285021777	955085.924414895
bleached_K5_02	989363	0.913174465979703	903461.029185077
bleached_K5_03	982244	1.16322843922912	1142574.15506217
bleached_K5_04	982081	1.07967646168596	1060329.73916901
bleached_K5_05	985770	0.935371679629288	922061.340628163
bleached_K5_06	991074	0.825994392368084	818621.566421806
non-bleached_44_01	987966	1.14748116321567	1133672.37489753
non-bleached_44_02	979633	0.912718843749606	894129.499058958
non-bleached_44_03	982756	1.035535412921	1017678.64026059
non-bleached_K5_01	980443	0.569419471276097	558283.33467635
non-bleached_K5_02	977286	1.21947375900332	1191774.63204132
non-bleached_K5_03	976778	1.01136812375068	987882.13318094
