,Count,Percent,Term
GO:0000003,2,0.662251655629139,reproduction
GO:0000278,8,2.64900662251656,mitotic cell cycle
GO:0000902,0,0,cell morphogenesis
GO:0002376,4,1.32450331125828,immune system process
GO:0003013,0,0,circulatory system process
GO:0005975,4,1.32450331125828,carbohydrate metabolic process
GO:0006091,6,1.98675496688742,generation of precursor metabolites...
GO:0006259,0,0,DNA metabolic process
GO:0006397,0,0,mRNA processing
GO:0006399,1,0.33112582781457,tRNA metabolic process
GO:0006412,0,0,translation
GO:0006457,0,0,protein folding
GO:0006464,1,0.33112582781457,cellular protein modification proce...
GO:0006520,0,0,cellular amino acid metabolic proce...
GO:0006605,1,0.33112582781457,protein targeting
GO:0006629,1,0.33112582781457,lipid metabolic process
GO:0006790,5,1.65562913907285,sulfur compound metabolic process
GO:0006810,12,3.97350993377483,transport
GO:0006913,0,0,nucleocytoplasmic transport
GO:0006914,0,0,autophagy
GO:0006950,10,3.3112582781457,response to stress
GO:0007005,10,3.3112582781457,mitochondrion organization
GO:0007009,0,0,plasma membrane organization
GO:0007010,0,0,cytoskeleton organization
GO:0007034,0,0,vacuolar transport
GO:0007049,12,3.97350993377483,cell cycle
GO:0007059,0,0,chromosome segregation
GO:0007155,0,0,cell adhesion
GO:0007165,17,5.62913907284768,signal transduction
GO:0007267,3,0.993377483443709,cell-cell signaling
GO:0007568,0,0,aging
GO:0008150,108,35.7615894039735,biological_process
GO:0008219,5,1.65562913907285,cell death
GO:0008283,4,1.32450331125828,cell proliferation
GO:0009056,6,1.98675496688742,catabolic process
GO:0009058,6,1.98675496688742,biosynthetic process
GO:0009790,0,0,embryo development
GO:0015031,2,0.662251655629139,protein transport
GO:0015979,0,0,photosynthesis
GO:0016192,0,0,vesicle-mediated transport
GO:0019748,0,0,secondary metabolic process
GO:0021700,1,0.33112582781457,developmental maturation
GO:0022607,3,0.993377483443709,cellular component assembly
GO:0022618,0,0,ribonucleoprotein complex assembly
GO:0030154,3,0.993377483443709,cell differentiation
GO:0030198,0,0,extracellular matrix organization
GO:0030705,0,0,cytoskeleton-dependent intracellula...
GO:0032196,0,0,transposition
GO:0034330,0,0,cell junction organization
GO:0034641,8,2.64900662251656,cellular nitrogen compound metaboli...
GO:0034655,0,0,nucleobase-containing compound cata...
GO:0040007,0,0,growth
GO:0040011,3,0.993377483443709,locomotion
GO:0042254,0,0,ribosome biogenesis
GO:0042592,2,0.662251655629139,homeostatic process
GO:0043473,0,0,pigmentation
GO:0044281,15,4.96688741721854,small molecule metabolic process
GO:0044403,0,0,symbiont process
GO:0048646,0,0,anatomical structure formation invo...
GO:0048856,9,2.98013245033113,anatomical structure development
GO:0048870,3,0.993377483443709,cell motility
GO:0050877,10,3.3112582781457,nervous system process
GO:0051186,0,0,cofactor metabolic process
GO:0051276,0,0,chromosome organization
GO:0051301,2,0.662251655629139,cell division
GO:0051604,3,0.993377483443709,protein maturation
GO:0055085,4,1.32450331125828,transmembrane transport
GO:0061024,5,1.65562913907285,membrane organization
GO:0065003,3,0.993377483443709,protein-containing complex assembly
GO:0071554,0,0,cell wall organization or biogenesi...
GO:0071941,0,0,nitrogen cycle metabolic process
GO:0140014,0,0,mitotic nuclear division
