% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,uniqueness,dispensability,representative
GO:0001909,"leukocyte mediated cytotoxicity",0.013%,0.966,0.000,"leukocyte mediated cytotoxicity"
GO:0002443,"leukocyte mediated immunity",0.056%,0.940,0.000,"leukocyte mediated immunity"
GO:0006801,"superoxide metabolic process",0.144%,0.947,0.000,"superoxide metabolism"
GO:0007610,"behavior",0.170%,0.982,0.000,"behavior"
GO:0034755,"iron ion transmembrane transport",0.057%,0.930,0.000,"iron ion transmembrane transport"
GO:0010155,"regulation of proton transport",0.004%,0.787,0.375,"iron ion transmembrane transport"
GO:1904752,"regulation of vascular associated smooth muscle cell migration",0.002%,0.764,0.460,"iron ion transmembrane transport"
GO:0046888,"negative regulation of hormone secretion",0.009%,0.652,0.534,"iron ion transmembrane transport"
GO:0044342,"type B pancreatic cell proliferation",0.003%,0.903,0.000,"type B pancreatic cell proliferation"
GO:1904732,"regulation of electron carrier activity",0.001%,0.888,0.000,"regulation of electron carrier activity"
GO:0030330,"DNA damage response, signal transduction by p53 class mediator",0.014%,0.724,0.424,"regulation of electron carrier activity"
GO:2001235,"positive regulation of apoptotic signaling pathway",0.031%,0.687,0.308,"regulation of electron carrier activity"
GO:0090559,"regulation of membrane permeability",0.014%,0.856,0.303,"regulation of electron carrier activity"
GO:0072395,"signal transduction involved in cell cycle checkpoint",0.010%,0.661,0.662,"regulation of electron carrier activity"
GO:0006879,"cellular iron ion homeostasis",0.110%,0.781,0.416,"regulation of electron carrier activity"
GO:1903108,"regulation of transcription from mitochondrial promoter",0.000%,0.847,0.103,"regulation of electron carrier activity"
GO:1904734,"positive regulation of electron carrier activity",0.000%,0.869,0.318,"regulation of electron carrier activity"
GO:0071156,"regulation of cell cycle arrest",0.013%,0.693,0.139,"regulation of electron carrier activity"
GO:0042770,"signal transduction in response to DNA damage",0.023%,0.758,0.267,"regulation of electron carrier activity"
