% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0007610,"behavior",0.170%,-1.3565,0.982,0.000,"behavior"
GO:0050808,"synapse organization",0.070%,-3.0932,0.797,0.000,"synapse organization"
GO:2001235,"positive regulation of apoptotic signaling pathway",0.031%,-1.7187,0.687,0.387,"synapse organization"
GO:0097031,"mitochondrial respiratory chain complex I biogenesis",0.013%,-1.3079,0.889,0.561,"synapse organization"
GO:0019563,"glycerol catabolic process",0.028%,-2.2957,0.781,0.121,"synapse organization"
GO:0006119,"oxidative phosphorylation",0.250%,-2.0790,0.765,0.226,"synapse organization"
GO:0046676,"negative regulation of insulin secretion",0.005%,-1.6982,0.653,0.520,"synapse organization"
GO:0034755,"iron ion transmembrane transport",0.057%,-1.7713,0.930,0.362,"synapse organization"
GO:0010155,"regulation of proton transport",0.004%,-2.0764,0.787,0.519,"synapse organization"
GO:0006627,"protein processing involved in protein targeting to mitochondrion",0.016%,-1.8386,0.755,0.676,"synapse organization"
GO:0051791,"medium-chain fatty acid metabolic process",0.002%,-1.6097,0.848,0.322,"synapse organization"
GO:0033108,"mitochondrial respiratory chain complex assembly",0.061%,-2.3351,0.810,0.535,"synapse organization"
GO:0006072,"glycerol-3-phosphate metabolic process",0.121%,-2.0693,0.871,0.412,"synapse organization"
GO:1904752,"regulation of vascular associated smooth muscle cell migration",0.002%,-1.3948,0.764,0.409,"synapse organization"
GO:1904960,"positive regulation of cytochrome-c oxidase activity",0.000%,-2.5468,0.756,0.307,"synapse organization"
GO:0030205,"dermatan sulfate metabolic process",0.001%,-1.8719,0.785,0.296,"synapse organization"
GO:1904732,"regulation of electron carrier activity",0.001%,-2.0764,0.888,0.318,"synapse organization"
GO:1901136,"carbohydrate derivative catabolic process",0.423%,-1.7071,0.878,0.452,"synapse organization"
GO:0052646,"alditol phosphate metabolic process",0.123%,-1.9475,0.881,0.413,"synapse organization"
GO:0046068,"cGMP metabolic process",0.035%,-1.4163,0.777,0.525,"synapse organization"
GO:0010257,"NADH dehydrogenase complex assembly",0.014%,-1.3079,0.866,0.610,"synapse organization"
GO:0090144,"mitochondrial nucleoid organization",0.000%,-2.5468,0.850,0.225,"synapse organization"
GO:0090143,"nucleoid organization",0.000%,-2.5468,0.850,0.225,"synapse organization"
GO:0032981,"mitochondrial respiratory chain complex I assembly",0.013%,-1.3079,0.823,0.666,"synapse organization"
GO:1903852,"positive regulation of cristae formation",0.000%,-2.5468,0.726,0.240,"synapse organization"
GO:1903850,"regulation of cristae formation",0.000%,-2.5468,0.749,0.697,"synapse organization"
GO:0050890,"cognition",0.053%,-2.2181,0.801,0.000,"cognition"
GO:0050905,"neuromuscular process",0.023%,-1.4434,0.809,0.662,"cognition"
GO:0003008,"system process",0.660%,-1.5131,0.807,0.581,"cognition"
GO:0050893,"sensory processing",0.001%,-2.3215,0.819,0.537,"cognition"
GO:0050885,"neuromuscular process controlling balance",0.012%,-1.6092,0.815,0.636,"cognition"
GO:0031016,"pancreas development",0.021%,-1.5587,0.777,0.476,"cognition"
GO:0001541,"ovarian follicle development",0.011%,-1.3906,0.780,0.648,"cognition"
GO:0030728,"ovulation",0.004%,-1.7341,0.802,0.416,"cognition"
GO:0042675,"compound eye cone cell differentiation",0.001%,-2.0476,0.764,0.378,"cognition"
GO:0061300,"cerebellum vasculature development",0.001%,-1.9368,0.813,0.371,"cognition"
GO:0099558,"maintenance of synapse structure",0.001%,-1.7170,0.826,0.677,"cognition"
GO:0060074,"synapse maturation",0.006%,-1.7383,0.686,0.422,"cognition"
GO:1903108,"regulation of transcription from mitochondrial promoter",0.000%,-2.5468,0.847,0.017,"regulation of transcription from mitochondrial promoter"
GO:0090559,"regulation of membrane permeability",0.014%,-1.3181,0.856,0.416,"regulation of transcription from mitochondrial promoter"
GO:0006879,"cellular iron ion homeostasis",0.110%,-1.3243,0.781,0.335,"regulation of transcription from mitochondrial promoter"
GO:0030322,"stabilization of membrane potential",0.000%,-1.9197,0.876,0.101,"regulation of transcription from mitochondrial promoter"
GO:1901135,"carbohydrate derivative metabolic process",6.319%,-1.4797,0.963,0.030,"carbohydrate derivative metabolism"
GO:0006091,"generation of precursor metabolites and energy",1.940%,-1.3362,0.940,0.037,"generation of precursor metabolites and energy"
GO:0044342,"type B pancreatic cell proliferation",0.003%,-2.2543,0.903,0.046,"type B pancreatic cell proliferation"
GO:0016319,"mushroom body development",0.004%,-1.4439,0.787,0.606,"type B pancreatic cell proliferation"
GO:0022027,"interkinetic nuclear migration",0.001%,-2.2464,0.757,0.506,"type B pancreatic cell proliferation"
GO:0042048,"olfactory behavior",0.014%,-2.9793,0.775,0.051,"olfactory behavior"
