% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive 
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.
term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0022610,"biological adhesion",0.550%,-1.3718,0.989,0.000,"biological adhesion"
GO:0035329,"hippo signaling",0.012%,-3.0707,0.793,0.000,"hippo signaling"
GO:0034698,"response to gonadotropin",0.003%,-1.3511,0.866,0.498,"hippo signaling"
GO:0034699,"response to luteinizing hormone",0.000%,-1.7902,0.876,0.408,"hippo signaling"
GO:1903208,"negative regulation of hydrogen peroxide-induced neuron death",0.001%,-2.2441,0.654,0.477,"hippo signaling"
GO:0030101,"natural killer cell activation",0.011%,-1.5407,0.732,0.677,"hippo signaling"
GO:0090330,"regulation of platelet aggregation",0.003%,-1.8618,0.430,0.635,"hippo signaling"
GO:1901244,"positive regulation of transcription from RNA polymerase II promoter involved in defense response to fungus",0.000%,-1.9844,0.779,0.308,"hippo signaling"
GO:0046627,"negative regulation of insulin receptor signaling pathway",0.007%,-1.3427,0.677,0.657,"hippo signaling"
GO:2000570,"positive regulation of T-helper 2 cell activation",0.000%,-2.2755,0.645,0.127,"hippo signaling"
GO:0030510,"regulation of BMP signaling pathway",0.026%,-1.5432,0.679,0.594,"hippo signaling"
GO:2000097,"regulation of smooth muscle cell-matrix adhesion",0.001%,-1.8491,0.802,0.550,"hippo signaling"
GO:2000316,"regulation of T-helper 17 type immune response",0.002%,-1.7213,0.695,0.607,"hippo signaling"
GO:0016339,"calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules",0.004%,-2.0627,0.871,0.530,"hippo signaling"
GO:0070232,"regulation of T cell apoptotic process",0.006%,-2.1061,0.770,0.532,"hippo signaling"
GO:0033574,"response to testosterone",0.003%,-2.9223,0.864,0.189,"hippo signaling"
GO:0002759,"regulation of antimicrobial humoral response",0.004%,-1.6682,0.664,0.629,"hippo signaling"
GO:0044331,"cell-cell adhesion mediated by cadherin",0.003%,-1.4624,0.819,0.585,"hippo signaling"
GO:0001787,"natural killer cell proliferation",0.002%,-2.2313,0.710,0.581,"hippo signaling"
GO:1902106,"negative regulation of leukocyte differentiation",0.015%,-1.8071,0.452,0.563,"hippo signaling"
GO:0009650,"UV protection",0.003%,-1.4488,0.904,0.189,"hippo signaling"
GO:0038095,"Fc-epsilon receptor signaling pathway",0.003%,-1.5457,0.660,0.618,"hippo signaling"
GO:1905768,"negative regulation of double-stranded telomeric DNA binding",0.000%,-1.9716,0.889,0.115,"hippo signaling"
GO:0014850,"response to muscle activity",0.003%,-1.6975,0.908,0.189,"hippo signaling"
GO:0036119,"response to platelet-derived growth factor",0.003%,-1.5077,0.865,0.694,"hippo signaling"
GO:0036120,"cellular response to platelet-derived growth factor stimulus",0.003%,-1.5077,0.843,0.693,"hippo signaling"
GO:0007219,"Notch signaling pathway",0.061%,-1.7205,0.764,0.309,"hippo signaling"
GO:2001046,"positive regulation of integrin-mediated signaling pathway",0.001%,-1.5749,0.727,0.687,"hippo signaling"
GO:2001044,"regulation of integrin-mediated signaling pathway",0.002%,-1.5607,0.749,0.516,"hippo signaling"
GO:0045736,"negative regulation of cyclin-dependent protein serine/threonine kinase activity",0.007%,-1.6863,0.762,0.476,"hippo signaling"
GO:0043278,"response to morphine",0.003%,-1.4596,0.860,0.576,"hippo signaling"
GO:1901654,"response to ketone",0.024%,-1.5717,0.854,0.559,"hippo signaling"
